|dates|Schleicher_Texas_UnitedStates.JHU_ConfirmedCases.data|Schleicher_Texas_UnitedStates.JHU_ConfirmedCases.missing|Schleicher_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Schleicher_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Schleicher_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Schleicher_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|3.0|0|0.0|0|0.0|0
0|2020-03-06|4.0|0|0.0|0|0.0|0
0|2020-03-07|8.0|0|0.0|0|0.0|0
0|2020-03-08|11.0|0|0.0|0|0.0|0
0|2020-03-09|13.0|0|0.0|0|0.0|0
0|2020-03-10|16.0|0|0.0|0|0.0|0
0|2020-03-11|21.0|0|0.0|0|0.0|0
0|2020-03-12|27.0|0|0.0|0|0.0|0
0|2020-03-13|44.0|0|0.0|0|0.0|0
0|2020-03-14|60.0|0|0.0|0|0.0|0
0|2020-03-15|63.0|0|0.0|0|0.0|0
0|2020-03-16|85.0|0|0.0|0|0.0|0
0|2020-03-17|110.0|0|1.0|0|0.0|0
0|2020-03-18|196.0|0|3.0|0|0.0|0
0|2020-03-19|306.0|0|5.0|0|0.0|0
0|2020-03-20|374.0|0|4.0|0|0.0|0
0|2020-03-21|582.0|0|5.0|0|0.0|0
0|2020-03-22|686.0|0|7.0|0|0.0|0
0|2020-03-23|801.0|0|9.0|0|0.0|0
0|2020-03-24|998.0|0|12.0|0|0.0|0
0|2020-03-25|1272.0|0|15.0|0|0.0|0
0|2020-03-26|1606.0|0|21.0|0|0.0|0
0|2020-03-27|1980.0|0|26.0|0|0.0|0
0|2020-03-28|2498.0|0|30.0|0|0.0|0
0|2020-03-29|2835.0|0|37.0|0|0.0|0
0|2020-03-30|3190.0|0|45.0|0|0.0|0
0|2020-03-31|3852.0|0|54.0|0|0.0|0
0|2020-04-01|4398.0|0|66.0|0|0.0|0
0|2020-04-02|5112.0|0|77.0|0|0.0|0
0|2020-04-03|5777.0|0|100.0|0|0.0|0
0|2020-04-04|6599.0|0|116.0|0|0.0|0
0|2020-04-05|7252.0|0|136.0|0|0.0|0
0|2020-04-06|8086.0|0|150.0|0|0.0|0
0|2020-04-07|8968.0|0|160.0|0|0.0|0
0|2020-04-08|9820.0|0|189.0|0|0.0|0
0|2020-04-09|11251.0|0|210.0|0|0.0|0
0|2020-04-10|12148.0|0|238.0|0|0.0|0
0|2020-04-11|13066.0|0|266.0|0|0.0|0
0|2020-04-12|13720.0|0|283.0|0|0.0|0
0|2020-04-13|14318.0|0|305.0|0|0.0|0
0|2020-04-14|15058.0|0|342.0|0|0.0|0
0|2020-04-15|15950.0|0|375.0|0|0.0|0
0|2020-04-16|16919.0|0|414.0|0|0.0|0
0|2020-04-17|17892.0|0|451.0|0|0.0|0
0|2020-04-18|18747.0|0|476.0|0|0.0|0
0|2020-04-19|19303.0|0|490.0|0|0.0|0
0|2020-04-20|19794.0|0|507.0|0|0.0|0
0|2020-04-21|20617.0|0|533.0|0|0.0|0
0|2020-04-22|21364.0|0|556.0|0|0.0|0
0|2020-04-23|22650.0|0|604.0|0|0.0|0
0|2020-04-24|23642.0|0|624.0|0|0.0|0
0|2020-04-25|24153.0|0|638.0|0|0.0|0
0|2020-04-26|24967.0|0|651.0|0|0.0|0
0|2020-04-27|25321.0|0|666.0|0|0.0|0
0|2020-04-28|26357.0|0|719.0|0|0.0|0
0|2020-04-29|27257.0|0|754.0|0|0.0|0
0|2020-04-30|28727.0|0|812.0|0|0.0|0
0|2020-05-01|29692.0|0|840.0|0|0.0|0
0|2020-05-02|30917.0|0|863.0|0|0.0|0
0|2020-05-03|31998.0|0|878.0|0|0.0|0
0|2020-05-04|32783.0|0|901.0|0|0.0|0
0|2020-05-05|33912.0|0|925.0|0|0.0|0
0|2020-05-06|33912.0|0|925.0|0|0.0|0
0|2020-05-07|33912.0|0|925.0|0|0.0|0
0|2020-05-08|33912.0|0|925.0|0|0.0|0
0|2020-05-09|33912.0|0|925.0|0|0.0|0
0|2020-05-10|33912.0|0|925.0|0|0.0|0
0|2020-05-11|33912.0|0|925.0|0|0.0|0
0|2020-05-12|33912.0|0|925.0|0|0.0|0
0|2020-05-13|33912.0|0|925.0|0|0.0|0
