|dates|Jackson_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Jackson_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|3.0|0|0.0|0|0.0|0
0|2020-03-22|5.0|0|0.0|0|0.0|0
0|2020-03-23|7.0|0|0.0|0|0.0|0
0|2020-03-24|10.0|0|0.0|0|0.0|0
0|2020-03-25|12.0|0|0.0|0|0.0|0
0|2020-03-26|16.0|0|0.0|0|0.0|0
0|2020-03-27|24.0|0|0.0|0|0.0|0
0|2020-03-28|33.0|0|0.0|0|0.0|0
0|2020-03-29|34.0|0|0.0|0|0.0|0
0|2020-03-30|34.0|0|0.0|0|0.0|0
0|2020-03-31|40.0|0|0.0|0|0.0|0
0|2020-04-01|52.0|0|0.0|0|0.0|0
0|2020-04-02|57.0|0|1.0|0|0.0|0
0|2020-04-03|75.0|0|1.0|0|0.0|0
0|2020-04-04|79.0|0|1.0|0|0.0|0
0|2020-04-05|86.0|0|3.0|0|0.0|0
0|2020-04-06|98.0|0|5.0|0|0.0|0
0|2020-04-07|108.0|0|5.0|0|0.0|0
0|2020-04-08|111.0|0|5.0|0|0.0|0
0|2020-04-09|122.0|0|5.0|0|0.0|0
0|2020-04-10|135.0|0|5.0|0|0.0|0
0|2020-04-11|139.0|0|5.0|0|0.0|0
0|2020-04-12|140.0|0|5.0|0|0.0|0
0|2020-04-13|147.0|0|5.0|0|0.0|0
0|2020-04-14|157.0|0|5.0|0|0.0|0
0|2020-04-15|182.0|0|5.0|0|0.0|0
0|2020-04-16|189.0|0|5.0|0|0.0|0
0|2020-04-17|196.0|0|6.0|0|0.0|0
0|2020-04-18|201.0|0|6.0|0|0.0|0
0|2020-04-19|205.0|0|6.0|0|0.0|0
0|2020-04-20|209.0|0|6.0|0|0.0|0
0|2020-04-21|211.0|0|6.0|0|0.0|0
0|2020-04-22|221.0|0|6.0|0|0.0|0
0|2020-04-23|228.0|0|6.0|0|0.0|0
0|2020-04-24|235.0|0|6.0|0|0.0|0
0|2020-04-25|237.0|0|6.0|0|0.0|0
0|2020-04-26|238.0|0|6.0|0|0.0|0
0|2020-04-27|240.0|0|6.0|0|0.0|0
0|2020-04-28|252.0|0|6.0|0|0.0|0
0|2020-04-29|255.0|0|6.0|0|0.0|0
0|2020-04-30|259.0|0|6.0|0|0.0|0
0|2020-05-01|267.0|0|6.0|0|0.0|0
0|2020-05-02|267.0|0|7.0|0|0.0|0
0|2020-05-03|267.0|0|7.0|0|0.0|0
0|2020-05-04|267.0|0|7.0|0|0.0|0
0|2020-05-05|270.0|0|9.0|0|0.0|0
0|2020-05-06|271.0|0|10.0|0|0.0|0
0|2020-05-07|272.0|0|11.0|0|0.0|0
0|2020-05-08|273.0|0|11.0|0|0.0|0
0|2020-05-09|275.0|0|11.0|0|0.0|0
0|2020-05-10|275.0|0|11.0|0|0.0|0
0|2020-05-11|275.0|0|11.0|0|0.0|0
0|2020-05-12|276.0|0|13.0|0|0.0|0
0|2020-05-13|278.0|0|13.0|0|0.0|0
