|dates|Pulaski_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Pulaski_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Pulaski_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Pulaski_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Pulaski_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Pulaski_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|61.0|0|0.0|0|0.0|0
0|2020-03-24|64.0|0|0.0|0|0.0|0
0|2020-03-25|78.0|0|0.0|0|0.0|0
0|2020-03-26|83.0|0|0.0|0|0.0|0
0|2020-03-27|88.0|0|0.0|0|0.0|0
0|2020-03-28|92.0|0|0.0|0|0.0|0
0|2020-03-29|93.0|0|0.0|0|0.0|0
0|2020-03-30|94.0|0|2.0|0|0.0|0
0|2020-03-31|102.0|0|2.0|0|0.0|0
0|2020-04-01|107.0|0|2.0|0|0.0|0
0|2020-04-02|115.0|0|2.0|0|0.0|0
0|2020-04-03|130.0|0|2.0|0|0.0|0
0|2020-04-04|137.0|0|2.0|0|0.0|0
0|2020-04-05|157.0|0|2.0|0|0.0|0
0|2020-04-06|161.0|0|2.0|0|0.0|0
0|2020-04-07|175.0|0|2.0|0|0.0|0
0|2020-04-08|179.0|0|2.0|0|0.0|0
0|2020-04-09|210.0|0|8.0|0|0.0|0
0|2020-04-10|225.0|0|8.0|0|0.0|0
0|2020-04-11|249.0|0|9.0|0|0.0|0
0|2020-04-12|256.0|0|9.0|0|0.0|0
0|2020-04-13|273.0|0|10.0|0|0.0|0
0|2020-04-14|297.0|0|10.0|0|0.0|0
0|2020-04-15|343.0|0|10.0|0|0.0|0
0|2020-04-16|355.0|0|11.0|0|0.0|0
0|2020-04-17|360.0|0|11.0|0|0.0|0
0|2020-04-18|368.0|0|12.0|0|0.0|0
0|2020-04-19|377.0|0|12.0|0|0.0|0
0|2020-04-20|388.0|0|12.0|0|0.0|0
0|2020-04-21|390.0|0|12.0|0|0.0|0
0|2020-04-22|404.0|0|12.0|0|0.0|0
0|2020-04-23|427.0|0|12.0|0|0.0|0
0|2020-04-24|440.0|0|14.0|0|0.0|0
0|2020-04-25|471.0|0|14.0|0|0.0|0
0|2020-04-26|478.0|0|14.0|0|0.0|0
0|2020-04-27|484.0|0|15.0|0|0.0|0
0|2020-04-28|490.0|0|16.0|0|0.0|0
0|2020-04-29|500.0|0|16.0|0|0.0|0
0|2020-04-30|518.0|0|17.0|0|0.0|0
0|2020-05-01|527.0|0|18.0|0|0.0|0
0|2020-05-02|539.0|0|19.0|0|0.0|0
0|2020-05-03|550.0|0|19.0|0|0.0|0
0|2020-05-04|551.0|0|20.0|0|0.0|0
0|2020-05-05|565.0|0|21.0|0|0.0|0
0|2020-05-06|576.0|0|22.0|0|0.0|0
0|2020-05-07|588.0|0|22.0|0|0.0|0
0|2020-05-08|603.0|0|22.0|0|0.0|0
0|2020-05-09|603.0|0|22.0|0|0.0|0
0|2020-05-10|627.0|0|23.0|0|0.0|0
0|2020-05-11|627.0|0|23.0|0|0.0|0
0|2020-05-12|640.0|0|23.0|0|0.0|0
0|2020-05-13|647.0|0|23.0|0|0.0|0
