|dates|Houston_Alabama_UnitedStates.JHU_ConfirmedCases.data|Houston_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Houston_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Houston_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Houston_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Houston_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|3.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|6.0|0|0.0|0|0.0|0
0|2020-03-30|9.0|0|0.0|0|0.0|0
0|2020-03-31|9.0|0|0.0|0|0.0|0
0|2020-04-01|8.0|0|0.0|0|0.0|0
0|2020-04-02|9.0|0|0.0|0|0.0|0
0|2020-04-03|12.0|0|1.0|0|0.0|0
0|2020-04-04|14.0|0|1.0|0|0.0|0
0|2020-04-05|15.0|0|1.0|0|0.0|0
0|2020-04-06|22.0|0|1.0|0|0.0|0
0|2020-04-07|25.0|0|1.0|0|0.0|0
0|2020-04-08|25.0|0|1.0|0|0.0|0
0|2020-04-09|30.0|0|1.0|0|0.0|0
0|2020-04-10|33.0|0|1.0|0|0.0|0
0|2020-04-11|37.0|0|1.0|0|0.0|0
0|2020-04-12|44.0|0|1.0|0|0.0|0
0|2020-04-13|47.0|0|1.0|0|0.0|0
0|2020-04-14|52.0|0|2.0|0|0.0|0
0|2020-04-15|54.0|0|2.0|0|0.0|0
0|2020-04-16|57.0|0|3.0|0|0.0|0
0|2020-04-17|64.0|0|3.0|0|0.0|0
0|2020-04-18|63.0|0|2.0|0|0.0|0
0|2020-04-19|66.0|0|2.0|0|0.0|0
0|2020-04-20|70.0|0|2.0|0|0.0|0
0|2020-04-21|73.0|0|3.0|0|0.0|0
0|2020-04-22|75.0|0|3.0|0|0.0|0
0|2020-04-23|78.0|0|3.0|0|0.0|0
0|2020-04-24|76.0|0|3.0|0|0.0|0
0|2020-04-25|76.0|0|3.0|0|0.0|0
0|2020-04-26|77.0|0|3.0|0|0.0|0
0|2020-04-27|79.0|0|3.0|0|0.0|0
0|2020-04-28|84.0|0|3.0|0|0.0|0
0|2020-04-29|87.0|0|3.0|0|0.0|0
0|2020-04-30|90.0|0|4.0|0|0.0|0
0|2020-05-01|90.0|0|4.0|0|0.0|0
0|2020-05-02|93.0|0|4.0|0|0.0|0
0|2020-05-03|95.0|0|4.0|0|0.0|0
0|2020-05-04|97.0|0|4.0|0|0.0|0
0|2020-05-05|98.0|0|4.0|0|0.0|0
0|2020-05-06|99.0|0|4.0|0|0.0|0
0|2020-05-07|100.0|0|4.0|0|0.0|0
0|2020-05-08|102.0|0|4.0|0|0.0|0
0|2020-05-09|104.0|0|4.0|0|0.0|0
0|2020-05-10|107.0|0|4.0|0|0.0|0
0|2020-05-11|107.0|0|4.0|0|0.0|0
0|2020-05-12|114.0|0|4.0|0|0.0|0
0|2020-05-13|115.0|0|4.0|0|0.0|0
