|dates|Cumberland_Maine_UnitedStates.JHU_ConfirmedCases.data|Cumberland_Maine_UnitedStates.JHU_ConfirmedCases.missing|Cumberland_Maine_UnitedStates.JHU_ConfirmedDeaths.data|Cumberland_Maine_UnitedStates.JHU_ConfirmedDeaths.missing|Cumberland_Maine_UnitedStates.JHU_ConfirmedRecoveries.data|Cumberland_Maine_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|13.0|0|0.0|0|0.0|0
0|2020-03-17|18.0|0|0.0|0|0.0|0
0|2020-03-18|24.0|0|0.0|0|0.0|0
0|2020-03-19|25.0|0|0.0|0|0.0|0
0|2020-03-20|35.0|0|0.0|0|0.0|0
0|2020-03-21|41.0|0|0.0|0|0.0|0
0|2020-03-22|53.0|0|0.0|0|0.0|0
0|2020-03-23|66.0|0|0.0|0|0.0|0
0|2020-03-24|74.0|0|0.0|0|0.0|0
0|2020-03-25|87.0|0|0.0|0|0.0|0
0|2020-03-26|90.0|0|0.0|0|0.0|0
0|2020-03-27|92.0|0|1.0|0|0.0|0
0|2020-03-28|120.0|0|1.0|0|0.0|0
0|2020-03-29|142.0|0|3.0|0|0.0|0
0|2020-03-30|154.0|0|3.0|0|0.0|0
0|2020-03-31|169.0|0|3.0|0|0.0|0
0|2020-04-01|169.0|0|3.0|0|0.0|0
0|2020-04-02|204.0|0|5.0|0|0.0|0
0|2020-04-03|222.0|0|5.0|0|0.0|0
0|2020-04-04|231.0|0|5.0|0|0.0|0
0|2020-04-05|238.0|0|5.0|0|0.0|0
0|2020-04-06|249.0|0|5.0|0|0.0|0
0|2020-04-07|253.0|0|9.0|0|0.0|0
0|2020-04-08|262.0|0|10.0|0|0.0|0
0|2020-04-09|269.0|0|11.0|0|0.0|0
0|2020-04-10|276.0|0|11.0|0|0.0|0
0|2020-04-11|284.0|0|12.0|0|0.0|0
0|2020-04-12|292.0|0|12.0|0|0.0|0
0|2020-04-13|299.0|0|12.0|0|0.0|0
0|2020-04-14|331.0|0|12.0|0|0.0|0
0|2020-04-15|339.0|0|14.0|0|0.0|0
0|2020-04-16|343.0|0|14.0|0|0.0|0
0|2020-04-17|360.0|0|14.0|0|0.0|0
0|2020-04-18|369.0|0|14.0|0|0.0|0
0|2020-04-19|378.0|0|16.0|0|0.0|0
0|2020-04-20|380.0|0|16.0|0|0.0|0
0|2020-04-21|386.0|0|17.0|0|0.0|0
0|2020-04-22|395.0|0|18.0|0|0.0|0
0|2020-04-23|414.0|0|23.0|0|0.0|0
0|2020-04-24|426.0|0|24.0|0|0.0|0
0|2020-04-25|426.0|0|24.0|0|0.0|0
0|2020-04-26|454.0|0|24.0|0|0.0|0
0|2020-04-27|459.0|0|24.0|0|0.0|0
0|2020-04-28|466.0|0|24.0|0|0.0|0
0|2020-04-29|472.0|0|25.0|0|0.0|0
0|2020-04-30|486.0|0|26.0|0|0.0|0
0|2020-05-01|504.0|0|27.0|0|0.0|0
0|2020-05-02|527.0|0|27.0|0|0.0|0
0|2020-05-03|549.0|0|28.0|0|0.0|0
0|2020-05-04|558.0|0|28.0|0|0.0|0
0|2020-05-05|571.0|0|30.0|0|0.0|0
0|2020-05-06|583.0|0|30.0|0|0.0|0
0|2020-05-07|631.0|0|30.0|0|0.0|0
0|2020-05-08|658.0|0|30.0|0|0.0|0
0|2020-05-09|685.0|0|30.0|0|0.0|0
0|2020-05-10|702.0|0|30.0|0|0.0|0
0|2020-05-11|702.0|0|30.0|0|0.0|0
0|2020-05-12|721.0|0|31.0|0|0.0|0
0|2020-05-13|744.0|0|32.0|0|0.0|0
