|dates|Utah_Utah_UnitedStates.JHU_ConfirmedCases.data|Utah_Utah_UnitedStates.JHU_ConfirmedCases.missing|Utah_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Utah_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Utah_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Utah_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|3.0|0|0.0|0|0.0|0
0|2020-03-22|6.0|0|0.0|0|0.0|0
0|2020-03-23|11.0|0|0.0|0|0.0|0
0|2020-03-24|13.0|0|0.0|0|0.0|0
0|2020-03-25|18.0|0|0.0|0|0.0|0
0|2020-03-26|24.0|0|0.0|0|0.0|0
0|2020-03-27|26.0|0|0.0|0|0.0|0
0|2020-03-28|30.0|0|0.0|0|0.0|0
0|2020-03-29|50.0|0|0.0|0|0.0|0
0|2020-03-30|57.0|0|0.0|0|0.0|0
0|2020-03-31|70.0|0|0.0|0|0.0|0
0|2020-04-01|70.0|0|0.0|0|0.0|0
0|2020-04-02|105.0|0|0.0|0|0.0|0
0|2020-04-03|150.0|0|0.0|0|0.0|0
0|2020-04-04|186.0|0|0.0|0|0.0|0
0|2020-04-05|216.0|0|0.0|0|0.0|0
0|2020-04-06|223.0|0|2.0|0|0.0|0
0|2020-04-07|236.0|0|2.0|0|0.0|0
0|2020-04-08|267.0|0|2.0|0|0.0|0
0|2020-04-09|267.0|0|2.0|0|0.0|0
0|2020-04-10|283.0|0|2.0|0|0.0|0
0|2020-04-11|295.0|0|2.0|0|0.0|0
0|2020-04-12|313.0|0|2.0|0|0.0|0
0|2020-04-13|322.0|0|2.0|0|0.0|0
0|2020-04-14|335.0|0|2.0|0|0.0|0
0|2020-04-15|352.0|0|2.0|0|0.0|0
0|2020-04-16|387.0|0|2.0|0|0.0|0
0|2020-04-17|403.0|0|4.0|0|0.0|0
0|2020-04-18|417.0|0|5.0|0|0.0|0
0|2020-04-19|455.0|0|5.0|0|0.0|0
0|2020-04-20|498.0|0|5.0|0|0.0|0
0|2020-04-21|523.0|0|5.0|0|0.0|0
0|2020-04-22|570.0|0|5.0|0|0.0|0
0|2020-04-23|611.0|0|6.0|0|0.0|0
0|2020-04-24|669.0|0|7.0|0|0.0|0
0|2020-04-25|725.0|0|7.0|0|0.0|0
0|2020-04-26|777.0|0|7.0|0|0.0|0
0|2020-04-27|828.0|0|7.0|0|0.0|0
0|2020-04-28|862.0|0|7.0|0|0.0|0
0|2020-04-29|899.0|0|7.0|0|0.0|0
0|2020-04-30|957.0|0|7.0|0|0.0|0
0|2020-05-01|993.0|0|7.0|0|0.0|0
0|2020-05-02|1021.0|0|9.0|0|0.0|0
0|2020-05-03|1073.0|0|9.0|0|0.0|0
0|2020-05-04|1122.0|0|9.0|0|0.0|0
0|2020-05-05|1171.0|0|10.0|0|0.0|0
0|2020-05-06|1210.0|0|10.0|0|0.0|0
0|2020-05-07|1219.0|0|11.0|0|0.0|0
0|2020-05-08|1288.0|0|11.0|0|0.0|0
0|2020-05-09|1318.0|0|11.0|0|0.0|0
0|2020-05-10|1346.0|0|11.0|0|0.0|0
0|2020-05-11|1346.0|0|11.0|0|0.0|0
0|2020-05-12|1365.0|0|11.0|0|0.0|0
0|2020-05-13|1400.0|0|11.0|0|0.0|0
