|dates|Summit_Utah_UnitedStates.JHU_ConfirmedCases.data|Summit_Utah_UnitedStates.JHU_ConfirmedCases.missing|Summit_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Summit_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Summit_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Summit_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|4.0|0|0.0|0|0.0|0
0|2020-03-14|5.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|4.0|0|0.0|0|0.0|0
0|2020-03-17|8.0|0|0.0|0|0.0|0
0|2020-03-18|15.0|0|0.0|0|0.0|0
0|2020-03-19|19.0|0|0.0|0|0.0|0
0|2020-03-20|28.0|0|0.0|0|0.0|0
0|2020-03-21|32.0|0|0.0|0|0.0|0
0|2020-03-22|43.0|0|0.0|0|0.0|0
0|2020-03-23|65.0|0|0.0|0|0.0|0
0|2020-03-24|82.0|0|0.0|0|0.0|0
0|2020-03-25|89.0|0|0.0|0|0.0|0
0|2020-03-26|95.0|0|0.0|0|0.0|0
0|2020-03-27|102.0|0|0.0|0|0.0|0
0|2020-03-28|127.0|0|0.0|0|0.0|0
0|2020-03-29|151.0|0|0.0|0|0.0|0
0|2020-03-30|167.0|0|0.0|0|0.0|0
0|2020-03-31|172.0|0|0.0|0|0.0|0
0|2020-04-01|172.0|0|0.0|0|0.0|0
0|2020-04-02|204.0|0|0.0|0|0.0|0
0|2020-04-03|222.0|0|0.0|0|0.0|0
0|2020-04-04|230.0|0|0.0|0|0.0|0
0|2020-04-05|256.0|0|0.0|0|0.0|0
0|2020-04-06|260.0|0|0.0|0|0.0|0
0|2020-04-07|265.0|0|0.0|0|0.0|0
0|2020-04-08|273.0|0|0.0|0|0.0|0
0|2020-04-09|273.0|0|0.0|0|0.0|0
0|2020-04-10|296.0|0|0.0|0|0.0|0
0|2020-04-11|300.0|0|0.0|0|0.0|0
0|2020-04-12|304.0|0|0.0|0|0.0|0
0|2020-04-13|306.0|0|0.0|0|0.0|0
0|2020-04-14|306.0|0|0.0|0|0.0|0
0|2020-04-15|306.0|0|0.0|0|0.0|0
0|2020-04-16|308.0|0|0.0|0|0.0|0
0|2020-04-17|311.0|0|0.0|0|0.0|0
0|2020-04-18|316.0|0|0.0|0|0.0|0
0|2020-04-19|318.0|0|0.0|0|0.0|0
0|2020-04-20|331.0|0|0.0|0|0.0|0
0|2020-04-21|335.0|0|0.0|0|0.0|0
0|2020-04-22|341.0|0|0.0|0|0.0|0
0|2020-04-23|343.0|0|0.0|0|0.0|0
0|2020-04-24|351.0|0|0.0|0|0.0|0
0|2020-04-25|355.0|0|0.0|0|0.0|0
0|2020-04-26|357.0|0|0.0|0|0.0|0
0|2020-04-27|358.0|0|0.0|0|0.0|0
0|2020-04-28|359.0|0|0.0|0|0.0|0
0|2020-04-29|361.0|0|0.0|0|0.0|0
0|2020-04-30|369.0|0|0.0|0|0.0|0
0|2020-05-01|373.0|0|0.0|0|0.0|0
0|2020-05-02|375.0|0|0.0|0|0.0|0
0|2020-05-03|376.0|0|0.0|0|0.0|0
0|2020-05-04|377.0|0|0.0|0|0.0|0
0|2020-05-05|382.0|0|0.0|0|0.0|0
0|2020-05-06|382.0|0|0.0|0|0.0|0
0|2020-05-07|382.0|0|0.0|0|0.0|0
0|2020-05-08|384.0|0|0.0|0|0.0|0
0|2020-05-09|385.0|0|0.0|0|0.0|0
0|2020-05-10|385.0|0|0.0|0|0.0|0
0|2020-05-11|385.0|0|0.0|0|0.0|0
0|2020-05-12|388.0|0|0.0|0|0.0|0
0|2020-05-13|392.0|0|0.0|0|0.0|0
