|dates|Allegheny_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Allegheny_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Allegheny_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Allegheny_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Allegheny_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Allegheny_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|6.0|0|0.0|0|0.0|0
0|2020-03-17|10.0|0|0.0|0|0.0|0
0|2020-03-18|13.0|0|0.0|0|0.0|0
0|2020-03-19|18.0|0|0.0|0|0.0|0
0|2020-03-20|28.0|0|0.0|0|0.0|0
0|2020-03-21|31.0|0|1.0|0|0.0|0
0|2020-03-22|40.0|0|1.0|0|0.0|0
0|2020-03-23|48.0|0|1.0|0|0.0|0
0|2020-03-24|58.0|0|2.0|0|0.0|0
0|2020-03-25|88.0|0|2.0|0|0.0|0
0|2020-03-26|133.0|0|2.0|0|0.0|0
0|2020-03-27|158.0|0|2.0|0|0.0|0
0|2020-03-28|219.0|0|2.0|0|0.0|0
0|2020-03-29|265.0|0|2.0|0|0.0|0
0|2020-03-30|290.0|0|2.0|0|0.0|0
0|2020-03-31|325.0|0|2.0|0|0.0|0
0|2020-04-01|356.0|0|2.0|0|0.0|0
0|2020-04-02|419.0|0|2.0|0|0.0|0
0|2020-04-03|476.0|0|2.0|0|0.0|0
0|2020-04-04|552.0|0|3.0|0|0.0|0
0|2020-04-05|605.0|0|4.0|0|0.0|0
0|2020-04-06|642.0|0|4.0|0|0.0|0
0|2020-04-07|689.0|0|6.0|0|0.0|0
0|2020-04-08|720.0|0|10.0|0|0.0|0
0|2020-04-09|759.0|0|12.0|0|0.0|0
0|2020-04-10|788.0|0|18.0|0|0.0|0
0|2020-04-11|836.0|0|19.0|0|0.0|0
0|2020-04-12|857.0|0|19.0|0|0.0|0
0|2020-04-13|876.0|0|21.0|0|0.0|0
0|2020-04-14|893.0|0|24.0|0|0.0|0
0|2020-04-15|904.0|0|26.0|0|0.0|0
0|2020-04-16|925.0|0|38.0|0|0.0|0
0|2020-04-17|947.0|0|43.0|0|0.0|0
0|2020-04-18|1009.0|0|47.0|0|0.0|0
0|2020-04-19|1035.0|0|50.0|0|0.0|0
0|2020-04-20|1042.0|0|55.0|0|0.0|0
0|2020-04-21|1059.0|0|67.0|0|0.0|0
0|2020-04-22|1088.0|0|74.0|0|0.0|0
0|2020-04-23|1149.0|0|74.0|0|0.0|0
0|2020-04-24|1177.0|0|74.0|0|0.0|0
0|2020-04-25|1198.0|0|73.0|0|0.0|0
0|2020-04-26|1211.0|0|73.0|0|0.0|0
0|2020-04-27|1224.0|0|79.0|0|0.0|0
0|2020-04-28|1235.0|0|87.0|0|0.0|0
0|2020-04-29|1273.0|0|86.0|0|0.0|0
0|2020-04-30|1289.0|0|94.0|0|0.0|0
0|2020-05-01|1319.0|0|99.0|0|0.0|0
0|2020-05-02|1333.0|0|102.0|0|0.0|0
0|2020-05-03|1345.0|0|102.0|0|0.0|0
0|2020-05-04|1365.0|0|102.0|0|0.0|0
0|2020-05-05|1375.0|0|109.0|0|0.0|0
0|2020-05-06|1394.0|0|111.0|0|0.0|0
0|2020-05-07|1439.0|0|117.0|0|0.0|0
0|2020-05-08|1455.0|0|119.0|0|0.0|0
0|2020-05-09|1486.0|0|120.0|0|0.0|0
0|2020-05-10|1503.0|0|122.0|0|0.0|0
0|2020-05-11|1503.0|0|122.0|0|0.0|0
0|2020-05-12|1526.0|0|127.0|0|0.0|0
0|2020-05-13|1545.0|0|139.0|0|0.0|0
