|dates|Angelina_Texas_UnitedStates.JHU_ConfirmedCases.data|Angelina_Texas_UnitedStates.JHU_ConfirmedCases.missing|Angelina_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Angelina_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Angelina_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Angelina_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|1.0|0|0.0|0|0.0|0
0|2020-03-27|2.0|0|0.0|0|0.0|0
0|2020-03-28|1.0|0|0.0|0|0.0|0
0|2020-03-29|3.0|0|0.0|0|0.0|0
0|2020-03-30|3.0|0|0.0|0|0.0|0
0|2020-03-31|5.0|0|0.0|0|0.0|0
0|2020-04-01|5.0|0|0.0|0|0.0|0
0|2020-04-02|5.0|0|0.0|0|0.0|0
0|2020-04-03|8.0|0|0.0|0|0.0|0
0|2020-04-04|10.0|0|0.0|0|0.0|0
0|2020-04-05|10.0|0|0.0|0|0.0|0
0|2020-04-06|14.0|0|0.0|0|0.0|0
0|2020-04-07|14.0|0|0.0|0|0.0|0
0|2020-04-08|14.0|0|0.0|0|0.0|0
0|2020-04-09|15.0|0|0.0|0|0.0|0
0|2020-04-10|16.0|0|0.0|0|0.0|0
0|2020-04-11|16.0|0|0.0|0|0.0|0
0|2020-04-12|16.0|0|0.0|0|0.0|0
0|2020-04-13|16.0|0|0.0|0|0.0|0
0|2020-04-14|18.0|0|0.0|0|0.0|0
0|2020-04-15|17.0|0|0.0|0|0.0|0
0|2020-04-16|20.0|0|0.0|0|0.0|0
0|2020-04-17|23.0|0|0.0|0|0.0|0
0|2020-04-18|23.0|0|0.0|0|0.0|0
0|2020-04-19|23.0|0|0.0|0|0.0|0
0|2020-04-20|23.0|0|0.0|0|0.0|0
0|2020-04-21|30.0|0|0.0|0|0.0|0
0|2020-04-22|30.0|0|0.0|0|0.0|0
0|2020-04-23|33.0|0|0.0|0|0.0|0
0|2020-04-24|33.0|0|0.0|0|0.0|0
0|2020-04-25|36.0|0|0.0|0|0.0|0
0|2020-04-26|36.0|0|0.0|0|0.0|0
0|2020-04-27|36.0|0|0.0|0|0.0|0
0|2020-04-28|46.0|0|0.0|0|0.0|0
0|2020-04-29|49.0|0|0.0|0|0.0|0
0|2020-04-30|53.0|0|0.0|0|0.0|0
0|2020-05-01|54.0|0|0.0|0|0.0|0
0|2020-05-02|55.0|0|0.0|0|0.0|0
0|2020-05-03|55.0|0|0.0|0|0.0|0
0|2020-05-04|55.0|0|0.0|0|0.0|0
0|2020-05-05|79.0|0|0.0|0|0.0|0
0|2020-05-06|86.0|0|0.0|0|0.0|0
0|2020-05-07|93.0|0|0.0|0|0.0|0
0|2020-05-08|100.0|0|0.0|0|0.0|0
0|2020-05-09|100.0|0|0.0|0|0.0|0
0|2020-05-10|100.0|0|0.0|0|0.0|0
0|2020-05-11|100.0|0|0.0|0|0.0|0
0|2020-05-12|117.0|0|1.0|0|0.0|0
0|2020-05-13|117.0|0|1.0|0|0.0|0
