|dates|Tulare_California_UnitedStates.JHU_ConfirmedCases.data|Tulare_California_UnitedStates.JHU_ConfirmedCases.missing|Tulare_California_UnitedStates.JHU_ConfirmedDeaths.data|Tulare_California_UnitedStates.JHU_ConfirmedDeaths.missing|Tulare_California_UnitedStates.JHU_ConfirmedRecoveries.data|Tulare_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|7.0|0|0.0|0|0.0|0
0|2020-03-20|7.0|0|0.0|0|0.0|0
0|2020-03-21|11.0|0|0.0|0|0.0|0
0|2020-03-22|12.0|0|0.0|0|0.0|0
0|2020-03-23|16.0|0|0.0|0|0.0|0
0|2020-03-24|17.0|0|0.0|0|0.0|0
0|2020-03-25|17.0|0|0.0|0|0.0|0
0|2020-03-26|18.0|0|0.0|0|0.0|0
0|2020-03-27|20.0|0|0.0|0|0.0|0
0|2020-03-28|24.0|0|0.0|0|0.0|0
0|2020-03-29|29.0|0|1.0|0|0.0|0
0|2020-03-30|35.0|0|1.0|0|0.0|0
0|2020-03-31|43.0|0|1.0|0|0.0|0
0|2020-04-01|45.0|0|1.0|0|0.0|0
0|2020-04-02|74.0|0|2.0|0|0.0|0
0|2020-04-03|81.0|0|2.0|0|0.0|0
0|2020-04-04|81.0|0|3.0|0|0.0|0
0|2020-04-05|116.0|0|5.0|0|0.0|0
0|2020-04-06|135.0|0|6.0|0|0.0|0
0|2020-04-07|157.0|0|7.0|0|0.0|0
0|2020-04-08|157.0|0|7.0|0|0.0|0
0|2020-04-09|168.0|0|9.0|0|0.0|0
0|2020-04-10|203.0|0|11.0|0|0.0|0
0|2020-04-11|203.0|0|11.0|0|0.0|0
0|2020-04-12|227.0|0|11.0|0|0.0|0
0|2020-04-13|264.0|0|13.0|0|0.0|0
0|2020-04-14|296.0|0|13.0|0|0.0|0
0|2020-04-15|352.0|0|15.0|0|0.0|0
0|2020-04-16|372.0|0|17.0|0|0.0|0
0|2020-04-17|382.0|0|17.0|0|0.0|0
0|2020-04-18|397.0|0|17.0|0|0.0|0
0|2020-04-19|411.0|0|17.0|0|0.0|0
0|2020-04-20|422.0|0|18.0|0|0.0|0
0|2020-04-21|422.0|0|18.0|0|0.0|0
0|2020-04-22|441.0|0|25.0|0|0.0|0
0|2020-04-23|453.0|0|25.0|0|0.0|0
0|2020-04-24|472.0|0|28.0|0|0.0|0
0|2020-04-25|491.0|0|32.0|0|0.0|0
0|2020-04-26|504.0|0|32.0|0|0.0|0
0|2020-04-27|532.0|0|32.0|0|0.0|0
0|2020-04-28|578.0|0|35.0|0|0.0|0
0|2020-04-29|626.0|0|36.0|0|0.0|0
0|2020-04-30|640.0|0|40.0|0|0.0|0
0|2020-05-01|680.0|0|40.0|0|0.0|0
0|2020-05-02|720.0|0|40.0|0|0.0|0
0|2020-05-03|743.0|0|40.0|0|0.0|0
0|2020-05-04|757.0|0|40.0|0|0.0|0
0|2020-05-05|858.0|0|40.0|0|0.0|0
0|2020-05-06|916.0|0|41.0|0|0.0|0
0|2020-05-07|969.0|0|43.0|0|0.0|0
0|2020-05-08|1013.0|0|44.0|0|0.0|0
0|2020-05-09|1079.0|0|46.0|0|0.0|0
0|2020-05-10|1140.0|0|48.0|0|0.0|0
0|2020-05-11|1140.0|0|48.0|0|0.0|0
0|2020-05-12|1241.0|0|52.0|0|0.0|0
0|2020-05-13|1268.0|0|54.0|0|0.0|0
