|dates|Solano_California_UnitedStates.JHU_ConfirmedCases.data|Solano_California_UnitedStates.JHU_ConfirmedCases.missing|Solano_California_UnitedStates.JHU_ConfirmedDeaths.data|Solano_California_UnitedStates.JHU_ConfirmedDeaths.missing|Solano_California_UnitedStates.JHU_ConfirmedRecoveries.data|Solano_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|3.0|0|0.0|0|0.0|0
0|2020-03-11|6.0|0|0.0|0|0.0|0
0|2020-03-12|6.0|0|0.0|0|0.0|0
0|2020-03-13|6.0|0|0.0|0|0.0|0
0|2020-03-14|6.0|0|0.0|0|0.0|0
0|2020-03-15|6.0|0|0.0|0|0.0|0
0|2020-03-16|7.0|0|0.0|0|0.0|0
0|2020-03-17|7.0|0|0.0|0|0.0|0
0|2020-03-18|8.0|0|0.0|0|0.0|0
0|2020-03-19|8.0|0|0.0|0|0.0|0
0|2020-03-20|13.0|0|0.0|0|0.0|0
0|2020-03-21|13.0|0|0.0|0|0.0|0
0|2020-03-22|13.0|0|0.0|0|0.0|0
0|2020-03-23|14.0|0|0.0|0|0.0|0
0|2020-03-24|21.0|0|0.0|0|0.0|0
0|2020-03-25|24.0|0|0.0|0|0.0|0
0|2020-03-26|31.0|0|0.0|0|0.0|0
0|2020-03-27|34.0|0|0.0|0|0.0|0
0|2020-03-28|34.0|0|0.0|0|0.0|0
0|2020-03-29|34.0|0|0.0|0|0.0|0
0|2020-03-30|34.0|0|0.0|0|0.0|0
0|2020-03-31|43.0|0|0.0|0|0.0|0
0|2020-04-01|49.0|0|0.0|0|0.0|0
0|2020-04-02|54.0|0|0.0|0|0.0|0
0|2020-04-03|61.0|0|1.0|0|0.0|0
0|2020-04-04|73.0|0|1.0|0|0.0|0
0|2020-04-05|73.0|0|1.0|0|0.0|0
0|2020-04-06|73.0|0|1.0|0|0.0|0
0|2020-04-07|88.0|0|1.0|0|0.0|0
0|2020-04-08|99.0|0|2.0|0|0.0|0
0|2020-04-09|112.0|0|2.0|0|0.0|0
0|2020-04-10|115.0|0|2.0|0|0.0|0
0|2020-04-11|121.0|0|2.0|0|0.0|0
0|2020-04-12|121.0|0|2.0|0|0.0|0
0|2020-04-13|121.0|0|2.0|0|0.0|0
0|2020-04-14|135.0|0|2.0|0|0.0|0
0|2020-04-15|140.0|0|2.0|0|0.0|0
0|2020-04-16|141.0|0|2.0|0|0.0|0
0|2020-04-17|169.0|0|2.0|0|0.0|0
0|2020-04-18|169.0|0|2.0|0|0.0|0
0|2020-04-19|169.0|0|2.0|0|0.0|0
0|2020-04-20|180.0|0|2.0|0|0.0|0
0|2020-04-21|180.0|0|2.0|0|0.0|0
0|2020-04-22|181.0|0|3.0|0|0.0|0
0|2020-04-23|191.0|0|4.0|0|0.0|0
0|2020-04-24|199.0|0|4.0|0|0.0|0
0|2020-04-25|199.0|0|4.0|0|0.0|0
0|2020-04-26|199.0|0|4.0|0|0.0|0
0|2020-04-27|199.0|0|4.0|0|0.0|0
0|2020-04-28|249.0|0|4.0|0|0.0|0
0|2020-04-29|254.0|0|5.0|0|0.0|0
0|2020-04-30|263.0|0|5.0|0|0.0|0
0|2020-05-01|266.0|0|5.0|0|0.0|0
0|2020-05-02|266.0|0|5.0|0|0.0|0
0|2020-05-03|266.0|0|5.0|0|0.0|0
0|2020-05-04|267.0|0|5.0|0|0.0|0
0|2020-05-05|320.0|0|6.0|0|0.0|0
0|2020-05-06|337.0|0|7.0|0|0.0|0
0|2020-05-07|337.0|0|7.0|0|0.0|0
0|2020-05-08|342.0|0|7.0|0|0.0|0
0|2020-05-09|351.0|0|7.0|0|0.0|0
0|2020-05-10|351.0|0|7.0|0|0.0|0
0|2020-05-11|351.0|0|7.0|0|0.0|0
0|2020-05-12|388.0|0|11.0|0|0.0|0
0|2020-05-13|388.0|0|11.0|0|0.0|0
