|dates|Bennington_Vermont_UnitedStates.JHU_ConfirmedCases.data|Bennington_Vermont_UnitedStates.JHU_ConfirmedCases.missing|Bennington_Vermont_UnitedStates.JHU_ConfirmedDeaths.data|Bennington_Vermont_UnitedStates.JHU_ConfirmedDeaths.missing|Bennington_Vermont_UnitedStates.JHU_ConfirmedRecoveries.data|Bennington_Vermont_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|9.0|0|0.0|0|0.0|0
0|2020-03-25|11.0|0|0.0|0|0.0|0
0|2020-03-26|11.0|0|0.0|0|0.0|0
0|2020-03-27|15.0|0|0.0|0|0.0|0
0|2020-03-28|15.0|0|0.0|0|0.0|0
0|2020-03-29|16.0|0|0.0|0|0.0|0
0|2020-03-30|16.0|0|0.0|0|0.0|0
0|2020-03-31|18.0|0|0.0|0|0.0|0
0|2020-04-01|18.0|0|0.0|0|0.0|0
0|2020-04-02|17.0|0|0.0|0|0.0|0
0|2020-04-03|19.0|0|0.0|0|0.0|0
0|2020-04-04|23.0|0|0.0|0|0.0|0
0|2020-04-05|24.0|0|0.0|0|0.0|0
0|2020-04-06|25.0|0|0.0|0|0.0|0
0|2020-04-07|27.0|0|0.0|0|0.0|0
0|2020-04-08|27.0|0|0.0|0|0.0|0
0|2020-04-09|31.0|0|1.0|0|0.0|0
0|2020-04-10|31.0|0|1.0|0|0.0|0
0|2020-04-11|31.0|0|1.0|0|0.0|0
0|2020-04-12|31.0|0|1.0|0|0.0|0
0|2020-04-13|32.0|0|1.0|0|0.0|0
0|2020-04-14|32.0|0|1.0|0|0.0|0
0|2020-04-15|32.0|0|1.0|0|0.0|0
0|2020-04-16|33.0|0|1.0|0|0.0|0
0|2020-04-17|33.0|0|1.0|0|0.0|0
0|2020-04-18|37.0|0|1.0|0|0.0|0
0|2020-04-19|37.0|0|1.0|0|0.0|0
0|2020-04-20|37.0|0|1.0|0|0.0|0
0|2020-04-21|37.0|0|1.0|0|0.0|0
0|2020-04-22|37.0|0|1.0|0|0.0|0
0|2020-04-23|37.0|0|1.0|0|0.0|0
0|2020-04-24|38.0|0|1.0|0|0.0|0
0|2020-04-25|39.0|0|1.0|0|0.0|0
0|2020-04-26|40.0|0|1.0|0|0.0|0
0|2020-04-27|40.0|0|1.0|0|0.0|0
0|2020-04-28|44.0|0|1.0|0|0.0|0
0|2020-04-29|44.0|0|1.0|0|0.0|0
0|2020-04-30|44.0|0|1.0|0|0.0|0
0|2020-05-01|47.0|0|1.0|0|0.0|0
0|2020-05-02|47.0|0|1.0|0|0.0|0
0|2020-05-03|51.0|0|1.0|0|0.0|0
0|2020-05-04|51.0|0|1.0|0|0.0|0
0|2020-05-05|54.0|0|1.0|0|0.0|0
0|2020-05-06|53.0|0|1.0|0|0.0|0
0|2020-05-07|53.0|0|1.0|0|0.0|0
0|2020-05-08|54.0|0|1.0|0|0.0|0
0|2020-05-09|56.0|0|1.0|0|0.0|0
0|2020-05-10|61.0|0|1.0|0|0.0|0
0|2020-05-11|61.0|0|1.0|0|0.0|0
0|2020-05-12|60.0|0|1.0|0|0.0|0
0|2020-05-13|60.0|0|1.0|0|0.0|0
