|dates|Terrebonne_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Terrebonne_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Terrebonne_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Terrebonne_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Terrebonne_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Terrebonne_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|4.0|0|0.0|0|0.0|0
0|2020-03-20|7.0|0|0.0|0|0.0|0
0|2020-03-21|11.0|0|0.0|0|0.0|0
0|2020-03-22|11.0|0|0.0|0|0.0|0
0|2020-03-23|14.0|0|0.0|0|0.0|0
0|2020-03-24|14.0|0|0.0|0|0.0|0
0|2020-03-25|15.0|0|0.0|0|0.0|0
0|2020-03-26|21.0|0|0.0|0|0.0|0
0|2020-03-27|23.0|0|1.0|0|0.0|0
0|2020-03-28|26.0|0|1.0|0|0.0|0
0|2020-03-29|29.0|0|1.0|0|0.0|0
0|2020-03-30|34.0|0|1.0|0|0.0|0
0|2020-03-31|40.0|0|1.0|0|0.0|0
0|2020-04-01|55.0|0|1.0|0|0.0|0
0|2020-04-02|97.0|0|1.0|0|0.0|0
0|2020-04-03|102.0|0|2.0|0|0.0|0
0|2020-04-04|143.0|0|5.0|0|0.0|0
0|2020-04-05|148.0|0|8.0|0|0.0|0
0|2020-04-06|182.0|0|7.0|0|0.0|0
0|2020-04-07|194.0|0|11.0|0|0.0|0
0|2020-04-08|209.0|0|14.0|0|0.0|0
0|2020-04-09|233.0|0|13.0|0|0.0|0
0|2020-04-10|244.0|0|13.0|0|0.0|0
0|2020-04-11|248.0|0|14.0|0|0.0|0
0|2020-04-12|255.0|0|14.0|0|0.0|0
0|2020-04-13|260.0|0|14.0|0|0.0|0
0|2020-04-14|265.0|0|17.0|0|0.0|0
0|2020-04-15|273.0|0|18.0|0|0.0|0
0|2020-04-16|283.0|0|18.0|0|0.0|0
0|2020-04-17|293.0|0|18.0|0|0.0|0
0|2020-04-18|310.0|0|21.0|0|0.0|0
0|2020-04-19|320.0|0|21.0|0|0.0|0
0|2020-04-20|342.0|0|21.0|0|0.0|0
0|2020-04-21|346.0|0|25.0|0|0.0|0
0|2020-04-22|350.0|0|24.0|0|0.0|0
0|2020-04-23|357.0|0|25.0|0|0.0|0
0|2020-04-24|363.0|0|25.0|0|0.0|0
0|2020-04-25|366.0|0|26.0|0|0.0|0
0|2020-04-26|371.0|0|26.0|0|0.0|0
0|2020-04-27|375.0|0|26.0|0|0.0|0
0|2020-04-28|382.0|0|31.0|0|0.0|0
0|2020-04-29|389.0|0|31.0|0|0.0|0
0|2020-04-30|437.0|0|32.0|0|0.0|0
0|2020-05-01|450.0|0|33.0|0|0.0|0
0|2020-05-02|456.0|0|33.0|0|0.0|0
0|2020-05-03|459.0|0|33.0|0|0.0|0
0|2020-05-04|466.0|0|33.0|0|0.0|0
0|2020-05-05|469.0|0|32.0|0|0.0|0
0|2020-05-06|476.0|0|33.0|0|0.0|0
0|2020-05-07|499.0|0|35.0|0|0.0|0
0|2020-05-08|501.0|0|36.0|0|0.0|0
0|2020-05-09|523.0|0|37.0|0|0.0|0
0|2020-05-10|523.0|0|38.0|0|0.0|0
0|2020-05-11|523.0|0|38.0|0|0.0|0
0|2020-05-12|533.0|0|39.0|0|0.0|0
0|2020-05-13|542.0|0|39.0|0|0.0|0
