|dates|Linn_Iowa_UnitedStates.JHU_ConfirmedCases.data|Linn_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Linn_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Linn_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Linn_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Linn_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|3.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|6.0|0|0.0|0|0.0|0
0|2020-03-24|6.0|0|0.0|0|0.0|0
0|2020-03-25|7.0|0|0.0|0|0.0|0
0|2020-03-26|12.0|0|0.0|0|0.0|0
0|2020-03-27|22.0|0|0.0|0|0.0|0
0|2020-03-28|36.0|0|0.0|0|0.0|0
0|2020-03-29|42.0|0|1.0|0|0.0|0
0|2020-03-30|71.0|0|2.0|0|0.0|0
0|2020-03-31|90.0|0|2.0|0|0.0|0
0|2020-04-01|94.0|0|2.0|0|0.0|0
0|2020-04-02|103.0|0|4.0|0|0.0|0
0|2020-04-03|118.0|0|4.0|0|0.0|0
0|2020-04-04|139.0|0|4.0|0|0.0|0
0|2020-04-05|161.0|0|5.0|0|0.0|0
0|2020-04-06|176.0|0|7.0|0|0.0|0
0|2020-04-07|186.0|0|7.0|0|0.0|0
0|2020-04-08|197.0|0|8.0|0|0.0|0
0|2020-04-09|215.0|0|8.0|0|0.0|0
0|2020-04-10|225.0|0|10.0|0|0.0|0
0|2020-04-11|235.0|0|10.0|0|0.0|0
0|2020-04-12|243.0|0|16.0|0|0.0|0
0|2020-04-13|258.0|0|16.0|0|0.0|0
0|2020-04-14|265.0|0|19.0|0|0.0|0
0|2020-04-15|276.0|0|21.0|0|0.0|0
0|2020-04-16|280.0|0|22.0|0|0.0|0
0|2020-04-17|304.0|0|22.0|0|0.0|0
0|2020-04-18|332.0|0|25.0|0|0.0|0
0|2020-04-19|395.0|0|25.0|0|0.0|0
0|2020-04-20|409.0|0|27.0|0|0.0|0
0|2020-04-21|460.0|0|28.0|0|0.0|0
0|2020-04-22|466.0|0|29.0|0|0.0|0
0|2020-04-23|479.0|0|29.0|0|0.0|0
0|2020-04-24|509.0|0|33.0|0|0.0|0
0|2020-04-25|548.0|0|33.0|0|0.0|0
0|2020-04-26|573.0|0|34.0|0|0.0|0
0|2020-04-27|613.0|0|34.0|0|0.0|0
0|2020-04-28|632.0|0|36.0|0|0.0|0
0|2020-04-29|652.0|0|40.0|0|0.0|0
0|2020-04-30|669.0|0|43.0|0|0.0|0
0|2020-05-01|673.0|0|45.0|0|0.0|0
0|2020-05-02|705.0|0|47.0|0|0.0|0
0|2020-05-03|731.0|0|47.0|0|0.0|0
0|2020-05-04|757.0|0|47.0|0|0.0|0
0|2020-05-05|767.0|0|53.0|0|0.0|0
0|2020-05-06|770.0|0|55.0|0|0.0|0
0|2020-05-07|805.0|0|56.0|0|0.0|0
0|2020-05-08|813.0|0|58.0|0|0.0|0
0|2020-05-09|819.0|0|58.0|0|0.0|0
0|2020-05-10|827.0|0|58.0|0|0.0|0
0|2020-05-11|827.0|0|58.0|0|0.0|0
0|2020-05-12|849.0|0|62.0|0|0.0|0
0|2020-05-13|858.0|0|63.0|0|0.0|0
