|dates|Porter_Indiana_UnitedStates.JHU_ConfirmedCases.data|Porter_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Porter_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Porter_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Porter_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Porter_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|5.0|0|0.0|0|0.0|0
0|2020-03-27|6.0|0|0.0|0|0.0|0
0|2020-03-28|9.0|0|0.0|0|0.0|0
0|2020-03-29|14.0|0|0.0|0|0.0|0
0|2020-03-30|15.0|0|0.0|0|0.0|0
0|2020-03-31|21.0|0|0.0|0|0.0|0
0|2020-04-01|27.0|0|0.0|0|0.0|0
0|2020-04-02|35.0|0|0.0|0|0.0|0
0|2020-04-03|45.0|0|0.0|0|0.0|0
0|2020-04-04|51.0|0|0.0|0|0.0|0
0|2020-04-05|59.0|0|0.0|0|0.0|0
0|2020-04-06|79.0|0|0.0|0|0.0|0
0|2020-04-07|84.0|0|0.0|0|0.0|0
0|2020-04-08|85.0|0|0.0|0|0.0|0
0|2020-04-09|93.0|0|0.0|0|0.0|0
0|2020-04-10|95.0|0|0.0|0|0.0|0
0|2020-04-11|107.0|0|1.0|0|0.0|0
0|2020-04-12|118.0|0|2.0|0|0.0|0
0|2020-04-13|120.0|0|2.0|0|0.0|0
0|2020-04-14|127.0|0|2.0|0|0.0|0
0|2020-04-15|135.0|0|2.0|0|0.0|0
0|2020-04-16|143.0|0|2.0|0|0.0|0
0|2020-04-17|155.0|0|2.0|0|0.0|0
0|2020-04-18|168.0|0|3.0|0|0.0|0
0|2020-04-19|175.0|0|3.0|0|0.0|0
0|2020-04-20|180.0|0|3.0|0|0.0|0
0|2020-04-21|183.0|0|5.0|0|0.0|0
0|2020-04-22|193.0|0|5.0|0|0.0|0
0|2020-04-23|198.0|0|5.0|0|0.0|0
0|2020-04-24|204.0|0|5.0|0|0.0|0
0|2020-04-25|210.0|0|5.0|0|0.0|0
0|2020-04-26|212.0|0|5.0|0|0.0|0
0|2020-04-27|215.0|0|5.0|0|0.0|0
0|2020-04-28|228.0|0|5.0|0|0.0|0
0|2020-04-29|232.0|0|6.0|0|0.0|0
0|2020-04-30|238.0|0|7.0|0|0.0|0
0|2020-05-01|240.0|0|7.0|0|0.0|0
0|2020-05-02|250.0|0|7.0|0|0.0|0
0|2020-05-03|252.0|0|7.0|0|0.0|0
0|2020-05-04|258.0|0|7.0|0|0.0|0
0|2020-05-05|266.0|0|7.0|0|0.0|0
0|2020-05-06|281.0|0|7.0|0|0.0|0
0|2020-05-07|294.0|0|7.0|0|0.0|0
0|2020-05-08|303.0|0|8.0|0|0.0|0
0|2020-05-09|308.0|0|9.0|0|0.0|0
0|2020-05-10|313.0|0|9.0|0|0.0|0
0|2020-05-11|313.0|0|9.0|0|0.0|0
0|2020-05-12|353.0|0|9.0|0|0.0|0
0|2020-05-13|363.0|0|9.0|0|0.0|0
