|dates|Leflore_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Leflore_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Leflore_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Leflore_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Leflore_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Leflore_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|4.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|4.0|0|0.0|0|0.0|0
0|2020-03-20|7.0|0|0.0|0|0.0|0
0|2020-03-21|7.0|0|0.0|0|0.0|0
0|2020-03-22|8.0|0|0.0|0|0.0|0
0|2020-03-23|9.0|0|0.0|0|0.0|0
0|2020-03-24|10.0|0|0.0|0|0.0|0
0|2020-03-25|13.0|0|0.0|0|0.0|0
0|2020-03-26|13.0|0|0.0|0|0.0|0
0|2020-03-27|13.0|0|0.0|0|0.0|0
0|2020-03-28|15.0|0|0.0|0|0.0|0
0|2020-03-29|15.0|0|0.0|0|0.0|0
0|2020-03-30|15.0|0|0.0|0|0.0|0
0|2020-03-31|19.0|0|1.0|0|0.0|0
0|2020-04-01|20.0|0|1.0|0|0.0|0
0|2020-04-02|20.0|0|1.0|0|0.0|0
0|2020-04-03|21.0|0|1.0|0|0.0|0
0|2020-04-04|22.0|0|1.0|0|0.0|0
0|2020-04-05|22.0|0|3.0|0|0.0|0
0|2020-04-06|23.0|0|4.0|0|0.0|0
0|2020-04-07|26.0|0|5.0|0|0.0|0
0|2020-04-08|28.0|0|4.0|0|0.0|0
0|2020-04-09|32.0|0|4.0|0|0.0|0
0|2020-04-10|43.0|0|4.0|0|0.0|0
0|2020-04-11|44.0|0|4.0|0|0.0|0
0|2020-04-12|45.0|0|4.0|0|0.0|0
0|2020-04-13|48.0|0|4.0|0|0.0|0
0|2020-04-14|52.0|0|6.0|0|0.0|0
0|2020-04-15|55.0|0|6.0|0|0.0|0
0|2020-04-16|62.0|0|6.0|0|0.0|0
0|2020-04-17|70.0|0|6.0|0|0.0|0
0|2020-04-18|75.0|0|6.0|0|0.0|0
0|2020-04-19|91.0|0|7.0|0|0.0|0
0|2020-04-20|105.0|0|10.0|0|0.0|0
0|2020-04-21|109.0|0|12.0|0|0.0|0
0|2020-04-22|113.0|0|12.0|0|0.0|0
0|2020-04-23|119.0|0|13.0|0|0.0|0
0|2020-04-24|124.0|0|14.0|0|0.0|0
0|2020-04-25|131.0|0|15.0|0|0.0|0
0|2020-04-26|136.0|0|15.0|0|0.0|0
0|2020-04-27|137.0|0|15.0|0|0.0|0
0|2020-04-28|141.0|0|15.0|0|0.0|0
0|2020-04-29|145.0|0|16.0|0|0.0|0
0|2020-04-30|148.0|0|17.0|0|0.0|0
0|2020-05-01|164.0|0|17.0|0|0.0|0
0|2020-05-02|165.0|0|17.0|0|0.0|0
0|2020-05-03|168.0|0|17.0|0|0.0|0
0|2020-05-04|174.0|0|17.0|0|0.0|0
0|2020-05-05|175.0|0|18.0|0|0.0|0
0|2020-05-06|177.0|0|18.0|0|0.0|0
0|2020-05-07|180.0|0|18.0|0|0.0|0
0|2020-05-08|182.0|0|18.0|0|0.0|0
0|2020-05-09|185.0|0|18.0|0|0.0|0
0|2020-05-10|185.0|0|18.0|0|0.0|0
0|2020-05-11|185.0|0|18.0|0|0.0|0
0|2020-05-12|191.0|0|20.0|0|0.0|0
0|2020-05-13|192.0|0|21.0|0|0.0|0
