|dates|Mora_NewMexico_UnitedStates.JHU_ConfirmedCases.data|Mora_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|Mora_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|Mora_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|Mora_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|Mora_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|3.0|0|0.0|0|0.0|0
0|2020-03-12|5.0|0|0.0|0|0.0|0
0|2020-03-13|10.0|0|0.0|0|0.0|0
0|2020-03-14|13.0|0|0.0|0|0.0|0
0|2020-03-15|13.0|0|0.0|0|0.0|0
0|2020-03-16|21.0|0|0.0|0|0.0|0
0|2020-03-17|23.0|0|0.0|0|0.0|0
0|2020-03-18|28.0|0|0.0|0|0.0|0
0|2020-03-19|35.0|0|0.0|0|0.0|0
0|2020-03-20|42.0|0|0.0|0|0.0|0
0|2020-03-21|55.0|0|0.0|0|0.0|0
0|2020-03-22|57.0|0|0.0|0|0.0|0
0|2020-03-23|83.0|0|0.0|0|0.0|0
0|2020-03-24|100.0|0|0.0|0|0.0|0
0|2020-03-25|113.0|0|1.0|0|0.0|0
0|2020-03-26|113.0|0|1.0|0|0.0|0
0|2020-03-27|136.0|0|1.0|0|0.0|0
0|2020-03-28|208.0|0|1.0|0|0.0|0
0|2020-03-29|237.0|0|2.0|0|0.0|0
0|2020-03-30|237.0|0|2.0|0|0.0|0
0|2020-03-31|315.0|0|4.0|0|0.0|0
0|2020-04-01|340.0|0|5.0|0|0.0|0
0|2020-04-02|388.0|0|6.0|0|0.0|0
0|2020-04-03|534.0|0|10.0|0|0.0|0
0|2020-04-04|534.0|0|10.0|0|0.0|0
0|2020-04-05|670.0|0|12.0|0|0.0|0
0|2020-04-06|757.0|0|12.0|0|0.0|0
0|2020-04-07|876.0|0|13.0|0|0.0|0
0|2020-04-08|902.0|0|13.0|0|0.0|0
0|2020-04-09|865.0|0|16.0|0|0.0|0
0|2020-04-10|1081.0|0|17.0|0|0.0|0
0|2020-04-11|1091.0|0|19.0|0|0.0|0
0|2020-04-12|1245.0|0|26.0|0|0.0|0
0|2020-04-13|1262.0|0|26.0|0|0.0|0
0|2020-04-14|1345.0|0|31.0|0|0.0|0
0|2020-04-15|1484.0|0|36.0|0|0.0|0
0|2020-04-16|1484.0|0|36.0|0|0.0|0
0|2020-04-17|1597.0|0|44.0|0|0.0|0
0|2020-04-18|1798.0|0|53.0|0|0.0|0
0|2020-04-19|1845.0|0|55.0|0|0.0|0
0|2020-04-20|1971.0|0|58.0|0|0.0|0
0|2020-04-21|1971.0|0|58.0|0|0.0|0
0|2020-04-22|2210.0|0|71.0|0|0.0|0
0|2020-04-23|2379.0|0|78.0|0|0.0|0
0|2020-04-24|2521.0|0|84.0|0|0.0|0
0|2020-04-25|2660.0|0|93.0|0|0.0|0
0|2020-04-26|2726.0|0|99.0|0|0.0|0
0|2020-04-27|2825.0|0|99.0|0|0.0|0
0|2020-04-28|2974.0|0|105.0|0|0.0|0
0|2020-04-29|3213.0|0|112.0|0|0.0|0
0|2020-04-30|3411.0|0|123.0|0|0.0|0
0|2020-05-01|3513.0|0|131.0|0|0.0|0
0|2020-05-02|3732.0|0|138.0|0|0.0|0
0|2020-05-03|3850.0|0|151.0|0|0.0|0
0|2020-05-04|4031.0|0|156.0|0|0.0|0
0|2020-05-05|4138.0|0|162.0|0|0.0|0
0|2020-05-06|4138.0|0|162.0|0|0.0|0
0|2020-05-07|4138.0|0|162.0|0|0.0|0
0|2020-05-08|4138.0|0|162.0|0|0.0|0
0|2020-05-09|4138.0|0|162.0|0|0.0|0
0|2020-05-10|4138.0|0|162.0|0|0.0|0
0|2020-05-11|4138.0|0|162.0|0|0.0|0
0|2020-05-12|4138.0|0|162.0|0|0.0|0
0|2020-05-13|4138.0|0|162.0|0|0.0|0
