|dates|Cleveland_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Cleveland_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Cleveland_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Cleveland_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Cleveland_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Cleveland_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|9.0|0|0.0|0|0.0|0
0|2020-03-20|11.0|0|0.0|0|0.0|0
0|2020-03-21|12.0|0|0.0|0|0.0|0
0|2020-03-22|13.0|0|0.0|0|0.0|0
0|2020-03-23|16.0|0|0.0|0|0.0|0
0|2020-03-24|22.0|0|1.0|0|0.0|0
0|2020-03-25|27.0|0|1.0|0|0.0|0
0|2020-03-26|39.0|0|3.0|0|0.0|0
0|2020-03-27|39.0|0|3.0|0|0.0|0
0|2020-03-28|46.0|0|5.0|0|0.0|0
0|2020-03-29|51.0|0|5.0|0|0.0|0
0|2020-03-30|60.0|0|5.0|0|0.0|0
0|2020-03-31|65.0|0|6.0|0|0.0|0
0|2020-04-01|87.0|0|6.0|0|0.0|0
0|2020-04-02|121.0|0|6.0|0|0.0|0
0|2020-04-03|130.0|0|7.0|0|0.0|0
0|2020-04-04|169.0|0|8.0|0|0.0|0
0|2020-04-05|171.0|0|11.0|0|0.0|0
0|2020-04-06|180.0|0|11.0|0|0.0|0
0|2020-04-07|203.0|0|12.0|0|0.0|0
0|2020-04-08|212.0|0|14.0|0|0.0|0
0|2020-04-09|231.0|0|14.0|0|0.0|0
0|2020-04-10|236.0|0|14.0|0|0.0|0
0|2020-04-11|247.0|0|17.0|0|0.0|0
0|2020-04-12|264.0|0|17.0|0|0.0|0
0|2020-04-13|267.0|0|17.0|0|0.0|0
0|2020-04-14|277.0|0|17.0|0|0.0|0
0|2020-04-15|294.0|0|18.0|0|0.0|0
0|2020-04-16|301.0|0|21.0|0|0.0|0
0|2020-04-17|301.0|0|21.0|0|0.0|0
0|2020-04-18|301.0|0|21.0|0|0.0|0
0|2020-04-19|313.0|0|21.0|0|0.0|0
0|2020-04-20|324.0|0|23.0|0|0.0|0
0|2020-04-21|345.0|0|23.0|0|0.0|0
0|2020-04-22|372.0|0|24.0|0|0.0|0
0|2020-04-23|388.0|0|26.0|0|0.0|0
0|2020-04-24|393.0|0|27.0|0|0.0|0
0|2020-04-25|400.0|0|27.0|0|0.0|0
0|2020-04-26|403.0|0|27.0|0|0.0|0
0|2020-04-27|404.0|0|27.0|0|0.0|0
0|2020-04-28|410.0|0|28.0|0|0.0|0
0|2020-04-29|417.0|0|28.0|0|0.0|0
0|2020-04-30|419.0|0|28.0|0|0.0|0
0|2020-05-01|426.0|0|29.0|0|0.0|0
0|2020-05-02|430.0|0|29.0|0|0.0|0
0|2020-05-03|432.0|0|29.0|0|0.0|0
0|2020-05-04|436.0|0|29.0|0|0.0|0
0|2020-05-05|439.0|0|30.0|0|0.0|0
0|2020-05-06|447.0|0|31.0|0|0.0|0
0|2020-05-07|448.0|0|32.0|0|0.0|0
0|2020-05-08|453.0|0|32.0|0|0.0|0
0|2020-05-09|455.0|0|32.0|0|0.0|0
0|2020-05-10|456.0|0|32.0|0|0.0|0
0|2020-05-11|456.0|0|32.0|0|0.0|0
0|2020-05-12|457.0|0|33.0|0|0.0|0
0|2020-05-13|458.0|0|33.0|0|0.0|0
