|dates|King_Washington_UnitedStates.JHU_ConfirmedCases.data|King_Washington_UnitedStates.JHU_ConfirmedCases.missing|King_Washington_UnitedStates.JHU_ConfirmedDeaths.data|King_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|King_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|King_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-09|1.0|0|0.0|0|1.0|0
0|2020-02-10|1.0|0|0.0|0|1.0|0
0|2020-02-11|1.0|0|0.0|0|1.0|0
0|2020-02-12|1.0|0|0.0|0|1.0|0
0|2020-02-13|1.0|0|0.0|0|1.0|0
0|2020-02-14|1.0|0|0.0|0|1.0|0
0|2020-02-15|1.0|0|0.0|0|1.0|0
0|2020-02-16|1.0|0|0.0|0|1.0|0
0|2020-02-17|1.0|0|0.0|0|1.0|0
0|2020-02-18|1.0|0|0.0|0|1.0|0
0|2020-02-19|1.0|0|0.0|0|1.0|0
0|2020-02-20|1.0|0|0.0|0|1.0|0
0|2020-02-21|1.0|0|0.0|0|1.0|0
0|2020-02-22|1.0|0|0.0|0|1.0|0
0|2020-02-23|1.0|0|0.0|0|1.0|0
0|2020-02-24|1.0|0|0.0|0|1.0|0
0|2020-02-25|1.0|0|0.0|0|1.0|0
0|2020-02-26|1.0|0|0.0|0|1.0|0
0|2020-02-27|1.0|0|0.0|0|1.0|0
0|2020-02-28|1.0|0|0.0|0|1.0|0
0|2020-02-29|6.0|0|1.0|0|1.0|0
0|2020-03-01|9.0|0|1.0|0|1.0|0
0|2020-03-02|14.0|0|5.0|0|1.0|0
0|2020-03-03|21.0|0|6.0|0|1.0|0
0|2020-03-04|31.0|0|9.0|0|1.0|0
0|2020-03-05|51.0|0|10.0|0|1.0|0
0|2020-03-06|58.0|0|12.0|0|1.0|0
0|2020-03-07|71.0|0|15.0|0|1.0|0
0|2020-03-08|83.0|0|17.0|0|1.0|0
0|2020-03-09|83.0|0|17.0|0|1.0|0
0|2020-03-10|116.0|0|21.0|0|1.0|0
0|2020-03-11|190.0|0|22.0|0|1.0|0
0|2020-03-12|270.0|0|27.0|0|1.0|0
0|2020-03-13|328.0|0|32.0|0|1.0|0
0|2020-03-14|387.0|0|34.0|0|1.0|0
0|2020-03-15|387.0|0|35.0|0|1.0|0
0|2020-03-16|488.0|0|43.0|0|1.0|0
0|2020-03-17|569.0|0|46.0|0|1.0|0
0|2020-03-18|562.0|0|56.0|0|1.0|0
0|2020-03-19|693.0|0|60.0|0|1.0|0
0|2020-03-20|793.0|0|67.0|0|1.0|0
0|2020-03-21|934.0|0|74.0|0|1.0|0
0|2020-03-22|1040.0|0|75.0|0|0.0|0
0|2020-03-23|1170.0|0|87.0|0|0.0|0
0|2020-03-24|1170.0|0|87.0|0|0.0|0
0|2020-03-25|1359.0|0|101.0|0|0.0|0
0|2020-03-26|1577.0|0|109.0|0|0.0|0
0|2020-03-27|1577.0|0|109.0|0|0.0|0
0|2020-03-28|2077.0|0|136.0|0|0.0|0
0|2020-03-29|2159.0|0|141.0|0|0.0|0
0|2020-03-30|2161.0|0|144.0|0|0.0|0
0|2020-03-31|2330.0|0|150.0|0|0.0|0
0|2020-04-01|2330.0|0|150.0|0|0.0|0
0|2020-04-02|2656.0|0|175.0|0|0.0|0
0|2020-04-03|2787.0|0|186.0|0|0.0|0
0|2020-04-04|2898.0|0|200.0|0|0.0|0
0|2020-04-05|3167.0|0|208.0|0|0.0|0
0|2020-04-06|3331.0|0|222.0|0|0.0|0
0|2020-04-07|3486.0|0|230.0|0|0.0|0
0|2020-04-08|3688.0|0|244.0|0|0.0|0
0|2020-04-09|3886.0|0|258.0|0|0.0|0
0|2020-04-10|4117.0|0|277.0|0|0.0|0
0|2020-04-11|4262.0|0|284.0|0|0.0|0
0|2020-04-12|4426.0|0|292.0|0|0.0|0
0|2020-04-13|4426.0|0|292.0|0|0.0|0
0|2020-04-14|4549.0|0|296.0|0|0.0|0
0|2020-04-15|4620.0|0|303.0|0|0.0|0
0|2020-04-16|4697.0|0|312.0|0|0.0|0
0|2020-04-17|4902.0|0|331.0|0|0.0|0
0|2020-04-18|4902.0|0|331.0|0|0.0|0
0|2020-04-19|5174.0|0|346.0|0|0.0|0
0|2020-04-20|5174.0|0|346.0|0|0.0|0
0|2020-04-21|5293.0|0|360.0|0|0.0|0
0|2020-04-22|5379.0|0|373.0|0|0.0|0
0|2020-04-23|5532.0|0|385.0|0|0.0|0
0|2020-04-24|5637.0|0|393.0|0|0.0|0
0|2020-04-25|5739.0|0|400.0|0|0.0|0
0|2020-04-26|5863.0|0|408.0|0|0.0|0
0|2020-04-27|5945.0|0|416.0|0|0.0|0
0|2020-04-28|6001.0|0|429.0|0|0.0|0
0|2020-04-29|6103.0|0|438.0|0|0.0|0
0|2020-04-30|6207.0|0|447.0|0|0.0|0
0|2020-05-01|6274.0|0|452.0|0|0.0|0
0|2020-05-02|6351.0|0|457.0|0|0.0|0
0|2020-05-03|6449.0|0|459.0|0|0.0|0
0|2020-05-04|6545.0|0|463.0|0|0.0|0
0|2020-05-05|6621.0|0|469.0|0|0.0|0
0|2020-05-06|6704.0|0|474.0|0|0.0|0
0|2020-05-07|6809.0|0|480.0|0|0.0|0
0|2020-05-08|6863.0|0|487.0|0|0.0|0
0|2020-05-09|6947.0|0|491.0|0|0.0|0
0|2020-05-10|7007.0|0|500.0|0|0.0|0
0|2020-05-11|7007.0|0|500.0|0|0.0|0
0|2020-05-12|7137.0|0|513.0|0|0.0|0
0|2020-05-13|7212.0|0|518.0|0|0.0|0
