|dates|Esmeralda_Nevada_UnitedStates.JHU_ConfirmedCases.data|Esmeralda_Nevada_UnitedStates.JHU_ConfirmedCases.missing|Esmeralda_Nevada_UnitedStates.JHU_ConfirmedDeaths.data|Esmeralda_Nevada_UnitedStates.JHU_ConfirmedDeaths.missing|Esmeralda_Nevada_UnitedStates.JHU_ConfirmedRecoveries.data|Esmeralda_Nevada_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|1.0|0|0.0|0|0.0|0
0|2020-03-06|2.0|0|0.0|0|0.0|0
0|2020-03-07|2.0|0|0.0|0|0.0|0
0|2020-03-08|4.0|0|0.0|0|0.0|0
0|2020-03-09|4.0|0|0.0|0|0.0|0
0|2020-03-10|4.0|0|0.0|0|0.0|0
0|2020-03-11|7.0|0|0.0|0|0.0|0
0|2020-03-12|10.0|0|0.0|0|0.0|0
0|2020-03-13|18.0|0|0.0|0|0.0|0
0|2020-03-14|20.0|0|0.0|0|0.0|0
0|2020-03-15|20.0|0|0.0|0|0.0|0
0|2020-03-16|45.0|0|1.0|0|0.0|0
0|2020-03-17|55.0|0|1.0|0|0.0|0
0|2020-03-18|55.0|0|1.0|0|0.0|0
0|2020-03-19|95.0|0|1.0|0|0.0|0
0|2020-03-20|161.0|0|2.0|0|0.0|0
0|2020-03-21|161.0|0|2.0|0|0.0|0
0|2020-03-22|190.0|0|2.0|0|0.0|0
0|2020-03-23|245.0|0|4.0|0|0.0|0
0|2020-03-24|278.0|0|4.0|0|0.0|0
0|2020-03-25|323.0|0|6.0|0|0.0|0
0|2020-03-26|422.0|0|10.0|0|0.0|0
0|2020-03-27|538.0|0|10.0|0|0.0|0
0|2020-03-28|628.0|0|10.0|0|0.0|0
0|2020-03-29|922.0|0|15.0|0|0.0|0
0|2020-03-30|1014.0|0|15.0|0|0.0|0
0|2020-03-31|1116.0|0|26.0|0|0.0|0
0|2020-04-01|1281.0|0|31.0|0|0.0|0
0|2020-04-02|1465.0|0|38.0|0|0.0|0
0|2020-04-03|1516.0|0|43.0|0|0.0|0
0|2020-04-04|1744.0|0|46.0|0|0.0|0
0|2020-04-05|1857.0|0|46.0|0|0.0|0
0|2020-04-06|1955.0|0|46.0|0|0.0|0
0|2020-04-07|2126.0|0|72.0|0|0.0|0
0|2020-04-08|2261.0|0|72.0|0|0.0|0
0|2020-04-09|2458.0|0|81.0|0|0.0|0
0|2020-04-10|2724.0|0|90.0|0|0.0|0
0|2020-04-11|2704.0|0|102.0|0|0.0|0
0|2020-04-12|2838.0|0|112.0|0|0.0|0
0|2020-04-13|2992.0|0|114.0|0|0.0|0
0|2020-04-14|3136.0|0|126.0|0|0.0|0
0|2020-04-15|3213.0|0|131.0|0|0.0|0
0|2020-04-16|3216.0|0|137.0|0|0.0|0
0|2020-04-17|3526.0|0|142.0|0|0.0|0
0|2020-04-18|3628.0|0|151.0|0|0.0|0
0|2020-04-19|3730.0|0|158.0|0|0.0|0
0|2020-04-20|3832.0|0|159.0|0|0.0|0
0|2020-04-21|3939.0|0|163.0|0|0.0|0
0|2020-04-22|4083.0|0|172.0|0|0.0|0
0|2020-04-23|4210.0|0|195.0|0|0.0|0
0|2020-04-24|4400.0|0|197.0|0|0.0|0
0|2020-04-25|4541.0|0|205.0|0|0.0|0
0|2020-04-26|4736.0|0|206.0|0|0.0|0
0|2020-04-27|4702.0|0|206.0|0|0.0|0
0|2020-04-28|4823.0|0|219.0|0|0.0|0
0|2020-04-29|4936.0|0|230.0|0|0.0|0
0|2020-04-30|5055.0|0|243.0|0|0.0|0
0|2020-05-01|5250.0|0|246.0|0|0.0|0
0|2020-05-02|5391.0|0|255.0|0|0.0|0
0|2020-05-03|5474.0|0|258.0|0|0.0|0
0|2020-05-04|5632.0|0|265.0|0|0.0|0
0|2020-05-05|5662.0|0|270.0|0|0.0|0
0|2020-05-06|5662.0|0|270.0|0|0.0|0
0|2020-05-07|5662.0|0|270.0|0|0.0|0
0|2020-05-08|5662.0|0|270.0|0|0.0|0
0|2020-05-09|5662.0|0|270.0|0|0.0|0
0|2020-05-10|5662.0|0|270.0|0|0.0|0
0|2020-05-11|5662.0|0|270.0|0|0.0|0
0|2020-05-12|5662.0|0|270.0|0|0.0|0
0|2020-05-13|5662.0|0|270.0|0|0.0|0
