|dates|Fulton_Georgia_UnitedStates.JHU_ConfirmedCases.data|Fulton_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Fulton_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Fulton_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Fulton_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Fulton_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|2.0|0|0.0|0|0.0|0
0|2020-03-04|2.0|0|0.0|0|0.0|0
0|2020-03-05|2.0|0|0.0|0|0.0|0
0|2020-03-06|2.0|0|0.0|0|0.0|0
0|2020-03-07|3.0|0|0.0|0|0.0|0
0|2020-03-08|3.0|0|0.0|0|0.0|0
0|2020-03-09|5.0|0|0.0|0|0.0|0
0|2020-03-10|5.0|0|0.0|0|0.0|0
0|2020-03-11|7.0|0|0.0|0|0.0|0
0|2020-03-12|6.0|0|0.0|0|0.0|0
0|2020-03-13|8.0|0|0.0|0|0.0|0
0|2020-03-14|13.0|0|0.0|0|0.0|0
0|2020-03-15|20.0|0|0.0|0|0.0|0
0|2020-03-16|27.0|0|0.0|0|0.0|0
0|2020-03-17|33.0|0|0.0|0|0.0|0
0|2020-03-18|49.0|0|0.0|0|0.0|0
0|2020-03-19|66.0|0|0.0|0|0.0|0
0|2020-03-20|88.0|0|2.0|0|0.0|0
0|2020-03-21|99.0|0|2.0|0|0.0|0
0|2020-03-22|111.0|0|2.0|0|0.0|0
0|2020-03-23|145.0|0|2.0|0|0.0|0
0|2020-03-24|184.0|0|2.0|0|0.0|0
0|2020-03-25|198.0|0|2.0|0|0.0|0
0|2020-03-26|211.0|0|2.0|0|0.0|0
0|2020-03-27|307.0|0|2.0|0|0.0|0
0|2020-03-28|373.0|0|12.0|0|0.0|0
0|2020-03-29|407.0|0|13.0|0|0.0|0
0|2020-03-30|463.0|0|14.0|0|0.0|0
0|2020-03-31|570.0|0|17.0|0|0.0|0
0|2020-04-01|624.0|0|19.0|0|0.0|0
0|2020-04-02|712.0|0|22.0|0|0.0|0
0|2020-04-03|882.0|0|23.0|0|0.0|0
0|2020-04-04|941.0|0|26.0|0|0.0|0
0|2020-04-05|962.0|0|27.0|0|0.0|0
0|2020-04-06|1027.0|0|28.0|0|0.0|0
0|2020-04-07|1124.0|0|36.0|0|0.0|0
0|2020-04-08|1240.0|0|41.0|0|0.0|0
0|2020-04-09|1276.0|0|45.0|0|0.0|0
0|2020-04-10|1364.0|0|48.0|0|0.0|0
0|2020-04-11|1422.0|0|50.0|0|0.0|0
0|2020-04-12|1467.0|0|50.0|0|0.0|0
0|2020-04-13|1598.0|0|52.0|0|0.0|0
0|2020-04-14|1812.0|0|60.0|0|0.0|0
0|2020-04-15|1844.0|0|62.0|0|0.0|0
0|2020-04-16|1929.0|0|63.0|0|0.0|0
0|2020-04-17|2025.0|0|73.0|0|0.0|0
0|2020-04-18|2054.0|0|74.0|0|0.0|0
0|2020-04-19|2110.0|0|75.0|0|0.0|0
0|2020-04-20|2198.0|0|80.0|0|0.0|0
0|2020-04-21|2208.0|0|82.0|0|0.0|0
0|2020-04-22|2255.0|0|85.0|0|0.0|0
0|2020-04-23|2436.0|0|88.0|0|0.0|0
0|2020-04-24|2500.0|0|91.0|0|0.0|0
0|2020-04-25|2543.0|0|91.0|0|0.0|0
0|2020-04-26|2545.0|0|94.0|0|0.0|0
0|2020-04-27|2680.0|0|103.0|0|0.0|0
0|2020-04-28|2727.0|0|108.0|0|0.0|0
0|2020-04-29|2770.0|0|115.0|0|0.0|0
0|2020-04-30|2811.0|0|117.0|0|0.0|0
0|2020-05-01|2882.0|0|122.0|0|0.0|0
0|2020-05-02|2928.0|0|122.0|0|0.0|0
0|2020-05-03|2979.0|0|124.0|0|0.0|0
0|2020-05-04|3065.0|0|129.0|0|0.0|0
0|2020-05-05|3164.0|0|130.0|0|0.0|0
0|2020-05-06|3251.0|0|135.0|0|0.0|0
0|2020-05-07|3258.0|0|137.0|0|0.0|0
0|2020-05-08|3317.0|0|144.0|0|0.0|0
0|2020-05-09|3385.0|0|144.0|0|0.0|0
0|2020-05-10|3508.0|0|144.0|0|0.0|0
0|2020-05-11|3508.0|0|144.0|0|0.0|0
0|2020-05-12|3595.0|0|149.0|0|0.0|0
0|2020-05-13|3614.0|0|152.0|0|0.0|0
