|dates|DeKalb_Georgia_UnitedStates.JHU_ConfirmedCases.data|DeKalb_Georgia_UnitedStates.JHU_ConfirmedCases.missing|DeKalb_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|DeKalb_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|DeKalb_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|DeKalb_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|2.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|4.0|0|0.0|0|0.0|0
0|2020-03-13|5.0|0|0.0|0|0.0|0
0|2020-03-14|8.0|0|0.0|0|0.0|0
0|2020-03-15|10.0|0|0.0|0|0.0|0
0|2020-03-16|10.0|0|0.0|0|0.0|0
0|2020-03-17|15.0|0|0.0|0|0.0|0
0|2020-03-18|18.0|0|0.0|0|0.0|0
0|2020-03-19|22.0|0|0.0|0|0.0|0
0|2020-03-20|36.0|0|0.0|0|0.0|0
0|2020-03-21|41.0|0|0.0|0|0.0|0
0|2020-03-22|53.0|0|0.0|0|0.0|0
0|2020-03-23|75.0|0|0.0|0|0.0|0
0|2020-03-24|94.0|0|0.0|0|0.0|0
0|2020-03-25|116.0|0|0.0|0|0.0|0
0|2020-03-26|129.0|0|0.0|0|0.0|0
0|2020-03-27|181.0|0|0.0|0|0.0|0
0|2020-03-28|240.0|0|2.0|0|0.0|0
0|2020-03-29|272.0|0|3.0|0|0.0|0
0|2020-03-30|281.0|0|3.0|0|0.0|0
0|2020-03-31|335.0|0|3.0|0|0.0|0
0|2020-04-01|365.0|0|4.0|0|0.0|0
0|2020-04-02|396.0|0|6.0|0|0.0|0
0|2020-04-03|448.0|0|8.0|0|0.0|0
0|2020-04-04|500.0|0|8.0|0|0.0|0
0|2020-04-05|543.0|0|9.0|0|0.0|0
0|2020-04-06|579.0|0|10.0|0|0.0|0
0|2020-04-07|645.0|0|11.0|0|0.0|0
0|2020-04-08|706.0|0|11.0|0|0.0|0
0|2020-04-09|742.0|0|12.0|0|0.0|0
0|2020-04-10|795.0|0|13.0|0|0.0|0
0|2020-04-11|835.0|0|13.0|0|0.0|0
0|2020-04-12|869.0|0|14.0|0|0.0|0
0|2020-04-13|980.0|0|14.0|0|0.0|0
0|2020-04-14|1144.0|0|15.0|0|0.0|0
0|2020-04-15|1191.0|0|15.0|0|0.0|0
0|2020-04-16|1247.0|0|18.0|0|0.0|0
0|2020-04-17|1349.0|0|23.0|0|0.0|0
0|2020-04-18|1396.0|0|24.0|0|0.0|0
0|2020-04-19|1452.0|0|24.0|0|0.0|0
0|2020-04-20|1521.0|0|27.0|0|0.0|0
0|2020-04-21|1534.0|0|29.0|0|0.0|0
0|2020-04-22|1609.0|0|31.0|0|0.0|0
0|2020-04-23|1689.0|0|34.0|0|0.0|0
0|2020-04-24|1721.0|0|36.0|0|0.0|0
0|2020-04-25|1788.0|0|36.0|0|0.0|0
0|2020-04-26|1800.0|0|36.0|0|0.0|0
0|2020-04-27|1855.0|0|42.0|0|0.0|0
0|2020-04-28|1887.0|0|43.0|0|0.0|0
0|2020-04-29|1970.0|0|46.0|0|0.0|0
0|2020-04-30|2026.0|0|47.0|0|0.0|0
0|2020-05-01|2072.0|0|49.0|0|0.0|0
0|2020-05-02|2148.0|0|52.0|0|0.0|0
0|2020-05-03|2183.0|0|53.0|0|0.0|0
0|2020-05-04|2259.0|0|57.0|0|0.0|0
0|2020-05-05|2284.0|0|59.0|0|0.0|0
0|2020-05-06|2357.0|0|61.0|0|0.0|0
0|2020-05-07|2396.0|0|62.0|0|0.0|0
0|2020-05-08|2445.0|0|69.0|0|0.0|0
0|2020-05-09|2489.0|0|69.0|0|0.0|0
0|2020-05-10|2535.0|0|69.0|0|0.0|0
0|2020-05-11|2535.0|0|69.0|0|0.0|0
0|2020-05-12|2605.0|0|72.0|0|0.0|0
0|2020-05-13|2632.0|0|73.0|0|0.0|0
