|dates|Mitchell_Georgia_UnitedStates.JHU_ConfirmedCases.data|Mitchell_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Mitchell_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Mitchell_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Mitchell_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Mitchell_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|4.0|0|0.0|0|0.0|0
0|2020-03-26|10.0|0|0.0|0|0.0|0
0|2020-03-27|14.0|0|0.0|0|0.0|0
0|2020-03-28|14.0|0|0.0|0|0.0|0
0|2020-03-29|15.0|0|0.0|0|0.0|0
0|2020-03-30|15.0|0|0.0|0|0.0|0
0|2020-03-31|31.0|0|1.0|0|0.0|0
0|2020-04-01|38.0|0|1.0|0|0.0|0
0|2020-04-02|39.0|0|1.0|0|0.0|0
0|2020-04-03|43.0|0|1.0|0|0.0|0
0|2020-04-04|52.0|0|1.0|0|0.0|0
0|2020-04-05|53.0|0|1.0|0|0.0|0
0|2020-04-06|56.0|0|1.0|0|0.0|0
0|2020-04-07|90.0|0|10.0|0|0.0|0
0|2020-04-08|108.0|0|11.0|0|0.0|0
0|2020-04-09|116.0|0|14.0|0|0.0|0
0|2020-04-10|131.0|0|13.0|0|0.0|0
0|2020-04-11|135.0|0|13.0|0|0.0|0
0|2020-04-12|136.0|0|13.0|0|0.0|0
0|2020-04-13|147.0|0|15.0|0|0.0|0
0|2020-04-14|164.0|0|19.0|0|0.0|0
0|2020-04-15|172.0|0|20.0|0|0.0|0
0|2020-04-16|183.0|0|20.0|0|0.0|0
0|2020-04-17|203.0|0|22.0|0|0.0|0
0|2020-04-18|212.0|0|23.0|0|0.0|0
0|2020-04-19|213.0|0|23.0|0|0.0|0
0|2020-04-20|210.0|0|23.0|0|0.0|0
0|2020-04-21|214.0|0|23.0|0|0.0|0
0|2020-04-22|280.0|0|23.0|0|0.0|0
0|2020-04-23|290.0|0|24.0|0|0.0|0
0|2020-04-24|288.0|0|24.0|0|0.0|0
0|2020-04-25|288.0|0|25.0|0|0.0|0
0|2020-04-26|290.0|0|26.0|0|0.0|0
0|2020-04-27|293.0|0|28.0|0|0.0|0
0|2020-04-28|293.0|0|29.0|0|0.0|0
0|2020-04-29|306.0|0|30.0|0|0.0|0
0|2020-04-30|310.0|0|30.0|0|0.0|0
0|2020-05-01|318.0|0|31.0|0|0.0|0
0|2020-05-02|319.0|0|31.0|0|0.0|0
0|2020-05-03|319.0|0|31.0|0|0.0|0
0|2020-05-04|326.0|0|33.0|0|0.0|0
0|2020-05-05|331.0|0|33.0|0|0.0|0
0|2020-05-06|336.0|0|31.0|0|0.0|0
0|2020-05-07|340.0|0|31.0|0|0.0|0
0|2020-05-08|341.0|0|31.0|0|0.0|0
0|2020-05-09|350.0|0|31.0|0|0.0|0
0|2020-05-10|352.0|0|31.0|0|0.0|0
0|2020-05-11|352.0|0|31.0|0|0.0|0
0|2020-05-12|357.0|0|32.0|0|0.0|0
0|2020-05-13|381.0|0|32.0|0|0.0|0
