|dates|Providence_RhodeIsland_UnitedStates.JHU_ConfirmedCases.data|Providence_RhodeIsland_UnitedStates.JHU_ConfirmedCases.missing|Providence_RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.data|Providence_RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.missing|Providence_RhodeIsland_UnitedStates.JHU_ConfirmedRecoveries.data|Providence_RhodeIsland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|1.0|0|0.0|0|0.0|0
0|2020-03-02|2.0|0|0.0|0|0.0|0
0|2020-03-03|2.0|0|0.0|0|0.0|0
0|2020-03-04|2.0|0|0.0|0|0.0|0
0|2020-03-05|2.0|0|0.0|0|0.0|0
0|2020-03-06|2.0|0|0.0|0|0.0|0
0|2020-03-07|3.0|0|0.0|0|0.0|0
0|2020-03-08|3.0|0|0.0|0|0.0|0
0|2020-03-09|3.0|0|0.0|0|0.0|0
0|2020-03-10|3.0|0|0.0|0|0.0|0
0|2020-03-11|5.0|0|0.0|0|0.0|0
0|2020-03-12|3.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|20.0|0|0.0|0|0.0|0
0|2020-03-15|20.0|0|0.0|0|0.0|0
0|2020-03-16|21.0|0|0.0|0|0.0|0
0|2020-03-17|23.0|0|0.0|0|0.0|0
0|2020-03-18|33.0|0|0.0|0|0.0|0
0|2020-03-19|44.0|0|0.0|0|0.0|0
0|2020-03-20|44.0|0|0.0|0|0.0|0
0|2020-03-21|30.0|0|0.0|0|0.0|0
0|2020-03-22|37.0|0|0.0|0|0.0|0
0|2020-03-23|52.0|0|0.0|0|0.0|0
0|2020-03-24|52.0|0|0.0|0|0.0|0
0|2020-03-25|52.0|0|0.0|0|0.0|0
0|2020-03-26|91.0|0|0.0|0|0.0|0
0|2020-03-27|91.0|0|0.0|0|0.0|0
0|2020-03-28|91.0|0|0.0|0|0.0|0
0|2020-03-29|156.0|0|0.0|0|0.0|0
0|2020-03-30|156.0|0|0.0|0|0.0|0
0|2020-03-31|208.0|0|0.0|0|0.0|0
0|2020-04-01|301.0|0|0.0|0|0.0|0
0|2020-04-02|418.0|0|0.0|0|0.0|0
0|2020-04-03|418.0|0|3.0|0|0.0|0
0|2020-04-04|418.0|0|3.0|0|0.0|0
0|2020-04-05|491.0|0|3.0|0|0.0|0
0|2020-04-06|538.0|0|3.0|0|0.0|0
0|2020-04-07|622.0|0|3.0|0|0.0|0
0|2020-04-08|832.0|0|3.0|0|0.0|0
0|2020-04-09|832.0|0|3.0|0|0.0|0
0|2020-04-10|955.0|0|3.0|0|0.0|0
0|2020-04-11|1278.0|0|3.0|0|0.0|0
0|2020-04-12|1278.0|0|3.0|0|0.0|0
0|2020-04-13|1278.0|0|3.0|0|0.0|0
0|2020-04-14|1278.0|0|3.0|0|0.0|0
0|2020-04-15|1957.0|0|3.0|0|0.0|0
0|2020-04-16|2072.0|0|3.0|0|0.0|0
0|2020-04-17|2703.0|0|3.0|0|0.0|0
0|2020-04-18|2703.0|0|3.0|0|0.0|0
0|2020-04-19|3014.0|0|3.0|0|0.0|0
0|2020-04-20|3491.0|0|3.0|0|0.0|0
0|2020-04-21|3727.0|0|3.0|0|0.0|0
0|2020-04-22|4064.0|0|3.0|0|0.0|0
0|2020-04-23|4350.0|0|0.0|0|0.0|0
0|2020-04-24|4603.0|0|0.0|0|0.0|0
0|2020-04-25|4916.0|0|0.0|0|0.0|0
0|2020-04-26|5266.0|0|0.0|0|0.0|0
0|2020-04-27|5427.0|0|0.0|0|0.0|0
0|2020-04-28|5520.0|0|0.0|0|0.0|0
0|2020-04-29|5967.0|0|0.0|0|0.0|0
0|2020-04-30|6290.0|0|0.0|0|0.0|0
0|2020-05-01|6579.0|0|0.0|0|0.0|0
0|2020-05-02|6822.0|0|0.0|0|0.0|0
0|2020-05-03|7028.0|0|0.0|0|0.0|0
0|2020-05-04|7138.0|0|0.0|0|0.0|0
0|2020-05-05|7138.0|0|0.0|0|0.0|0
0|2020-05-06|7138.0|0|0.0|0|0.0|0
0|2020-05-07|7138.0|0|0.0|0|0.0|0
0|2020-05-08|7138.0|0|0.0|0|0.0|0
0|2020-05-09|7138.0|0|0.0|0|0.0|0
0|2020-05-10|7138.0|0|0.0|0|0.0|0
0|2020-05-11|7138.0|0|0.0|0|0.0|0
0|2020-05-12|8798.0|0|0.0|0|0.0|0
0|2020-05-13|9112.0|0|0.0|0|0.0|0
