|dates|Northampton_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Northampton_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Northampton_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Northampton_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Northampton_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Northampton_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|1.0|0|0.0|0
0|2020-03-19|5.0|0|1.0|0|0.0|0
0|2020-03-20|10.0|0|1.0|0|0.0|0
0|2020-03-21|17.0|0|1.0|0|0.0|0
0|2020-03-22|21.0|0|1.0|0|0.0|0
0|2020-03-23|23.0|0|2.0|0|0.0|0
0|2020-03-24|33.0|0|2.0|0|0.0|0
0|2020-03-25|44.0|0|3.0|0|0.0|0
0|2020-03-26|56.0|0|3.0|0|0.0|0
0|2020-03-27|79.0|0|3.0|0|0.0|0
0|2020-03-28|94.0|0|4.0|0|0.0|0
0|2020-03-29|126.0|0|4.0|0|0.0|0
0|2020-03-30|184.0|0|5.0|0|0.0|0
0|2020-03-31|245.0|0|5.0|0|0.0|0
0|2020-04-01|312.0|0|5.0|0|0.0|0
0|2020-04-02|378.0|0|9.0|0|0.0|0
0|2020-04-03|466.0|0|10.0|0|0.0|0
0|2020-04-04|588.0|0|11.0|0|0.0|0
0|2020-04-05|636.0|0|11.0|0|0.0|0
0|2020-04-06|716.0|0|12.0|0|0.0|0
0|2020-04-07|774.0|0|14.0|0|0.0|0
0|2020-04-08|857.0|0|17.0|0|0.0|0
0|2020-04-09|949.0|0|20.0|0|0.0|0
0|2020-04-10|994.0|0|21.0|0|0.0|0
0|2020-04-11|1039.0|0|23.0|0|0.0|0
0|2020-04-12|1082.0|0|23.0|0|0.0|0
0|2020-04-13|1130.0|0|23.0|0|0.0|0
0|2020-04-14|1176.0|0|25.0|0|0.0|0
0|2020-04-15|1251.0|0|25.0|0|0.0|0
0|2020-04-16|1296.0|0|25.0|0|0.0|0
0|2020-04-17|1335.0|0|27.0|0|0.0|0
0|2020-04-18|1396.0|0|29.0|0|0.0|0
0|2020-04-19|1441.0|0|36.0|0|0.0|0
0|2020-04-20|1469.0|0|36.0|0|0.0|0
0|2020-04-21|1544.0|0|43.0|0|0.0|0
0|2020-04-22|1591.0|0|44.0|0|0.0|0
0|2020-04-23|1656.0|0|45.0|0|0.0|0
0|2020-04-24|1716.0|0|46.0|0|0.0|0
0|2020-04-25|1780.0|0|49.0|0|0.0|0
0|2020-04-26|1813.0|0|49.0|0|0.0|0
0|2020-04-27|1834.0|0|49.0|0|0.0|0
0|2020-04-28|1970.0|0|55.0|0|0.0|0
0|2020-04-29|2008.0|0|85.0|0|0.0|0
0|2020-04-30|2050.0|0|94.0|0|0.0|0
0|2020-05-01|2103.0|0|94.0|0|0.0|0
0|2020-05-02|2182.0|0|94.0|0|0.0|0
0|2020-05-03|2214.0|0|94.0|0|0.0|0
0|2020-05-04|2240.0|0|94.0|0|0.0|0
0|2020-05-05|2279.0|0|117.0|0|0.0|0
0|2020-05-06|2313.0|0|122.0|0|0.0|0
0|2020-05-07|2355.0|0|152.0|0|0.0|0
0|2020-05-08|2390.0|0|153.0|0|0.0|0
0|2020-05-09|2429.0|0|158.0|0|0.0|0
0|2020-05-10|2453.0|0|158.0|0|0.0|0
0|2020-05-11|2453.0|0|158.0|0|0.0|0
0|2020-05-12|2499.0|0|161.0|0|0.0|0
0|2020-05-13|2518.0|0|162.0|0|0.0|0
