|dates|Manatee_Florida_UnitedStates.JHU_ConfirmedCases.data|Manatee_Florida_UnitedStates.JHU_ConfirmedCases.missing|Manatee_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Manatee_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Manatee_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Manatee_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|2.0|0|0.0|0|0.0|0
0|2020-03-10|2.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|4.0|0|0.0|0|0.0|0
0|2020-03-15|4.0|0|0.0|0|0.0|0
0|2020-03-16|4.0|0|0.0|0|0.0|0
0|2020-03-17|7.0|0|0.0|0|0.0|0
0|2020-03-18|8.0|0|1.0|0|0.0|0
0|2020-03-19|9.0|0|1.0|0|0.0|0
0|2020-03-20|10.0|0|1.0|0|0.0|0
0|2020-03-21|13.0|0|1.0|0|0.0|0
0|2020-03-22|13.0|0|1.0|0|0.0|0
0|2020-03-23|15.0|0|1.0|0|0.0|0
0|2020-03-24|16.0|0|1.0|0|0.0|0
0|2020-03-25|22.0|0|1.0|0|0.0|0
0|2020-03-26|26.0|0|1.0|0|0.0|0
0|2020-03-27|28.0|0|1.0|0|0.0|0
0|2020-03-28|30.0|0|1.0|0|0.0|0
0|2020-03-29|33.0|0|1.0|0|0.0|0
0|2020-03-30|39.0|0|1.0|0|0.0|0
0|2020-03-31|53.0|0|2.0|0|0.0|0
0|2020-04-01|58.0|0|2.0|0|0.0|0
0|2020-04-02|89.0|0|3.0|0|0.0|0
0|2020-04-03|104.0|0|3.0|0|0.0|0
0|2020-04-04|129.0|0|3.0|0|0.0|0
0|2020-04-05|136.0|0|3.0|0|0.0|0
0|2020-04-06|144.0|0|3.0|0|0.0|0
0|2020-04-07|162.0|0|5.0|0|0.0|0
0|2020-04-08|171.0|0|7.0|0|0.0|0
0|2020-04-09|175.0|0|10.0|0|0.0|0
0|2020-04-10|198.0|0|11.0|0|0.0|0
0|2020-04-11|203.0|0|13.0|0|0.0|0
0|2020-04-12|236.0|0|13.0|0|0.0|0
0|2020-04-13|252.0|0|15.0|0|0.0|0
0|2020-04-14|261.0|0|16.0|0|0.0|0
0|2020-04-15|276.0|0|19.0|0|0.0|0
0|2020-04-16|309.0|0|20.0|0|0.0|0
0|2020-04-17|326.0|0|29.0|0|0.0|0
0|2020-04-18|362.0|0|31.0|0|0.0|0
0|2020-04-19|417.0|0|31.0|0|0.0|0
0|2020-04-20|433.0|0|33.0|0|0.0|0
0|2020-04-21|443.0|0|34.0|0|0.0|0
0|2020-04-22|445.0|0|34.0|0|0.0|0
0|2020-04-23|473.0|0|39.0|0|0.0|0
0|2020-04-24|491.0|0|42.0|0|0.0|0
0|2020-04-25|497.0|0|42.0|0|0.0|0
0|2020-04-26|508.0|0|42.0|0|0.0|0
0|2020-04-27|533.0|0|42.0|0|0.0|0
0|2020-04-28|563.0|0|46.0|0|0.0|0
0|2020-04-29|567.0|0|49.0|0|0.0|0
0|2020-04-30|580.0|0|55.0|0|0.0|0
0|2020-05-01|591.0|0|57.0|0|0.0|0
0|2020-05-02|607.0|0|59.0|0|0.0|0
0|2020-05-03|619.0|0|59.0|0|0.0|0
0|2020-05-04|636.0|0|59.0|0|0.0|0
0|2020-05-05|684.0|0|61.0|0|0.0|0
0|2020-05-06|722.0|0|64.0|0|0.0|0
0|2020-05-07|737.0|0|68.0|0|0.0|0
0|2020-05-08|742.0|0|72.0|0|0.0|0
0|2020-05-09|756.0|0|74.0|0|0.0|0
0|2020-05-10|776.0|0|74.0|0|0.0|0
0|2020-05-11|776.0|0|74.0|0|0.0|0
0|2020-05-12|795.0|0|74.0|0|0.0|0
0|2020-05-13|806.0|0|75.0|0|0.0|0
