|dates|Oakland_Michigan_UnitedStates.JHU_ConfirmedCases.data|Oakland_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Oakland_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Oakland_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Oakland_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Oakland_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|6.0|0|0.0|0|0.0|0
0|2020-03-15|9.0|0|0.0|0|0.0|0
0|2020-03-16|14.0|0|0.0|0|0.0|0
0|2020-03-17|16.0|0|0.0|0|0.0|0
0|2020-03-18|59.0|0|0.0|0|0.0|0
0|2020-03-19|105.0|0|0.0|0|0.0|0
0|2020-03-20|184.0|0|0.0|0|0.0|0
0|2020-03-21|230.0|0|2.0|0|0.0|0
0|2020-03-22|277.0|0|2.0|0|0.0|0
0|2020-03-23|329.0|0|4.0|0|0.0|0
0|2020-03-24|428.0|0|4.0|0|0.0|0
0|2020-03-25|543.0|0|10.0|0|0.0|0
0|2020-03-26|668.0|0|15.0|0|0.0|0
0|2020-03-27|824.0|0|26.0|0|0.0|0
0|2020-03-28|1018.0|0|31.0|0|0.0|0
0|2020-03-29|1170.0|0|34.0|0|0.0|0
0|2020-03-30|1365.0|0|48.0|0|0.0|0
0|2020-03-31|1591.0|0|70.0|0|0.0|0
0|2020-04-01|1910.0|0|99.0|0|0.0|0
0|2020-04-02|2183.0|0|119.0|0|0.0|0
0|2020-04-03|2540.0|0|136.0|0|0.0|0
0|2020-04-04|2785.0|0|142.0|0|0.0|0
0|2020-04-05|3035.0|0|163.0|0|0.0|0
0|2020-04-06|3380.0|0|185.0|0|0.0|0
0|2020-04-07|3736.0|0|205.0|0|0.0|0
0|2020-04-08|4007.0|0|234.0|0|0.0|0
0|2020-04-09|4247.0|0|246.0|0|0.0|0
0|2020-04-10|4511.0|0|282.0|0|0.0|0
0|2020-04-11|4802.0|0|316.0|0|0.0|0
0|2020-04-12|4915.0|0|329.0|0|0.0|0
0|2020-04-13|5073.0|0|347.0|0|0.0|0
0|2020-04-14|5364.0|0|364.0|0|0.0|0
0|2020-04-15|5576.0|0|392.0|0|0.0|0
0|2020-04-16|5778.0|0|420.0|0|0.0|0
0|2020-04-17|5901.0|0|442.0|0|0.0|0
0|2020-04-18|6021.0|0|458.0|0|0.0|0
0|2020-04-19|6109.0|0|471.0|0|0.0|0
0|2020-04-20|6178.0|0|479.0|0|0.0|0
0|2020-04-21|6306.0|0|506.0|0|0.0|0
0|2020-04-22|6463.0|0|529.0|0|0.0|0
0|2020-04-23|6634.0|0|567.0|0|0.0|0
0|2020-04-24|6804.0|0|585.0|0|0.0|0
0|2020-04-25|6881.0|0|612.0|0|0.0|0
0|2020-04-26|6928.0|0|620.0|0|0.0|0
0|2020-04-27|6913.0|0|631.0|0|0.0|0
0|2020-04-28|7012.0|0|654.0|0|0.0|0
0|2020-04-29|7159.0|0|668.0|0|0.0|0
0|2020-04-30|7267.0|0|696.0|0|0.0|0
0|2020-05-01|7423.0|0|705.0|0|0.0|0
0|2020-05-02|7475.0|0|745.0|0|0.0|0
0|2020-05-03|7518.0|0|757.0|0|0.0|0
0|2020-05-04|7499.0|0|762.0|0|0.0|0
0|2020-05-05|7522.0|0|772.0|0|0.0|0
0|2020-05-06|7573.0|0|774.0|0|0.0|0
0|2020-05-07|7624.0|0|789.0|0|0.0|0
0|2020-05-08|7664.0|0|805.0|0|0.0|0
0|2020-05-09|7692.0|0|841.0|0|0.0|0
0|2020-05-10|7736.0|0|843.0|0|0.0|0
0|2020-05-11|7736.0|0|843.0|0|0.0|0
0|2020-05-12|7784.0|0|872.0|0|0.0|0
0|2020-05-13|7830.0|0|874.0|0|0.0|0
