|dates|Washington_Oregon_UnitedStates.JHU_ConfirmedCases.data|Washington_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Washington_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|1.0|0|0.0|0|0.0|0
0|2020-03-01|1.0|0|0.0|0|0.0|0
0|2020-03-02|2.0|0|0.0|0|0.0|0
0|2020-03-03|2.0|0|0.0|0|0.0|0
0|2020-03-04|2.0|0|0.0|0|0.0|0
0|2020-03-05|2.0|0|0.0|0|0.0|0
0|2020-03-06|2.0|0|0.0|0|0.0|0
0|2020-03-07|3.0|0|0.0|0|0.0|0
0|2020-03-08|8.0|0|0.0|0|0.0|0
0|2020-03-09|8.0|0|0.0|0|0.0|0
0|2020-03-10|8.0|0|0.0|0|0.0|0
0|2020-03-11|8.0|0|0.0|0|0.0|0
0|2020-03-12|10.0|0|0.0|0|0.0|0
0|2020-03-13|10.0|0|0.0|0|0.0|0
0|2020-03-14|13.0|0|0.0|0|0.0|0
0|2020-03-15|13.0|0|0.0|0|0.0|0
0|2020-03-16|13.0|0|0.0|0|0.0|0
0|2020-03-17|21.0|0|0.0|0|0.0|0
0|2020-03-18|23.0|0|1.0|0|0.0|0
0|2020-03-19|25.0|0|1.0|0|0.0|0
0|2020-03-20|31.0|0|1.0|0|0.0|0
0|2020-03-21|42.0|0|1.0|0|0.0|0
0|2020-03-22|55.0|0|1.0|0|0.0|0
0|2020-03-23|69.0|0|1.0|0|0.0|0
0|2020-03-24|76.0|0|2.0|0|0.0|0
0|2020-03-25|96.0|0|2.0|0|0.0|0
0|2020-03-26|104.0|0|3.0|0|0.0|0
0|2020-03-27|122.0|0|3.0|0|0.0|0
0|2020-03-28|140.0|0|3.0|0|0.0|0
0|2020-03-29|154.0|0|3.0|0|0.0|0
0|2020-03-30|168.0|0|3.0|0|0.0|0
0|2020-03-31|186.0|0|3.0|0|0.0|0
0|2020-04-01|189.0|0|3.0|0|0.0|0
0|2020-04-02|211.0|0|4.0|0|0.0|0
0|2020-04-03|228.0|0|4.0|0|0.0|0
0|2020-04-04|228.0|0|4.0|0|0.0|0
0|2020-04-05|259.0|0|4.0|0|0.0|0
0|2020-04-06|259.0|0|4.0|0|0.0|0
0|2020-04-07|271.0|0|5.0|0|0.0|0
0|2020-04-08|282.0|0|6.0|0|0.0|0
0|2020-04-09|311.0|0|6.0|0|0.0|0
0|2020-04-10|311.0|0|6.0|0|0.0|0
0|2020-04-11|320.0|0|6.0|0|0.0|0
0|2020-04-12|348.0|0|6.0|0|0.0|0
0|2020-04-13|360.0|0|7.0|0|0.0|0
0|2020-04-14|365.0|0|7.0|0|0.0|0
0|2020-04-15|364.0|0|7.0|0|0.0|0
0|2020-04-16|376.0|0|7.0|0|0.0|0
0|2020-04-17|383.0|0|7.0|0|0.0|0
0|2020-04-18|387.0|0|7.0|0|0.0|0
0|2020-04-19|399.0|0|8.0|0|0.0|0
0|2020-04-20|408.0|0|8.0|0|0.0|0
0|2020-04-21|415.0|0|10.0|0|0.0|0
0|2020-04-22|425.0|0|10.0|0|0.0|0
0|2020-04-23|443.0|0|10.0|0|0.0|0
0|2020-04-24|451.0|0|10.0|0|0.0|0
0|2020-04-25|459.0|0|10.0|0|0.0|0
0|2020-04-26|466.0|0|10.0|0|0.0|0
0|2020-04-27|475.0|0|11.0|0|0.0|0
0|2020-04-28|474.0|0|11.0|0|0.0|0
0|2020-04-29|481.0|0|11.0|0|0.0|0
0|2020-04-30|491.0|0|11.0|0|0.0|0
0|2020-05-01|500.0|0|11.0|0|0.0|0
0|2020-05-02|509.0|0|11.0|0|0.0|0
0|2020-05-03|516.0|0|11.0|0|0.0|0
0|2020-05-04|526.0|0|11.0|0|0.0|0
0|2020-05-05|531.0|0|12.0|0|0.0|0
0|2020-05-06|537.0|0|12.0|0|0.0|0
0|2020-05-07|548.0|0|12.0|0|0.0|0
0|2020-05-08|556.0|0|12.0|0|0.0|0
0|2020-05-09|562.0|0|12.0|0|0.0|0
0|2020-05-10|573.0|0|12.0|0|0.0|0
0|2020-05-11|573.0|0|12.0|0|0.0|0
0|2020-05-12|601.0|0|13.0|0|0.0|0
0|2020-05-13|614.0|0|14.0|0|0.0|0
