|dates|PearlRiver_Mississippi_UnitedStates.JHU_ConfirmedCases.data|PearlRiver_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|PearlRiver_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|PearlRiver_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|PearlRiver_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|PearlRiver_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|7.0|0|0.0|0|0.0|0
0|2020-03-20|7.0|0|0.0|0|0.0|0
0|2020-03-21|7.0|0|0.0|0|0.0|0
0|2020-03-22|10.0|0|0.0|0|0.0|0
0|2020-03-23|12.0|0|0.0|0|0.0|0
0|2020-03-24|13.0|0|0.0|0|0.0|0
0|2020-03-25|13.0|0|0.0|0|0.0|0
0|2020-03-26|16.0|0|0.0|0|0.0|0
0|2020-03-27|18.0|0|0.0|0|0.0|0
0|2020-03-28|23.0|0|0.0|0|0.0|0
0|2020-03-29|27.0|0|0.0|0|0.0|0
0|2020-03-30|27.0|0|0.0|0|0.0|0
0|2020-03-31|30.0|0|0.0|0|0.0|0
0|2020-04-01|32.0|0|0.0|0|0.0|0
0|2020-04-02|36.0|0|0.0|0|0.0|0
0|2020-04-03|41.0|0|0.0|0|0.0|0
0|2020-04-04|43.0|0|1.0|0|0.0|0
0|2020-04-05|49.0|0|1.0|0|0.0|0
0|2020-04-06|52.0|0|2.0|0|0.0|0
0|2020-04-07|56.0|0|3.0|0|0.0|0
0|2020-04-08|60.0|0|3.0|0|0.0|0
0|2020-04-09|73.0|0|4.0|0|0.0|0
0|2020-04-10|77.0|0|4.0|0|0.0|0
0|2020-04-11|82.0|0|6.0|0|0.0|0
0|2020-04-12|83.0|0|7.0|0|0.0|0
0|2020-04-13|88.0|0|8.0|0|0.0|0
0|2020-04-14|93.0|0|8.0|0|0.0|0
0|2020-04-15|102.0|0|8.0|0|0.0|0
0|2020-04-16|112.0|0|8.0|0|0.0|0
0|2020-04-17|115.0|0|8.0|0|0.0|0
0|2020-04-18|119.0|0|10.0|0|0.0|0
0|2020-04-19|126.0|0|10.0|0|0.0|0
0|2020-04-20|132.0|0|10.0|0|0.0|0
0|2020-04-21|134.0|0|10.0|0|0.0|0
0|2020-04-22|136.0|0|10.0|0|0.0|0
0|2020-04-23|142.0|0|11.0|0|0.0|0
0|2020-04-24|144.0|0|13.0|0|0.0|0
0|2020-04-25|148.0|0|14.0|0|0.0|0
0|2020-04-26|152.0|0|14.0|0|0.0|0
0|2020-04-27|153.0|0|14.0|0|0.0|0
0|2020-04-28|154.0|0|15.0|0|0.0|0
0|2020-04-29|157.0|0|18.0|0|0.0|0
0|2020-04-30|163.0|0|19.0|0|0.0|0
0|2020-05-01|175.0|0|20.0|0|0.0|0
0|2020-05-02|176.0|0|20.0|0|0.0|0
0|2020-05-03|177.0|0|20.0|0|0.0|0
0|2020-05-04|181.0|0|20.0|0|0.0|0
0|2020-05-05|183.0|0|20.0|0|0.0|0
0|2020-05-06|183.0|0|21.0|0|0.0|0
0|2020-05-07|188.0|0|24.0|0|0.0|0
0|2020-05-08|189.0|0|24.0|0|0.0|0
0|2020-05-09|190.0|0|24.0|0|0.0|0
0|2020-05-10|189.0|0|24.0|0|0.0|0
0|2020-05-11|189.0|0|24.0|0|0.0|0
0|2020-05-12|190.0|0|25.0|0|0.0|0
0|2020-05-13|190.0|0|25.0|0|0.0|0
