|dates|Yamhill_Oregon_UnitedStates.JHU_ConfirmedCases.data|Yamhill_Oregon_UnitedStates.JHU_ConfirmedCases.missing|Yamhill_Oregon_UnitedStates.JHU_ConfirmedDeaths.data|Yamhill_Oregon_UnitedStates.JHU_ConfirmedDeaths.missing|Yamhill_Oregon_UnitedStates.JHU_ConfirmedRecoveries.data|Yamhill_Oregon_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|6.0|0|0.0|0|0.0|0
0|2020-03-23|6.0|0|0.0|0|0.0|0
0|2020-03-24|6.0|0|0.0|0|0.0|0
0|2020-03-25|7.0|0|0.0|0|0.0|0
0|2020-03-26|7.0|0|0.0|0|0.0|0
0|2020-03-27|11.0|0|0.0|0|0.0|0
0|2020-03-28|13.0|0|1.0|0|0.0|0
0|2020-03-29|13.0|0|1.0|0|0.0|0
0|2020-03-30|14.0|0|2.0|0|0.0|0
0|2020-03-31|16.0|0|3.0|0|0.0|0
0|2020-04-01|17.0|0|3.0|0|0.0|0
0|2020-04-02|18.0|0|3.0|0|0.0|0
0|2020-04-03|23.0|0|3.0|0|0.0|0
0|2020-04-04|23.0|0|3.0|0|0.0|0
0|2020-04-05|26.0|0|3.0|0|0.0|0
0|2020-04-06|26.0|0|3.0|0|0.0|0
0|2020-04-07|25.0|0|3.0|0|0.0|0
0|2020-04-08|25.0|0|3.0|0|0.0|0
0|2020-04-09|29.0|0|5.0|0|0.0|0
0|2020-04-10|29.0|0|5.0|0|0.0|0
0|2020-04-11|28.0|0|5.0|0|0.0|0
0|2020-04-12|30.0|0|6.0|0|0.0|0
0|2020-04-13|30.0|0|6.0|0|0.0|0
0|2020-04-14|32.0|0|6.0|0|0.0|0
0|2020-04-15|32.0|0|6.0|0|0.0|0
0|2020-04-16|33.0|0|6.0|0|0.0|0
0|2020-04-17|35.0|0|6.0|0|0.0|0
0|2020-04-18|34.0|0|6.0|0|0.0|0
0|2020-04-19|34.0|0|6.0|0|0.0|0
0|2020-04-20|35.0|0|6.0|0|0.0|0
0|2020-04-21|35.0|0|6.0|0|0.0|0
0|2020-04-22|35.0|0|6.0|0|0.0|0
0|2020-04-23|35.0|0|6.0|0|0.0|0
0|2020-04-24|35.0|0|6.0|0|0.0|0
0|2020-04-25|35.0|0|6.0|0|0.0|0
0|2020-04-26|36.0|0|6.0|0|0.0|0
0|2020-04-27|37.0|0|6.0|0|0.0|0
0|2020-04-28|38.0|0|7.0|0|0.0|0
0|2020-04-29|39.0|0|7.0|0|0.0|0
0|2020-04-30|39.0|0|7.0|0|0.0|0
0|2020-05-01|39.0|0|7.0|0|0.0|0
0|2020-05-02|39.0|0|7.0|0|0.0|0
0|2020-05-03|39.0|0|7.0|0|0.0|0
0|2020-05-04|40.0|0|7.0|0|0.0|0
0|2020-05-05|41.0|0|7.0|0|0.0|0
0|2020-05-06|42.0|0|7.0|0|0.0|0
0|2020-05-07|45.0|0|7.0|0|0.0|0
0|2020-05-08|45.0|0|7.0|0|0.0|0
0|2020-05-09|47.0|0|7.0|0|0.0|0
0|2020-05-10|49.0|0|7.0|0|0.0|0
0|2020-05-11|49.0|0|7.0|0|0.0|0
0|2020-05-12|50.0|0|7.0|0|0.0|0
0|2020-05-13|50.0|0|7.0|0|0.0|0
