|dates|Bell_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Bell_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Bell_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Bell_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Bell_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Bell_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|1.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|4.0|0|0.0|0|0.0|0
0|2020-03-10|5.0|0|0.0|0|0.0|0
0|2020-03-11|8.0|0|0.0|0|0.0|0
0|2020-03-12|10.0|0|0.0|0|0.0|0
0|2020-03-13|14.0|0|0.0|0|0.0|0
0|2020-03-14|16.0|0|0.0|0|0.0|0
0|2020-03-15|18.0|0|0.0|0|0.0|0
0|2020-03-16|21.0|0|1.0|0|1.0|0
0|2020-03-17|26.0|0|1.0|0|1.0|0
0|2020-03-18|28.0|0|1.0|0|1.0|0
0|2020-03-19|50.0|0|2.0|0|1.0|0
0|2020-03-20|64.0|0|2.0|0|1.0|0
0|2020-03-21|87.0|0|3.0|0|1.0|0
0|2020-03-22|103.0|0|3.0|0|0.0|0
0|2020-03-23|123.0|0|4.0|0|0.0|0
0|2020-03-24|162.0|0|4.0|0|0.0|0
0|2020-03-25|197.0|0|5.0|0|0.0|0
0|2020-03-26|247.0|0|5.0|0|0.0|0
0|2020-03-27|301.0|0|7.0|0|0.0|0
0|2020-03-28|393.0|0|9.0|0|0.0|0
0|2020-03-29|438.0|0|9.0|0|0.0|0
0|2020-03-30|479.0|0|11.0|0|0.0|0
0|2020-03-31|629.0|0|11.0|0|0.0|0
0|2020-04-01|633.0|0|18.0|0|0.0|0
0|2020-04-02|771.0|0|31.0|0|0.0|0
0|2020-04-03|771.0|0|34.0|0|0.0|0
0|2020-04-04|930.0|0|40.0|0|0.0|0
0|2020-04-05|956.0|0|45.0|0|0.0|0
0|2020-04-06|956.0|0|45.0|0|0.0|0
0|2020-04-07|1150.0|0|65.0|0|0.0|0
0|2020-04-08|1150.0|0|65.0|0|0.0|0
0|2020-04-09|1342.0|0|73.0|0|0.0|0
0|2020-04-10|1694.0|0|90.0|0|0.0|0
0|2020-04-11|1694.0|0|90.0|0|0.0|0
0|2020-04-12|1963.0|0|97.0|0|0.0|0
0|2020-04-13|2018.0|0|113.0|0|0.0|0
0|2020-04-14|2048.0|0|106.0|0|0.0|0
0|2020-04-15|2210.0|0|115.0|0|0.0|0
0|2020-04-16|2435.0|0|129.0|0|0.0|0
0|2020-04-17|2522.0|0|137.0|0|0.0|0
0|2020-04-18|2707.0|0|144.0|0|0.0|0
0|2020-04-19|2960.0|0|146.0|0|0.0|0
0|2020-04-20|3050.0|0|154.0|0|0.0|0
0|2020-04-21|3204.0|0|171.0|0|0.0|0
0|2020-04-22|3378.0|0|185.0|0|0.0|0
0|2020-04-23|3479.0|0|191.0|0|0.0|0
0|2020-04-24|3779.0|0|200.0|0|0.0|0
0|2020-04-25|3915.0|0|205.0|0|0.0|0
0|2020-04-26|4085.0|0|208.0|0|0.0|0
0|2020-04-27|4156.0|0|213.0|0|0.0|0
0|2020-04-28|4375.0|0|225.0|0|0.0|0
0|2020-04-29|4537.0|0|234.0|0|0.0|0
0|2020-04-30|4708.0|0|240.0|0|0.0|0
0|2020-05-01|4882.0|0|246.0|0|0.0|0
0|2020-05-02|4879.0|0|248.0|0|0.0|0
0|2020-05-03|5130.0|0|253.0|0|0.0|0
0|2020-05-04|5245.0|0|261.0|0|0.0|0
0|2020-05-05|5822.0|0|275.0|0|0.0|0
0|2020-05-06|5822.0|0|275.0|0|0.0|0
0|2020-05-07|5822.0|0|275.0|0|0.0|0
0|2020-05-08|5822.0|0|275.0|0|0.0|0
0|2020-05-09|5822.0|0|275.0|0|0.0|0
0|2020-05-10|5822.0|0|275.0|0|0.0|0
0|2020-05-11|5822.0|0|275.0|0|0.0|0
0|2020-05-12|5822.0|0|275.0|0|0.0|0
0|2020-05-13|5822.0|0|275.0|0|0.0|0
