|dates|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedCases.data|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Tuscaloosa_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|4.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|6.0|0|0.0|0|0.0|0
0|2020-03-22|7.0|0|0.0|0|0.0|0
0|2020-03-23|9.0|0|0.0|0|0.0|0
0|2020-03-24|10.0|0|0.0|0|0.0|0
0|2020-03-25|15.0|0|0.0|0|0.0|0
0|2020-03-26|19.0|0|0.0|0|0.0|0
0|2020-03-27|21.0|0|0.0|0|0.0|0
0|2020-03-28|22.0|0|0.0|0|0.0|0
0|2020-03-29|23.0|0|0.0|0|0.0|0
0|2020-03-30|24.0|0|0.0|0|0.0|0
0|2020-03-31|29.0|0|0.0|0|0.0|0
0|2020-04-01|30.0|0|0.0|0|0.0|0
0|2020-04-02|34.0|0|0.0|0|0.0|0
0|2020-04-03|41.0|0|0.0|0|0.0|0
0|2020-04-04|43.0|0|0.0|0|0.0|0
0|2020-04-05|44.0|0|0.0|0|0.0|0
0|2020-04-06|73.0|0|0.0|0|0.0|0
0|2020-04-07|77.0|0|0.0|0|0.0|0
0|2020-04-08|83.0|0|0.0|0|0.0|0
0|2020-04-09|85.0|0|0.0|0|0.0|0
0|2020-04-10|91.0|0|0.0|0|0.0|0
0|2020-04-11|99.0|0|0.0|0|0.0|0
0|2020-04-12|119.0|0|0.0|0|0.0|0
0|2020-04-13|121.0|0|0.0|0|0.0|0
0|2020-04-14|122.0|0|0.0|0|0.0|0
0|2020-04-15|128.0|0|0.0|0|0.0|0
0|2020-04-16|132.0|0|0.0|0|0.0|0
0|2020-04-17|152.0|0|0.0|0|0.0|0
0|2020-04-18|141.0|0|0.0|0|0.0|0
0|2020-04-19|145.0|0|1.0|0|0.0|0
0|2020-04-20|153.0|0|1.0|0|0.0|0
0|2020-04-21|158.0|0|1.0|0|0.0|0
0|2020-04-22|165.0|0|1.0|0|0.0|0
0|2020-04-23|173.0|0|1.0|0|0.0|0
0|2020-04-24|182.0|0|0.0|0|0.0|0
0|2020-04-25|182.0|0|0.0|0|0.0|0
0|2020-04-26|192.0|0|0.0|0|0.0|0
0|2020-04-27|195.0|0|0.0|0|0.0|0
0|2020-04-28|199.0|0|0.0|0|0.0|0
0|2020-04-29|202.0|0|1.0|0|0.0|0
0|2020-04-30|208.0|0|1.0|0|0.0|0
0|2020-05-01|210.0|0|2.0|0|0.0|0
0|2020-05-02|216.0|0|2.0|0|0.0|0
0|2020-05-03|218.0|0|2.0|0|0.0|0
0|2020-05-04|237.0|0|2.0|0|0.0|0
0|2020-05-05|243.0|0|3.0|0|0.0|0
0|2020-05-06|248.0|0|4.0|0|0.0|0
0|2020-05-07|259.0|0|4.0|0|0.0|0
0|2020-05-08|269.0|0|4.0|0|0.0|0
0|2020-05-09|274.0|0|4.0|0|0.0|0
0|2020-05-10|278.0|0|4.0|0|0.0|0
0|2020-05-11|278.0|0|4.0|0|0.0|0
0|2020-05-12|291.0|0|7.0|0|0.0|0
0|2020-05-13|302.0|0|8.0|0|0.0|0
