|dates|Blaine_Idaho_UnitedStates.JHU_ConfirmedCases.data|Blaine_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Blaine_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Blaine_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Blaine_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Blaine_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|16.0|0|0.0|0|0.0|0
0|2020-03-20|19.0|0|0.0|0|0.0|0
0|2020-03-21|21.0|0|0.0|0|0.0|0
0|2020-03-22|21.0|0|0.0|0|0.0|0
0|2020-03-23|35.0|0|0.0|0|0.0|0
0|2020-03-24|36.0|0|0.0|0|0.0|0
0|2020-03-25|40.0|0|0.0|0|0.0|0
0|2020-03-26|66.0|0|2.0|0|0.0|0
0|2020-03-27|93.0|0|2.0|0|0.0|0
0|2020-03-28|99.0|0|2.0|0|0.0|0
0|2020-03-29|114.0|0|2.0|0|0.0|0
0|2020-03-30|130.0|0|2.0|0|0.0|0
0|2020-03-31|192.0|0|2.0|0|0.0|0
0|2020-04-01|228.0|0|2.0|0|0.0|0
0|2020-04-02|256.0|0|2.0|0|0.0|0
0|2020-04-03|351.0|0|2.0|0|0.0|0
0|2020-04-04|405.0|0|2.0|0|0.0|0
0|2020-04-05|410.0|0|2.0|0|0.0|0
0|2020-04-06|410.0|0|2.0|0|0.0|0
0|2020-04-07|423.0|0|2.0|0|0.0|0
0|2020-04-08|428.0|0|4.0|0|0.0|0
0|2020-04-09|428.0|0|5.0|0|0.0|0
0|2020-04-10|446.0|0|5.0|0|0.0|0
0|2020-04-11|452.0|0|5.0|0|0.0|0
0|2020-04-12|454.0|0|5.0|0|0.0|0
0|2020-04-13|454.0|0|5.0|0|0.0|0
0|2020-04-14|458.0|0|5.0|0|0.0|0
0|2020-04-15|458.0|0|5.0|0|0.0|0
0|2020-04-16|469.0|0|5.0|0|0.0|0
0|2020-04-17|473.0|0|5.0|0|0.0|0
0|2020-04-18|475.0|0|5.0|0|0.0|0
0|2020-04-19|475.0|0|5.0|0|0.0|0
0|2020-04-20|476.0|0|5.0|0|0.0|0
0|2020-04-21|478.0|0|5.0|0|0.0|0
0|2020-04-22|480.0|0|5.0|0|0.0|0
0|2020-04-23|485.0|0|5.0|0|0.0|0
0|2020-04-24|489.0|0|5.0|0|0.0|0
0|2020-04-25|490.0|0|5.0|0|0.0|0
0|2020-04-26|492.0|0|5.0|0|0.0|0
0|2020-04-27|492.0|0|5.0|0|0.0|0
0|2020-04-28|497.0|0|5.0|0|0.0|0
0|2020-04-29|497.0|0|5.0|0|0.0|0
0|2020-04-30|498.0|0|5.0|0|0.0|0
0|2020-05-01|497.0|0|5.0|0|0.0|0
0|2020-05-02|497.0|0|5.0|0|0.0|0
0|2020-05-03|497.0|0|5.0|0|0.0|0
0|2020-05-04|498.0|0|5.0|0|0.0|0
0|2020-05-05|499.0|0|5.0|0|0.0|0
0|2020-05-06|499.0|0|5.0|0|0.0|0
0|2020-05-07|499.0|0|5.0|0|0.0|0
0|2020-05-08|499.0|0|5.0|0|0.0|0
0|2020-05-09|499.0|0|5.0|0|0.0|0
0|2020-05-10|503.0|0|5.0|0|0.0|0
0|2020-05-11|503.0|0|5.0|0|0.0|0
0|2020-05-12|506.0|0|5.0|0|0.0|0
0|2020-05-13|506.0|0|5.0|0|0.0|0
