|dates|Marshall_Alabama_UnitedStates.JHU_ConfirmedCases.data|Marshall_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Marshall_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Marshall_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Marshall_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Marshall_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|5.0|0|0.0|0|0.0|0
0|2020-03-30|7.0|0|0.0|0|0.0|0
0|2020-03-31|7.0|0|0.0|0|0.0|0
0|2020-04-01|6.0|0|0.0|0|0.0|0
0|2020-04-02|6.0|0|0.0|0|0.0|0
0|2020-04-03|16.0|0|0.0|0|0.0|0
0|2020-04-04|17.0|0|0.0|0|0.0|0
0|2020-04-05|20.0|0|0.0|0|0.0|0
0|2020-04-06|33.0|0|1.0|0|0.0|0
0|2020-04-07|39.0|0|1.0|0|0.0|0
0|2020-04-08|42.0|0|1.0|0|0.0|0
0|2020-04-09|60.0|0|1.0|0|0.0|0
0|2020-04-10|69.0|0|2.0|0|0.0|0
0|2020-04-11|82.0|0|2.0|0|0.0|0
0|2020-04-12|97.0|0|2.0|0|0.0|0
0|2020-04-13|102.0|0|2.0|0|0.0|0
0|2020-04-14|104.0|0|2.0|0|0.0|0
0|2020-04-15|106.0|0|2.0|0|0.0|0
0|2020-04-16|114.0|0|2.0|0|0.0|0
0|2020-04-17|122.0|0|4.0|0|0.0|0
0|2020-04-18|138.0|0|4.0|0|0.0|0
0|2020-04-19|149.0|0|4.0|0|0.0|0
0|2020-04-20|167.0|0|3.0|0|0.0|0
0|2020-04-21|194.0|0|5.0|0|0.0|0
0|2020-04-22|241.0|0|4.0|0|0.0|0
0|2020-04-23|258.0|0|4.0|0|0.0|0
0|2020-04-24|267.0|0|4.0|0|0.0|0
0|2020-04-25|267.0|0|4.0|0|0.0|0
0|2020-04-26|307.0|0|5.0|0|0.0|0
0|2020-04-27|310.0|0|5.0|0|0.0|0
0|2020-04-28|313.0|0|6.0|0|0.0|0
0|2020-04-29|316.0|0|6.0|0|0.0|0
0|2020-04-30|317.0|0|6.0|0|0.0|0
0|2020-05-01|328.0|0|7.0|0|0.0|0
0|2020-05-02|334.0|0|7.0|0|0.0|0
0|2020-05-03|342.0|0|7.0|0|0.0|0
0|2020-05-04|355.0|0|7.0|0|0.0|0
0|2020-05-05|439.0|0|8.0|0|0.0|0
0|2020-05-06|470.0|0|8.0|0|0.0|0
0|2020-05-07|487.0|0|8.0|0|0.0|0
0|2020-05-08|525.0|0|8.0|0|0.0|0
0|2020-05-09|543.0|0|8.0|0|0.0|0
0|2020-05-10|558.0|0|8.0|0|0.0|0
0|2020-05-11|558.0|0|8.0|0|0.0|0
0|2020-05-12|581.0|0|8.0|0|0.0|0
0|2020-05-13|586.0|0|9.0|0|0.0|0
