|dates|Forsyth_Georgia_UnitedStates.JHU_ConfirmedCases.data|Forsyth_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Forsyth_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Forsyth_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Forsyth_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Forsyth_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|7.0|0|0.0|0|0.0|0
0|2020-03-24|8.0|0|0.0|0|0.0|0
0|2020-03-25|9.0|0|0.0|0|0.0|0
0|2020-03-26|15.0|0|0.0|0|0.0|0
0|2020-03-27|19.0|0|0.0|0|0.0|0
0|2020-03-28|21.0|0|1.0|0|0.0|0
0|2020-03-29|25.0|0|1.0|0|0.0|0
0|2020-03-30|33.0|0|1.0|0|0.0|0
0|2020-03-31|47.0|0|1.0|0|0.0|0
0|2020-04-01|48.0|0|1.0|0|0.0|0
0|2020-04-02|51.0|0|1.0|0|0.0|0
0|2020-04-03|60.0|0|1.0|0|0.0|0
0|2020-04-04|63.0|0|1.0|0|0.0|0
0|2020-04-05|72.0|0|1.0|0|0.0|0
0|2020-04-06|80.0|0|1.0|0|0.0|0
0|2020-04-07|94.0|0|1.0|0|0.0|0
0|2020-04-08|99.0|0|2.0|0|0.0|0
0|2020-04-09|104.0|0|2.0|0|0.0|0
0|2020-04-10|113.0|0|2.0|0|0.0|0
0|2020-04-11|121.0|0|4.0|0|0.0|0
0|2020-04-12|130.0|0|4.0|0|0.0|0
0|2020-04-13|138.0|0|5.0|0|0.0|0
0|2020-04-14|153.0|0|5.0|0|0.0|0
0|2020-04-15|153.0|0|5.0|0|0.0|0
0|2020-04-16|162.0|0|5.0|0|0.0|0
0|2020-04-17|184.0|0|6.0|0|0.0|0
0|2020-04-18|188.0|0|7.0|0|0.0|0
0|2020-04-19|200.0|0|7.0|0|0.0|0
0|2020-04-20|211.0|0|7.0|0|0.0|0
0|2020-04-21|213.0|0|8.0|0|0.0|0
0|2020-04-22|227.0|0|8.0|0|0.0|0
0|2020-04-23|235.0|0|8.0|0|0.0|0
0|2020-04-24|241.0|0|8.0|0|0.0|0
0|2020-04-25|249.0|0|8.0|0|0.0|0
0|2020-04-26|252.0|0|8.0|0|0.0|0
0|2020-04-27|271.0|0|8.0|0|0.0|0
0|2020-04-28|284.0|0|9.0|0|0.0|0
0|2020-04-29|290.0|0|9.0|0|0.0|0
0|2020-04-30|298.0|0|9.0|0|0.0|0
0|2020-05-01|308.0|0|10.0|0|0.0|0
0|2020-05-02|331.0|0|10.0|0|0.0|0
0|2020-05-03|332.0|0|10.0|0|0.0|0
0|2020-05-04|341.0|0|10.0|0|0.0|0
0|2020-05-05|347.0|0|10.0|0|0.0|0
0|2020-05-06|356.0|0|10.0|0|0.0|0
0|2020-05-07|361.0|0|10.0|0|0.0|0
0|2020-05-08|364.0|0|10.0|0|0.0|0
0|2020-05-09|366.0|0|10.0|0|0.0|0
0|2020-05-10|388.0|0|10.0|0|0.0|0
0|2020-05-11|388.0|0|10.0|0|0.0|0
0|2020-05-12|400.0|0|11.0|0|0.0|0
0|2020-05-13|393.0|0|11.0|0|0.0|0
