|dates|Carroll_Maryland_UnitedStates.JHU_ConfirmedCases.data|Carroll_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Carroll_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Carroll_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Carroll_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Carroll_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|3.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|5.0|0|0.0|0|0.0|0
0|2020-03-26|7.0|0|0.0|0|0.0|0
0|2020-03-27|9.0|0|0.0|0|0.0|0
0|2020-03-28|10.0|0|0.0|0|0.0|0
0|2020-03-29|82.0|0|0.0|0|0.0|0
0|2020-03-30|82.0|0|1.0|0|0.0|0
0|2020-03-31|92.0|0|2.0|0|0.0|0
0|2020-04-01|96.0|0|2.0|0|0.0|0
0|2020-04-02|105.0|0|4.0|0|0.0|0
0|2020-04-03|129.0|0|5.0|0|0.0|0
0|2020-04-04|134.0|0|6.0|0|0.0|0
0|2020-04-05|142.0|0|8.0|0|0.0|0
0|2020-04-06|150.0|0|10.0|0|0.0|0
0|2020-04-07|159.0|0|16.0|0|0.0|0
0|2020-04-08|186.0|0|18.0|0|0.0|0
0|2020-04-09|203.0|0|18.0|0|0.0|0
0|2020-04-10|214.0|0|19.0|0|0.0|0
0|2020-04-11|214.0|0|25.0|0|0.0|0
0|2020-04-12|236.0|0|25.0|0|0.0|0
0|2020-04-13|250.0|0|28.0|0|0.0|0
0|2020-04-14|259.0|0|29.0|0|0.0|0
0|2020-04-15|262.0|0|29.0|0|0.0|0
0|2020-04-16|283.0|0|29.0|0|0.0|0
0|2020-04-17|288.0|0|25.0|0|0.0|0
0|2020-04-18|308.0|0|28.0|0|0.0|0
0|2020-04-19|313.0|0|28.0|0|0.0|0
0|2020-04-20|335.0|0|31.0|0|0.0|0
0|2020-04-21|330.0|0|31.0|0|0.0|0
0|2020-04-22|344.0|0|32.0|0|0.0|0
0|2020-04-23|355.0|0|34.0|0|0.0|0
0|2020-04-24|355.0|0|34.0|0|0.0|0
0|2020-04-25|384.0|0|36.0|0|0.0|0
0|2020-04-26|391.0|0|36.0|0|0.0|0
0|2020-04-27|403.0|0|37.0|0|0.0|0
0|2020-04-28|416.0|0|44.0|0|0.0|0
0|2020-04-29|421.0|0|45.0|0|0.0|0
0|2020-04-30|436.0|0|46.0|0|0.0|0
0|2020-05-01|460.0|0|46.0|0|0.0|0
0|2020-05-02|480.0|0|46.0|0|0.0|0
0|2020-05-03|494.0|0|46.0|0|0.0|0
0|2020-05-04|506.0|0|47.0|0|0.0|0
0|2020-05-05|513.0|0|52.0|0|0.0|0
0|2020-05-06|521.0|0|55.0|0|0.0|0
0|2020-05-07|534.0|0|54.0|0|0.0|0
0|2020-05-08|542.0|0|56.0|0|0.0|0
0|2020-05-09|551.0|0|58.0|0|0.0|0
0|2020-05-10|560.0|0|58.0|0|0.0|0
0|2020-05-11|560.0|0|58.0|0|0.0|0
0|2020-05-12|589.0|0|60.0|0|0.0|0
0|2020-05-13|595.0|0|61.0|0|0.0|0
