|dates|Walton_Florida_UnitedStates.JHU_ConfirmedCases.data|Walton_Florida_UnitedStates.JHU_ConfirmedCases.missing|Walton_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Walton_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Walton_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Walton_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|9.0|0|0.0|0|0.0|0
0|2020-03-24|10.0|0|0.0|0|0.0|0
0|2020-03-25|12.0|0|0.0|0|0.0|0
0|2020-03-26|13.0|0|0.0|0|0.0|0
0|2020-03-27|13.0|0|0.0|0|0.0|0
0|2020-03-28|15.0|0|0.0|0|0.0|0
0|2020-03-29|15.0|0|0.0|0|0.0|0
0|2020-03-30|15.0|0|0.0|0|0.0|0
0|2020-03-31|18.0|0|0.0|0|0.0|0
0|2020-04-01|18.0|0|0.0|0|0.0|0
0|2020-04-02|19.0|0|0.0|0|0.0|0
0|2020-04-03|19.0|0|0.0|0|0.0|0
0|2020-04-04|21.0|0|0.0|0|0.0|0
0|2020-04-05|23.0|0|0.0|0|0.0|0
0|2020-04-06|24.0|0|0.0|0|0.0|0
0|2020-04-07|26.0|0|0.0|0|0.0|0
0|2020-04-08|26.0|0|0.0|0|0.0|0
0|2020-04-09|26.0|0|0.0|0|0.0|0
0|2020-04-10|27.0|0|0.0|0|0.0|0
0|2020-04-11|27.0|0|0.0|0|0.0|0
0|2020-04-12|29.0|0|0.0|0|0.0|0
0|2020-04-13|29.0|0|0.0|0|0.0|0
0|2020-04-14|29.0|0|0.0|0|0.0|0
0|2020-04-15|29.0|0|0.0|0|0.0|0
0|2020-04-16|29.0|0|0.0|0|0.0|0
0|2020-04-17|31.0|0|0.0|0|0.0|0
0|2020-04-18|32.0|0|0.0|0|0.0|0
0|2020-04-19|32.0|0|0.0|0|0.0|0
0|2020-04-20|32.0|0|0.0|0|0.0|0
0|2020-04-21|32.0|0|0.0|0|0.0|0
0|2020-04-22|32.0|0|0.0|0|0.0|0
0|2020-04-23|34.0|0|0.0|0|0.0|0
0|2020-04-24|35.0|0|0.0|0|0.0|0
0|2020-04-25|35.0|0|0.0|0|0.0|0
0|2020-04-26|35.0|0|0.0|0|0.0|0
0|2020-04-27|35.0|0|0.0|0|0.0|0
0|2020-04-28|35.0|0|0.0|0|0.0|0
0|2020-04-29|35.0|0|0.0|0|0.0|0
0|2020-04-30|38.0|0|0.0|0|0.0|0
0|2020-05-01|38.0|0|0.0|0|0.0|0
0|2020-05-02|43.0|0|0.0|0|0.0|0
0|2020-05-03|49.0|0|0.0|0|0.0|0
0|2020-05-04|50.0|0|1.0|0|0.0|0
0|2020-05-05|50.0|0|1.0|0|0.0|0
0|2020-05-06|51.0|0|1.0|0|0.0|0
0|2020-05-07|50.0|0|1.0|0|0.0|0
0|2020-05-08|51.0|0|1.0|0|0.0|0
0|2020-05-09|55.0|0|2.0|0|0.0|0
0|2020-05-10|61.0|0|2.0|0|0.0|0
0|2020-05-11|61.0|0|2.0|0|0.0|0
0|2020-05-12|66.0|0|2.0|0|0.0|0
0|2020-05-13|68.0|0|2.0|0|0.0|0
