|dates|Putnam_NewYork_UnitedStates.JHU_ConfirmedCases.data|Putnam_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Putnam_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Putnam_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Putnam_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Putnam_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|5.0|0|0.0|0|0.0|0
0|2020-03-20|12.0|0|0.0|0|0.0|0
0|2020-03-21|31.0|0|0.0|0|0.0|0
0|2020-03-22|31.0|0|0.0|0|0.0|0
0|2020-03-23|31.0|0|0.0|0|0.0|0
0|2020-03-24|82.0|0|0.0|0|0.0|0
0|2020-03-25|84.0|0|0.0|0|0.0|0
0|2020-03-26|94.0|0|0.0|0|0.0|0
0|2020-03-27|111.0|0|0.0|0|0.0|0
0|2020-03-28|131.0|0|0.0|0|0.0|0
0|2020-03-29|144.0|0|0.0|0|0.0|0
0|2020-03-30|167.0|0|0.0|0|0.0|0
0|2020-03-31|167.0|0|0.0|0|0.0|0
0|2020-04-01|207.0|0|0.0|0|0.0|0
0|2020-04-02|216.0|0|0.0|0|0.0|0
0|2020-04-03|252.0|0|7.0|0|0.0|0
0|2020-04-04|283.0|0|7.0|0|0.0|0
0|2020-04-05|314.0|0|7.0|0|0.0|0
0|2020-04-06|345.0|0|7.0|0|0.0|0
0|2020-04-07|402.0|0|7.0|0|0.0|0
0|2020-04-08|427.0|0|7.0|0|0.0|0
0|2020-04-09|456.0|0|7.0|0|0.0|0
0|2020-04-10|487.0|0|7.0|0|0.0|0
0|2020-04-11|494.0|0|7.0|0|0.0|0
0|2020-04-12|507.0|0|7.0|0|0.0|0
0|2020-04-13|507.0|0|7.0|0|0.0|0
0|2020-04-14|634.0|0|7.0|0|0.0|0
0|2020-04-15|634.0|0|7.0|0|0.0|0
0|2020-04-16|634.0|0|7.0|0|0.0|0
0|2020-04-17|732.0|0|7.0|0|0.0|0
0|2020-04-18|732.0|0|7.0|0|0.0|0
0|2020-04-19|778.0|0|7.0|0|0.0|0
0|2020-04-20|778.0|0|7.0|0|0.0|0
0|2020-04-21|807.0|0|7.0|0|0.0|0
0|2020-04-22|831.0|0|7.0|0|0.0|0
0|2020-04-23|615.0|0|7.0|0|0.0|0
0|2020-04-24|619.0|0|7.0|0|0.0|0
0|2020-04-25|885.0|0|7.0|0|0.0|0
0|2020-04-26|904.0|0|7.0|0|0.0|0
0|2020-04-27|925.0|0|7.0|0|0.0|0
0|2020-04-28|932.0|0|7.0|0|0.0|0
0|2020-04-29|946.0|0|7.0|0|0.0|0
0|2020-04-30|970.0|0|7.0|0|0.0|0
0|2020-05-01|990.0|0|7.0|0|0.0|0
0|2020-05-02|1003.0|0|7.0|0|0.0|0
0|2020-05-03|1013.0|0|7.0|0|0.0|0
0|2020-05-04|1026.0|0|7.0|0|0.0|0
0|2020-05-05|1031.0|0|7.0|0|0.0|0
0|2020-05-06|1040.0|0|7.0|0|0.0|0
0|2020-05-07|1066.0|0|7.0|0|0.0|0
0|2020-05-08|1074.0|0|7.0|0|0.0|0
0|2020-05-09|1080.0|0|7.0|0|0.0|0
0|2020-05-10|1089.0|0|7.0|0|0.0|0
0|2020-05-11|1089.0|0|7.0|0|0.0|0
0|2020-05-12|1098.0|0|7.0|0|0.0|0
0|2020-05-13|1108.0|0|7.0|0|0.0|0
