|dates|NewHanover_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|NewHanover_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|NewHanover_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|NewHanover_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|NewHanover_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|NewHanover_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|10.0|0|0.0|0|0.0|0
0|2020-03-25|10.0|0|0.0|0|0.0|0
0|2020-03-26|14.0|0|0.0|0|0.0|0
0|2020-03-27|15.0|0|0.0|0|0.0|0
0|2020-03-28|25.0|0|0.0|0|0.0|0
0|2020-03-29|25.0|0|0.0|0|0.0|0
0|2020-03-30|27.0|0|0.0|0|0.0|0
0|2020-03-31|34.0|0|0.0|0|0.0|0
0|2020-04-01|34.0|0|0.0|0|0.0|0
0|2020-04-02|42.0|0|0.0|0|0.0|0
0|2020-04-03|42.0|0|0.0|0|0.0|0
0|2020-04-04|42.0|0|0.0|0|0.0|0
0|2020-04-05|47.0|0|0.0|0|0.0|0
0|2020-04-06|47.0|0|0.0|0|0.0|0
0|2020-04-07|51.0|0|0.0|0|0.0|0
0|2020-04-08|53.0|0|0.0|0|0.0|0
0|2020-04-09|53.0|0|0.0|0|0.0|0
0|2020-04-10|55.0|0|0.0|0|0.0|0
0|2020-04-11|55.0|0|0.0|0|0.0|0
0|2020-04-12|59.0|0|0.0|0|0.0|0
0|2020-04-13|61.0|0|1.0|0|0.0|0
0|2020-04-14|62.0|0|1.0|0|0.0|0
0|2020-04-15|63.0|0|1.0|0|0.0|0
0|2020-04-16|66.0|0|1.0|0|0.0|0
0|2020-04-17|68.0|0|1.0|0|0.0|0
0|2020-04-18|68.0|0|1.0|0|0.0|0
0|2020-04-19|68.0|0|1.0|0|0.0|0
0|2020-04-20|68.0|0|1.0|0|0.0|0
0|2020-04-21|69.0|0|3.0|0|0.0|0
0|2020-04-22|69.0|0|3.0|0|0.0|0
0|2020-04-23|74.0|0|3.0|0|0.0|0
0|2020-04-24|76.0|0|3.0|0|0.0|0
0|2020-04-25|76.0|0|3.0|0|0.0|0
0|2020-04-26|78.0|0|3.0|0|0.0|0
0|2020-04-27|79.0|0|3.0|0|0.0|0
0|2020-04-28|79.0|0|3.0|0|0.0|0
0|2020-04-29|79.0|0|3.0|0|0.0|0
0|2020-04-30|79.0|0|3.0|0|0.0|0
0|2020-05-01|79.0|0|3.0|0|0.0|0
0|2020-05-02|79.0|0|3.0|0|0.0|0
0|2020-05-03|79.0|0|3.0|0|0.0|0
0|2020-05-04|89.0|0|3.0|0|0.0|0
0|2020-05-05|91.0|0|3.0|0|0.0|0
0|2020-05-06|97.0|0|3.0|0|0.0|0
0|2020-05-07|97.0|0|3.0|0|0.0|0
0|2020-05-08|97.0|0|3.0|0|0.0|0
0|2020-05-09|97.0|0|3.0|0|0.0|0
0|2020-05-10|107.0|0|3.0|0|0.0|0
0|2020-05-11|107.0|0|3.0|0|0.0|0
0|2020-05-12|117.0|0|3.0|0|0.0|0
0|2020-05-13|117.0|0|3.0|0|0.0|0
