|dates|St.Charles_Louisiana_UnitedStates.JHU_ConfirmedCases.data|St.Charles_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|St.Charles_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|St.Charles_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|St.Charles_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|St.Charles_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|4.0|0|0.0|0|0.0|0
0|2020-03-20|7.0|0|0.0|0|0.0|0
0|2020-03-21|7.0|0|0.0|0|0.0|0
0|2020-03-22|7.0|0|0.0|0|0.0|0
0|2020-03-23|15.0|0|0.0|0|0.0|0
0|2020-03-24|15.0|0|0.0|0|0.0|0
0|2020-03-25|17.0|0|1.0|0|0.0|0
0|2020-03-26|22.0|0|2.0|0|0.0|0
0|2020-03-27|23.0|0|2.0|0|0.0|0
0|2020-03-28|30.0|0|2.0|0|0.0|0
0|2020-03-29|31.0|0|2.0|0|0.0|0
0|2020-03-30|36.0|0|3.0|0|0.0|0
0|2020-03-31|71.0|0|6.0|0|0.0|0
0|2020-04-01|82.0|0|7.0|0|0.0|0
0|2020-04-02|180.0|0|8.0|0|0.0|0
0|2020-04-03|210.0|0|11.0|0|0.0|0
0|2020-04-04|252.0|0|12.0|0|0.0|0
0|2020-04-05|260.0|0|13.0|0|0.0|0
0|2020-04-06|285.0|0|15.0|0|0.0|0
0|2020-04-07|310.0|0|19.0|0|0.0|0
0|2020-04-08|328.0|0|19.0|0|0.0|0
0|2020-04-09|362.0|0|22.0|0|0.0|0
0|2020-04-10|376.0|0|23.0|0|0.0|0
0|2020-04-11|401.0|0|24.0|0|0.0|0
0|2020-04-12|404.0|0|25.0|0|0.0|0
0|2020-04-13|410.0|0|23.0|0|0.0|0
0|2020-04-14|460.0|0|24.0|0|0.0|0
0|2020-04-15|476.0|0|26.0|0|0.0|0
0|2020-04-16|486.0|0|26.0|0|0.0|0
0|2020-04-17|471.0|0|26.0|0|0.0|0
0|2020-04-18|487.0|0|27.0|0|0.0|0
0|2020-04-19|488.0|0|28.0|0|0.0|0
0|2020-04-20|508.0|0|28.0|0|0.0|0
0|2020-04-21|516.0|0|29.0|0|0.0|0
0|2020-04-22|522.0|0|31.0|0|0.0|0
0|2020-04-23|529.0|0|33.0|0|0.0|0
0|2020-04-24|536.0|0|34.0|0|0.0|0
0|2020-04-25|540.0|0|35.0|0|0.0|0
0|2020-04-26|542.0|0|36.0|0|0.0|0
0|2020-04-27|549.0|0|36.0|0|0.0|0
0|2020-04-28|554.0|0|37.0|0|0.0|0
0|2020-04-29|563.0|0|37.0|0|0.0|0
0|2020-04-30|570.0|0|38.0|0|0.0|0
0|2020-05-01|573.0|0|38.0|0|0.0|0
0|2020-05-02|577.0|0|39.0|0|0.0|0
0|2020-05-03|582.0|0|40.0|0|0.0|0
0|2020-05-04|584.0|0|41.0|0|0.0|0
0|2020-05-05|589.0|0|41.0|0|0.0|0
0|2020-05-06|590.0|0|43.0|0|0.0|0
0|2020-05-07|594.0|0|43.0|0|0.0|0
0|2020-05-08|593.0|0|43.0|0|0.0|0
0|2020-05-09|593.0|0|43.0|0|0.0|0
0|2020-05-10|594.0|0|43.0|0|0.0|0
0|2020-05-11|594.0|0|43.0|0|0.0|0
0|2020-05-12|596.0|0|43.0|0|0.0|0
0|2020-05-13|600.0|0|43.0|0|0.0|0
