|dates|Coweta_Georgia_UnitedStates.JHU_ConfirmedCases.data|Coweta_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Coweta_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Coweta_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Coweta_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Coweta_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|6.0|0|0.0|0|0.0|0
0|2020-03-21|8.0|0|0.0|0|0.0|0
0|2020-03-22|8.0|0|0.0|0|0.0|0
0|2020-03-23|9.0|0|0.0|0|0.0|0
0|2020-03-24|10.0|0|0.0|0|0.0|0
0|2020-03-25|10.0|0|0.0|0|0.0|0
0|2020-03-26|12.0|0|0.0|0|0.0|0
0|2020-03-27|19.0|0|0.0|0|0.0|0
0|2020-03-28|19.0|0|2.0|0|0.0|0
0|2020-03-29|22.0|0|2.0|0|0.0|0
0|2020-03-30|28.0|0|2.0|0|0.0|0
0|2020-03-31|41.0|0|2.0|0|0.0|0
0|2020-04-01|42.0|0|2.0|0|0.0|0
0|2020-04-02|44.0|0|2.0|0|0.0|0
0|2020-04-03|53.0|0|2.0|0|0.0|0
0|2020-04-04|58.0|0|2.0|0|0.0|0
0|2020-04-05|67.0|0|2.0|0|0.0|0
0|2020-04-06|76.0|0|2.0|0|0.0|0
0|2020-04-07|79.0|0|2.0|0|0.0|0
0|2020-04-08|79.0|0|2.0|0|0.0|0
0|2020-04-09|84.0|0|2.0|0|0.0|0
0|2020-04-10|90.0|0|2.0|0|0.0|0
0|2020-04-11|101.0|0|2.0|0|0.0|0
0|2020-04-12|103.0|0|2.0|0|0.0|0
0|2020-04-13|119.0|0|2.0|0|0.0|0
0|2020-04-14|135.0|0|2.0|0|0.0|0
0|2020-04-15|136.0|0|3.0|0|0.0|0
0|2020-04-16|140.0|0|3.0|0|0.0|0
0|2020-04-17|149.0|0|3.0|0|0.0|0
0|2020-04-18|156.0|0|3.0|0|0.0|0
0|2020-04-19|161.0|0|3.0|0|0.0|0
0|2020-04-20|169.0|0|4.0|0|0.0|0
0|2020-04-21|170.0|0|4.0|0|0.0|0
0|2020-04-22|168.0|0|4.0|0|0.0|0
0|2020-04-23|177.0|0|4.0|0|0.0|0
0|2020-04-24|187.0|0|4.0|0|0.0|0
0|2020-04-25|187.0|0|4.0|0|0.0|0
0|2020-04-26|188.0|0|4.0|0|0.0|0
0|2020-04-27|190.0|0|4.0|0|0.0|0
0|2020-04-28|191.0|0|4.0|0|0.0|0
0|2020-04-29|195.0|0|4.0|0|0.0|0
0|2020-04-30|195.0|0|4.0|0|0.0|0
0|2020-05-01|211.0|0|4.0|0|0.0|0
0|2020-05-02|213.0|0|4.0|0|0.0|0
0|2020-05-03|230.0|0|4.0|0|0.0|0
0|2020-05-04|242.0|0|4.0|0|0.0|0
0|2020-05-05|244.0|0|4.0|0|0.0|0
0|2020-05-06|247.0|0|4.0|0|0.0|0
0|2020-05-07|257.0|0|4.0|0|0.0|0
0|2020-05-08|257.0|0|4.0|0|0.0|0
0|2020-05-09|265.0|0|4.0|0|0.0|0
0|2020-05-10|276.0|0|4.0|0|0.0|0
0|2020-05-11|276.0|0|4.0|0|0.0|0
0|2020-05-12|280.0|0|4.0|0|0.0|0
0|2020-05-13|280.0|0|4.0|0|0.0|0
