|dates|Kent_Michigan_UnitedStates.JHU_ConfirmedCases.data|Kent_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Kent_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Kent_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Kent_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Kent_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|5.0|0|0.0|0|0.0|0
0|2020-03-17|5.0|0|0.0|0|0.0|0
0|2020-03-18|5.0|0|0.0|0|0.0|0
0|2020-03-19|7.0|0|0.0|0|0.0|0
0|2020-03-20|12.0|0|0.0|0|0.0|0
0|2020-03-21|21.0|0|0.0|0|0.0|0
0|2020-03-22|22.0|0|1.0|0|0.0|0
0|2020-03-23|28.0|0|1.0|0|0.0|0
0|2020-03-24|31.0|0|1.0|0|0.0|0
0|2020-03-25|36.0|0|1.0|0|0.0|0
0|2020-03-26|41.0|0|1.0|0|0.0|0
0|2020-03-27|45.0|0|1.0|0|0.0|0
0|2020-03-28|53.0|0|1.0|0|0.0|0
0|2020-03-29|72.0|0|1.0|0|0.0|0
0|2020-03-30|96.0|0|1.0|0|0.0|0
0|2020-03-31|108.0|0|1.0|0|0.0|0
0|2020-04-01|119.0|0|2.0|0|0.0|0
0|2020-04-02|125.0|0|2.0|0|0.0|0
0|2020-04-03|136.0|0|2.0|0|0.0|0
0|2020-04-04|153.0|0|2.0|0|0.0|0
0|2020-04-05|165.0|0|3.0|0|0.0|0
0|2020-04-06|177.0|0|5.0|0|0.0|0
0|2020-04-07|187.0|0|6.0|0|0.0|0
0|2020-04-08|207.0|0|8.0|0|0.0|0
0|2020-04-09|233.0|0|9.0|0|0.0|0
0|2020-04-10|250.0|0|13.0|0|0.0|0
0|2020-04-11|270.0|0|13.0|0|0.0|0
0|2020-04-12|287.0|0|13.0|0|0.0|0
0|2020-04-13|311.0|0|13.0|0|0.0|0
0|2020-04-14|325.0|0|14.0|0|0.0|0
0|2020-04-15|354.0|0|16.0|0|0.0|0
0|2020-04-16|385.0|0|16.0|0|0.0|0
0|2020-04-17|430.0|0|20.0|0|0.0|0
0|2020-04-18|460.0|0|23.0|0|0.0|0
0|2020-04-19|503.0|0|25.0|0|0.0|0
0|2020-04-20|550.0|0|24.0|0|0.0|0
0|2020-04-21|626.0|0|25.0|0|0.0|0
0|2020-04-22|757.0|0|25.0|0|0.0|0
0|2020-04-23|815.0|0|27.0|0|0.0|0
0|2020-04-24|906.0|0|29.0|0|0.0|0
0|2020-04-25|929.0|0|32.0|0|0.0|0
0|2020-04-26|1031.0|0|32.0|0|0.0|0
0|2020-04-27|1100.0|0|34.0|0|0.0|0
0|2020-04-28|1305.0|0|34.0|0|0.0|0
0|2020-04-29|1395.0|0|33.0|0|0.0|0
0|2020-04-30|1479.0|0|33.0|0|0.0|0
0|2020-05-01|1600.0|0|36.0|0|0.0|0
0|2020-05-02|1697.0|0|36.0|0|0.0|0
0|2020-05-03|1786.0|0|39.0|0|0.0|0
0|2020-05-04|1854.0|0|39.0|0|0.0|0
0|2020-05-05|1914.0|0|40.0|0|0.0|0
0|2020-05-06|2016.0|0|40.0|0|0.0|0
0|2020-05-07|2076.0|0|41.0|0|0.0|0
0|2020-05-08|2135.0|0|41.0|0|0.0|0
0|2020-05-09|2213.0|0|41.0|0|0.0|0
0|2020-05-10|2281.0|0|41.0|0|0.0|0
0|2020-05-11|2281.0|0|41.0|0|0.0|0
0|2020-05-12|2416.0|0|45.0|0|0.0|0
0|2020-05-13|2446.0|0|47.0|0|0.0|0
