|dates|Orange_Indiana_UnitedStates.JHU_ConfirmedCases.data|Orange_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Orange_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Orange_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Orange_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Orange_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|1.0|0|0.0|0|0.0|0
0|2020-03-27|1.0|0|0.0|0|0.0|0
0|2020-03-28|1.0|0|0.0|0|0.0|0
0|2020-03-29|1.0|0|0.0|0|0.0|0
0|2020-03-30|2.0|0|0.0|0|0.0|0
0|2020-03-31|3.0|0|0.0|0|0.0|0
0|2020-04-01|3.0|0|0.0|0|0.0|0
0|2020-04-02|3.0|0|0.0|0|0.0|0
0|2020-04-03|5.0|0|0.0|0|0.0|0
0|2020-04-04|5.0|0|1.0|0|0.0|0
0|2020-04-05|7.0|0|2.0|0|0.0|0
0|2020-04-06|9.0|0|2.0|0|0.0|0
0|2020-04-07|14.0|0|2.0|0|0.0|0
0|2020-04-08|11.0|0|2.0|0|0.0|0
0|2020-04-09|12.0|0|2.0|0|0.0|0
0|2020-04-10|13.0|0|2.0|0|0.0|0
0|2020-04-11|16.0|0|3.0|0|0.0|0
0|2020-04-12|17.0|0|3.0|0|0.0|0
0|2020-04-13|18.0|0|3.0|0|0.0|0
0|2020-04-14|18.0|0|3.0|0|0.0|0
0|2020-04-15|19.0|0|3.0|0|0.0|0
0|2020-04-16|22.0|0|4.0|0|0.0|0
0|2020-04-17|24.0|0|4.0|0|0.0|0
0|2020-04-18|25.0|0|4.0|0|0.0|0
0|2020-04-19|30.0|0|4.0|0|0.0|0
0|2020-04-20|34.0|0|4.0|0|0.0|0
0|2020-04-21|34.0|0|4.0|0|0.0|0
0|2020-04-22|38.0|0|4.0|0|0.0|0
0|2020-04-23|39.0|0|4.0|0|0.0|0
0|2020-04-24|56.0|0|5.0|0|0.0|0
0|2020-04-25|57.0|0|6.0|0|0.0|0
0|2020-04-26|60.0|0|6.0|0|0.0|0
0|2020-04-27|60.0|0|8.0|0|0.0|0
0|2020-04-28|63.0|0|8.0|0|0.0|0
0|2020-04-29|64.0|0|9.0|0|0.0|0
0|2020-04-30|76.0|0|9.0|0|0.0|0
0|2020-05-01|101.0|0|9.0|0|0.0|0
0|2020-05-02|104.0|0|10.0|0|0.0|0
0|2020-05-03|104.0|0|10.0|0|0.0|0
0|2020-05-04|105.0|0|12.0|0|0.0|0
0|2020-05-05|106.0|0|13.0|0|0.0|0
0|2020-05-06|107.0|0|14.0|0|0.0|0
0|2020-05-07|106.0|0|14.0|0|0.0|0
0|2020-05-08|108.0|0|17.0|0|0.0|0
0|2020-05-09|113.0|0|18.0|0|0.0|0
0|2020-05-10|114.0|0|18.0|0|0.0|0
0|2020-05-11|114.0|0|18.0|0|0.0|0
0|2020-05-12|118.0|0|18.0|0|0.0|0
0|2020-05-13|118.0|0|18.0|0|0.0|0
