|dates|PrinceWilliam_Virginia_UnitedStates.JHU_ConfirmedCases.data|PrinceWilliam_Virginia_UnitedStates.JHU_ConfirmedCases.missing|PrinceWilliam_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|PrinceWilliam_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|PrinceWilliam_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|PrinceWilliam_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|4.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|11.0|0|0.0|0|0.0|0
0|2020-03-20|12.0|0|0.0|0|0.0|0
0|2020-03-21|14.0|0|0.0|0|0.0|0
0|2020-03-22|18.0|0|0.0|0|0.0|0
0|2020-03-23|18.0|0|0.0|0|0.0|0
0|2020-03-24|23.0|0|0.0|0|0.0|0
0|2020-03-25|32.0|0|0.0|0|0.0|0
0|2020-03-26|36.0|0|0.0|0|0.0|0
0|2020-03-27|44.0|0|0.0|0|0.0|0
0|2020-03-28|56.0|0|1.0|0|0.0|0
0|2020-03-29|72.0|0|1.0|0|0.0|0
0|2020-03-30|79.0|0|1.0|0|0.0|0
0|2020-03-31|94.0|0|1.0|0|0.0|0
0|2020-04-01|106.0|0|1.0|0|0.0|0
0|2020-04-02|117.0|0|1.0|0|0.0|0
0|2020-04-03|131.0|0|1.0|0|0.0|0
0|2020-04-04|159.0|0|1.0|0|0.0|0
0|2020-04-05|175.0|0|1.0|0|0.0|0
0|2020-04-06|193.0|0|1.0|0|0.0|0
0|2020-04-07|236.0|0|1.0|0|0.0|0
0|2020-04-08|263.0|0|1.0|0|0.0|0
0|2020-04-09|299.0|0|1.0|0|0.0|0
0|2020-04-10|337.0|0|1.0|0|0.0|0
0|2020-04-11|390.0|0|1.0|0|0.0|0
0|2020-04-12|389.0|0|1.0|0|0.0|0
0|2020-04-13|434.0|0|1.0|0|0.0|0
0|2020-04-14|508.0|0|1.0|0|0.0|0
0|2020-04-15|536.0|0|1.0|0|0.0|0
0|2020-04-16|582.0|0|1.0|0|0.0|0
0|2020-04-17|644.0|0|1.0|0|0.0|0
0|2020-04-18|700.0|0|1.0|0|0.0|0
0|2020-04-19|742.0|0|1.0|0|0.0|0
0|2020-04-20|793.0|0|1.0|0|0.0|0
0|2020-04-21|867.0|0|1.0|0|0.0|0
0|2020-04-22|924.0|0|17.0|0|0.0|0
0|2020-04-23|1027.0|0|18.0|0|0.0|0
0|2020-04-24|1110.0|0|18.0|0|0.0|0
0|2020-04-25|1184.0|0|19.0|0|0.0|0
0|2020-04-26|1265.0|0|19.0|0|0.0|0
0|2020-04-27|1353.0|0|20.0|0|0.0|0
0|2020-04-28|1449.0|0|20.0|0|0.0|0
0|2020-04-29|1527.0|0|22.0|0|0.0|0
0|2020-04-30|1645.0|0|24.0|0|0.0|0
0|2020-05-01|1781.0|0|28.0|0|0.0|0
0|2020-05-02|1900.0|0|29.0|0|0.0|0
0|2020-05-03|2026.0|0|30.0|0|0.0|0
0|2020-05-04|2146.0|0|32.0|0|0.0|0
0|2020-05-05|2223.0|0|33.0|0|0.0|0
0|2020-05-06|2223.0|0|33.0|0|0.0|0
0|2020-05-07|2398.0|0|39.0|0|0.0|0
0|2020-05-08|2474.0|0|46.0|0|0.0|0
0|2020-05-09|2548.0|0|47.0|0|0.0|0
0|2020-05-10|2740.0|0|48.0|0|0.0|0
0|2020-05-11|2740.0|0|48.0|0|0.0|0
0|2020-05-12|3078.0|0|58.0|0|0.0|0
0|2020-05-13|3181.0|0|65.0|0|0.0|0
