|dates|Platte_Missouri_UnitedStates.JHU_ConfirmedCases.data|Platte_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Platte_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Platte_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Platte_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Platte_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|5.0|0|0.0|0|0.0|0
0|2020-03-27|5.0|0|0.0|0|0.0|0
0|2020-03-28|6.0|0|0.0|0|0.0|0
0|2020-03-29|6.0|0|0.0|0|0.0|0
0|2020-03-30|7.0|0|0.0|0|0.0|0
0|2020-03-31|9.0|0|0.0|0|0.0|0
0|2020-04-01|12.0|0|0.0|0|0.0|0
0|2020-04-02|13.0|0|0.0|0|0.0|0
0|2020-04-03|13.0|0|0.0|0|0.0|0
0|2020-04-04|14.0|0|0.0|0|0.0|0
0|2020-04-05|14.0|0|0.0|0|0.0|0
0|2020-04-06|17.0|0|0.0|0|0.0|0
0|2020-04-07|17.0|0|0.0|0|0.0|0
0|2020-04-08|18.0|0|0.0|0|0.0|0
0|2020-04-09|19.0|0|0.0|0|0.0|0
0|2020-04-10|25.0|0|0.0|0|0.0|0
0|2020-04-11|25.0|0|0.0|0|0.0|0
0|2020-04-12|25.0|0|0.0|0|0.0|0
0|2020-04-13|25.0|0|0.0|0|0.0|0
0|2020-04-14|26.0|0|0.0|0|0.0|0
0|2020-04-15|26.0|0|0.0|0|0.0|0
0|2020-04-16|27.0|0|0.0|0|0.0|0
0|2020-04-17|27.0|0|0.0|0|0.0|0
0|2020-04-18|27.0|0|0.0|0|0.0|0
0|2020-04-19|27.0|0|0.0|0|0.0|0
0|2020-04-20|27.0|0|0.0|0|0.0|0
0|2020-04-21|27.0|0|0.0|0|0.0|0
0|2020-04-22|27.0|0|0.0|0|0.0|0
0|2020-04-23|28.0|0|0.0|0|0.0|0
0|2020-04-24|30.0|0|0.0|0|0.0|0
0|2020-04-25|31.0|0|0.0|0|0.0|0
0|2020-04-26|31.0|0|0.0|0|0.0|0
0|2020-04-27|31.0|0|0.0|0|0.0|0
0|2020-04-28|31.0|0|0.0|0|0.0|0
0|2020-04-29|32.0|0|0.0|0|0.0|0
0|2020-04-30|32.0|0|0.0|0|0.0|0
0|2020-05-01|32.0|0|0.0|0|0.0|0
0|2020-05-02|34.0|0|0.0|0|0.0|0
0|2020-05-03|34.0|0|0.0|0|0.0|0
0|2020-05-04|34.0|0|0.0|0|0.0|0
0|2020-05-05|36.0|0|0.0|0|0.0|0
0|2020-05-06|36.0|0|0.0|0|0.0|0
0|2020-05-07|38.0|0|0.0|0|0.0|0
0|2020-05-08|39.0|0|0.0|0|0.0|0
0|2020-05-09|40.0|0|0.0|0|0.0|0
0|2020-05-10|41.0|0|0.0|0|0.0|0
0|2020-05-11|41.0|0|0.0|0|0.0|0
0|2020-05-12|45.0|0|0.0|0|0.0|0
0|2020-05-13|50.0|0|0.0|0|0.0|0
