|dates|Cleburne_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Cleburne_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Cleburne_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Cleburne_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Cleburne_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Cleburne_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|27.0|0|0.0|0|0.0|0
0|2020-03-24|32.0|0|1.0|0|0.0|0
0|2020-03-25|40.0|0|1.0|0|0.0|0
0|2020-03-26|47.0|0|1.0|0|0.0|0
0|2020-03-27|49.0|0|1.0|0|0.0|0
0|2020-03-28|50.0|0|1.0|0|0.0|0
0|2020-03-29|50.0|0|1.0|0|0.0|0
0|2020-03-30|56.0|0|1.0|0|0.0|0
0|2020-03-31|61.0|0|1.0|0|0.0|0
0|2020-04-01|62.0|0|2.0|0|0.0|0
0|2020-04-02|63.0|0|2.0|0|0.0|0
0|2020-04-03|64.0|0|2.0|0|0.0|0
0|2020-04-04|65.0|0|2.0|0|0.0|0
0|2020-04-05|64.0|0|2.0|0|0.0|0
0|2020-04-06|65.0|0|2.0|0|0.0|0
0|2020-04-07|66.0|0|2.0|0|0.0|0
0|2020-04-08|67.0|0|2.0|0|0.0|0
0|2020-04-09|69.0|0|4.0|0|0.0|0
0|2020-04-10|69.0|0|4.0|0|0.0|0
0|2020-04-11|69.0|0|4.0|0|0.0|0
0|2020-04-12|70.0|0|4.0|0|0.0|0
0|2020-04-13|70.0|0|4.0|0|0.0|0
0|2020-04-14|70.0|0|4.0|0|0.0|0
0|2020-04-15|70.0|0|4.0|0|0.0|0
0|2020-04-16|70.0|0|4.0|0|0.0|0
0|2020-04-17|70.0|0|4.0|0|0.0|0
0|2020-04-18|70.0|0|4.0|0|0.0|0
0|2020-04-19|70.0|0|4.0|0|0.0|0
0|2020-04-20|71.0|0|4.0|0|0.0|0
0|2020-04-21|71.0|0|4.0|0|0.0|0
0|2020-04-22|71.0|0|4.0|0|0.0|0
0|2020-04-23|71.0|0|4.0|0|0.0|0
0|2020-04-24|72.0|0|4.0|0|0.0|0
0|2020-04-25|72.0|0|4.0|0|0.0|0
0|2020-04-26|72.0|0|4.0|0|0.0|0
0|2020-04-27|72.0|0|4.0|0|0.0|0
0|2020-04-28|72.0|0|4.0|0|0.0|0
0|2020-04-29|73.0|0|4.0|0|0.0|0
0|2020-04-30|73.0|0|4.0|0|0.0|0
0|2020-05-01|73.0|0|4.0|0|0.0|0
0|2020-05-02|73.0|0|4.0|0|0.0|0
0|2020-05-03|73.0|0|4.0|0|0.0|0
0|2020-05-04|73.0|0|4.0|0|0.0|0
0|2020-05-05|72.0|0|4.0|0|0.0|0
0|2020-05-06|72.0|0|4.0|0|0.0|0
0|2020-05-07|72.0|0|4.0|0|0.0|0
0|2020-05-08|72.0|0|4.0|0|0.0|0
0|2020-05-09|72.0|0|4.0|0|0.0|0
0|2020-05-10|72.0|0|4.0|0|0.0|0
0|2020-05-11|72.0|0|4.0|0|0.0|0
0|2020-05-12|72.0|0|4.0|0|0.0|0
0|2020-05-13|72.0|0|4.0|0|0.0|0
