|dates|Jackson_Michigan_UnitedStates.JHU_ConfirmedCases.data|Jackson_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|6.0|0|0.0|0|0.0|0
0|2020-03-25|12.0|0|0.0|0|0.0|0
0|2020-03-26|17.0|0|0.0|0|0.0|0
0|2020-03-27|16.0|0|0.0|0|0.0|0
0|2020-03-28|20.0|0|0.0|0|0.0|0
0|2020-03-29|24.0|0|1.0|0|0.0|0
0|2020-03-30|37.0|0|1.0|0|0.0|0
0|2020-03-31|47.0|0|1.0|0|0.0|0
0|2020-04-01|56.0|0|2.0|0|0.0|0
0|2020-04-02|67.0|0|2.0|0|0.0|0
0|2020-04-03|69.0|0|3.0|0|0.0|0
0|2020-04-04|81.0|0|3.0|0|0.0|0
0|2020-04-05|90.0|0|3.0|0|0.0|0
0|2020-04-06|103.0|0|4.0|0|0.0|0
0|2020-04-07|114.0|0|4.0|0|0.0|0
0|2020-04-08|126.0|0|4.0|0|0.0|0
0|2020-04-09|131.0|0|4.0|0|0.0|0
0|2020-04-10|140.0|0|4.0|0|0.0|0
0|2020-04-11|152.0|0|4.0|0|0.0|0
0|2020-04-12|171.0|0|4.0|0|0.0|0
0|2020-04-13|172.0|0|6.0|0|0.0|0
0|2020-04-14|183.0|0|7.0|0|0.0|0
0|2020-04-15|195.0|0|8.0|0|0.0|0
0|2020-04-16|209.0|0|8.0|0|0.0|0
0|2020-04-17|227.0|0|9.0|0|0.0|0
0|2020-04-18|232.0|0|9.0|0|0.0|0
0|2020-04-19|248.0|0|10.0|0|0.0|0
0|2020-04-20|260.0|0|10.0|0|0.0|0
0|2020-04-21|280.0|0|12.0|0|0.0|0
0|2020-04-22|289.0|0|12.0|0|0.0|0
0|2020-04-23|298.0|0|14.0|0|0.0|0
0|2020-04-24|313.0|0|15.0|0|0.0|0
0|2020-04-25|323.0|0|16.0|0|0.0|0
0|2020-04-26|327.0|0|16.0|0|0.0|0
0|2020-04-27|341.0|0|18.0|0|0.0|0
0|2020-04-28|342.0|0|18.0|0|0.0|0
0|2020-04-29|351.0|0|19.0|0|0.0|0
0|2020-04-30|364.0|0|22.0|0|0.0|0
0|2020-05-01|381.0|0|22.0|0|0.0|0
0|2020-05-02|364.0|0|24.0|0|0.0|0
0|2020-05-03|361.0|0|24.0|0|0.0|0
0|2020-05-04|363.0|0|26.0|0|0.0|0
0|2020-05-05|367.0|0|26.0|0|0.0|0
0|2020-05-06|373.0|0|26.0|0|0.0|0
0|2020-05-07|380.0|0|26.0|0|0.0|0
0|2020-05-08|381.0|0|25.0|0|0.0|0
0|2020-05-09|389.0|0|26.0|0|0.0|0
0|2020-05-10|393.0|0|26.0|0|0.0|0
0|2020-05-11|393.0|0|26.0|0|0.0|0
0|2020-05-12|401.0|0|26.0|0|0.0|0
0|2020-05-13|405.0|0|26.0|0|0.0|0
