|dates|Fairfax_Virginia_UnitedStates.JHU_ConfirmedCases.data|Fairfax_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Fairfax_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Fairfax_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Fairfax_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Fairfax_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|2.0|0|0.0|0|0.0|0
0|2020-03-09|2.0|0|0.0|0|0.0|0
0|2020-03-10|3.0|0|0.0|0|0.0|0
0|2020-03-11|3.0|0|0.0|0|0.0|0
0|2020-03-12|5.0|0|0.0|0|0.0|0
0|2020-03-13|6.0|0|0.0|0|0.0|0
0|2020-03-14|10.0|0|0.0|0|0.0|0
0|2020-03-15|10.0|0|0.0|0|0.0|0
0|2020-03-16|10.0|0|0.0|0|0.0|0
0|2020-03-17|12.0|0|0.0|0|0.0|0
0|2020-03-18|14.0|0|0.0|0|0.0|0
0|2020-03-19|16.0|0|0.0|0|0.0|0
0|2020-03-20|16.0|0|0.0|0|0.0|0
0|2020-03-21|22.0|0|1.0|0|0.0|0
0|2020-03-22|31.0|0|1.0|0|0.0|0
0|2020-03-23|43.0|0|1.0|0|0.0|0
0|2020-03-24|46.0|0|1.0|0|0.0|0
0|2020-03-25|76.0|0|1.0|0|0.0|0
0|2020-03-26|79.0|0|1.0|0|0.0|0
0|2020-03-27|124.0|0|1.0|0|0.0|0
0|2020-03-28|156.0|0|2.0|0|0.0|0
0|2020-03-29|188.0|0|2.0|0|0.0|0
0|2020-03-30|224.0|0|2.0|0|0.0|0
0|2020-03-31|244.0|0|2.0|0|0.0|0
0|2020-04-01|288.0|0|2.0|0|0.0|0
0|2020-04-02|328.0|0|2.0|0|0.0|0
0|2020-04-03|372.0|0|2.0|0|0.0|0
0|2020-04-04|387.0|0|2.0|0|0.0|0
0|2020-04-05|426.0|0|2.0|0|0.0|0
0|2020-04-06|488.0|0|2.0|0|0.0|0
0|2020-04-07|532.0|0|2.0|0|0.0|0
0|2020-04-08|570.0|0|9.0|0|0.0|0
0|2020-04-09|690.0|0|16.0|0|0.0|0
0|2020-04-10|777.0|0|19.0|0|0.0|0
0|2020-04-11|946.0|0|20.0|0|0.0|0
0|2020-04-12|1008.0|0|20.0|0|0.0|0
0|2020-04-13|1164.0|0|20.0|0|0.0|0
0|2020-04-14|1207.0|0|20.0|0|0.0|0
0|2020-04-15|1298.0|0|21.0|0|0.0|0
0|2020-04-16|1375.0|0|31.0|0|0.0|0
0|2020-04-17|1476.0|0|37.0|0|0.0|0
0|2020-04-18|1633.0|0|37.0|0|0.0|0
0|2020-04-19|1809.0|0|37.0|0|0.0|0
0|2020-04-20|1925.0|0|37.0|0|0.0|0
0|2020-04-21|2077.0|0|37.0|0|0.0|0
0|2020-04-22|2256.0|0|66.0|0|0.0|0
0|2020-04-23|2362.0|0|76.0|0|0.0|0
0|2020-04-24|2534.0|0|85.0|0|0.0|0
0|2020-04-25|2745.0|0|90.0|0|0.0|0
0|2020-04-26|2889.0|0|95.0|0|0.0|0
0|2020-04-27|3002.0|0|100.0|0|0.0|0
0|2020-04-28|3278.0|0|114.0|0|0.0|0
0|2020-04-29|3448.0|0|124.0|0|0.0|0
0|2020-04-30|3611.0|0|134.0|0|0.0|0
0|2020-05-01|3897.0|0|137.0|0|0.0|0
0|2020-05-02|4046.0|0|153.0|0|0.0|0
0|2020-05-03|4340.0|0|184.0|0|0.0|0
0|2020-05-04|4615.0|0|198.0|0|0.0|0
0|2020-05-05|4834.0|0|201.0|0|0.0|0
0|2020-05-06|4834.0|0|201.0|0|0.0|0
0|2020-05-07|5045.0|0|211.0|0|0.0|0
0|2020-05-08|5338.0|0|227.0|0|0.0|0
0|2020-05-09|5610.0|0|230.0|0|0.0|0
0|2020-05-10|5892.0|0|239.0|0|0.0|0
0|2020-05-11|5892.0|0|239.0|0|0.0|0
0|2020-05-12|6470.0|0|253.0|0|0.0|0
0|2020-05-13|6666.0|0|262.0|0|0.0|0
