|dates|Lackawanna_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Lackawanna_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Lackawanna_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Lackawanna_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Lackawanna_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Lackawanna_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|5.0|0|0.0|0|0.0|0
0|2020-03-22|6.0|0|0.0|0|0.0|0
0|2020-03-23|7.0|0|0.0|0|0.0|0
0|2020-03-24|15.0|0|1.0|0|0.0|0
0|2020-03-25|18.0|0|2.0|0|0.0|0
0|2020-03-26|28.0|0|2.0|0|0.0|0
0|2020-03-27|35.0|0|2.0|0|0.0|0
0|2020-03-28|51.0|0|2.0|0|0.0|0
0|2020-03-29|56.0|0|2.0|0|0.0|0
0|2020-03-30|62.0|0|2.0|0|0.0|0
0|2020-03-31|78.0|0|3.0|0|0.0|0
0|2020-04-01|85.0|0|3.0|0|0.0|0
0|2020-04-02|108.0|0|3.0|0|0.0|0
0|2020-04-03|119.0|0|4.0|0|0.0|0
0|2020-04-04|146.0|0|6.0|0|0.0|0
0|2020-04-05|172.0|0|6.0|0|0.0|0
0|2020-04-06|190.0|0|7.0|0|0.0|0
0|2020-04-07|235.0|0|8.0|0|0.0|0
0|2020-04-08|266.0|0|12.0|0|0.0|0
0|2020-04-09|312.0|0|16.0|0|0.0|0
0|2020-04-10|346.0|0|18.0|0|0.0|0
0|2020-04-11|392.0|0|20.0|0|0.0|0
0|2020-04-12|427.0|0|20.0|0|0.0|0
0|2020-04-13|459.0|0|21.0|0|0.0|0
0|2020-04-14|501.0|0|24.0|0|0.0|0
0|2020-04-15|527.0|0|26.0|0|0.0|0
0|2020-04-16|559.0|0|28.0|0|0.0|0
0|2020-04-17|592.0|0|30.0|0|0.0|0
0|2020-04-18|620.0|0|35.0|0|0.0|0
0|2020-04-19|636.0|0|41.0|0|0.0|0
0|2020-04-20|646.0|0|41.0|0|0.0|0
0|2020-04-21|666.0|0|53.0|0|0.0|0
0|2020-04-22|682.0|0|57.0|0|0.0|0
0|2020-04-23|707.0|0|58.0|0|0.0|0
0|2020-04-24|735.0|0|61.0|0|0.0|0
0|2020-04-25|772.0|0|63.0|0|0.0|0
0|2020-04-26|793.0|0|63.0|0|0.0|0
0|2020-04-27|833.0|0|63.0|0|0.0|0
0|2020-04-28|854.0|0|71.0|0|0.0|0
0|2020-04-29|873.0|0|81.0|0|0.0|0
0|2020-04-30|913.0|0|82.0|0|0.0|0
0|2020-05-01|934.0|0|83.0|0|0.0|0
0|2020-05-02|968.0|0|83.0|0|0.0|0
0|2020-05-03|999.0|0|86.0|0|0.0|0
0|2020-05-04|1017.0|0|87.0|0|0.0|0
0|2020-05-05|1038.0|0|103.0|0|0.0|0
0|2020-05-06|1076.0|0|106.0|0|0.0|0
0|2020-05-07|1093.0|0|112.0|0|0.0|0
0|2020-05-08|1114.0|0|113.0|0|0.0|0
0|2020-05-09|1134.0|0|115.0|0|0.0|0
0|2020-05-10|1172.0|0|117.0|0|0.0|0
0|2020-05-11|1172.0|0|117.0|0|0.0|0
0|2020-05-12|1211.0|0|124.0|0|0.0|0
0|2020-05-13|1232.0|0|128.0|0|0.0|0
