|dates|Robertson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Robertson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Robertson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Robertson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Robertson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Robertson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|6.0|0|0.0|0|0.0|0
0|2020-03-24|12.0|0|0.0|0|0.0|0
0|2020-03-25|15.0|0|0.0|0|0.0|0
0|2020-03-26|20.0|0|0.0|0|0.0|0
0|2020-03-27|22.0|0|0.0|0|0.0|0
0|2020-03-28|23.0|0|0.0|0|0.0|0
0|2020-03-29|25.0|0|0.0|0|0.0|0
0|2020-03-30|25.0|0|0.0|0|0.0|0
0|2020-03-31|28.0|0|0.0|0|0.0|0
0|2020-04-01|35.0|0|0.0|0|0.0|0
0|2020-04-02|41.0|0|0.0|0|0.0|0
0|2020-04-03|51.0|0|0.0|0|0.0|0
0|2020-04-04|51.0|0|0.0|0|0.0|0
0|2020-04-05|59.0|0|0.0|0|0.0|0
0|2020-04-06|60.0|0|0.0|0|0.0|0
0|2020-04-07|65.0|0|0.0|0|0.0|0
0|2020-04-08|67.0|0|0.0|0|0.0|0
0|2020-04-09|70.0|0|0.0|0|0.0|0
0|2020-04-10|73.0|0|0.0|0|0.0|0
0|2020-04-11|81.0|0|0.0|0|0.0|0
0|2020-04-12|84.0|0|0.0|0|0.0|0
0|2020-04-13|88.0|0|0.0|0|0.0|0
0|2020-04-14|88.0|0|0.0|0|0.0|0
0|2020-04-15|88.0|0|0.0|0|0.0|0
0|2020-04-16|94.0|0|0.0|0|0.0|0
0|2020-04-17|95.0|0|0.0|0|0.0|0
0|2020-04-18|105.0|0|0.0|0|0.0|0
0|2020-04-19|113.0|0|0.0|0|0.0|0
0|2020-04-20|116.0|0|0.0|0|0.0|0
0|2020-04-21|117.0|0|0.0|0|0.0|0
0|2020-04-22|117.0|0|0.0|0|0.0|0
0|2020-04-23|126.0|0|0.0|0|0.0|0
0|2020-04-24|125.0|0|0.0|0|0.0|0
0|2020-04-25|127.0|0|0.0|0|0.0|0
0|2020-04-26|136.0|0|0.0|0|0.0|0
0|2020-04-27|138.0|0|0.0|0|0.0|0
0|2020-04-28|139.0|0|0.0|0|0.0|0
0|2020-04-29|139.0|0|0.0|0|0.0|0
0|2020-04-30|148.0|0|0.0|0|0.0|0
0|2020-05-01|157.0|0|0.0|0|0.0|0
0|2020-05-02|168.0|0|0.0|0|0.0|0
0|2020-05-03|179.0|0|0.0|0|0.0|0
0|2020-05-04|184.0|0|0.0|0|0.0|0
0|2020-05-05|185.0|0|0.0|0|0.0|0
0|2020-05-06|185.0|0|0.0|0|0.0|0
0|2020-05-07|195.0|0|0.0|0|0.0|0
0|2020-05-08|207.0|0|0.0|0|0.0|0
0|2020-05-09|219.0|0|0.0|0|0.0|0
0|2020-05-10|218.0|0|0.0|0|0.0|0
0|2020-05-11|218.0|0|0.0|0|0.0|0
0|2020-05-12|244.0|0|0.0|0|0.0|0
0|2020-05-13|245.0|0|0.0|0|0.0|0
