|dates|Macomb_Michigan_UnitedStates.JHU_ConfirmedCases.data|Macomb_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Macomb_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Macomb_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Macomb_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Macomb_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|6.0|0|0.0|0|0.0|0
0|2020-03-17|8.0|0|0.0|0|0.0|0
0|2020-03-18|10.0|0|0.0|0|0.0|0
0|2020-03-19|55.0|0|0.0|0|0.0|0
0|2020-03-20|86.0|0|0.0|0|0.0|0
0|2020-03-21|101.0|0|0.0|0|0.0|0
0|2020-03-22|140.0|0|1.0|0|0.0|0
0|2020-03-23|175.0|0|2.0|0|0.0|0
0|2020-03-24|225.0|0|3.0|0|0.0|0
0|2020-03-25|281.0|0|7.0|0|0.0|0
0|2020-03-26|347.0|0|11.0|0|0.0|0
0|2020-03-27|404.0|0|14.0|0|0.0|0
0|2020-03-28|534.0|0|17.0|0|0.0|0
0|2020-03-29|620.0|0|20.0|0|0.0|0
0|2020-03-30|728.0|0|27.0|0|0.0|0
0|2020-03-31|853.0|0|38.0|0|0.0|0
0|2020-04-01|1088.0|0|51.0|0|0.0|0
0|2020-04-02|1332.0|0|58.0|0|0.0|0
0|2020-04-03|1560.0|0|65.0|0|0.0|0
0|2020-04-04|1838.0|0|78.0|0|0.0|0
0|2020-04-05|2003.0|0|83.0|0|0.0|0
0|2020-04-06|2159.0|0|100.0|0|0.0|0
0|2020-04-07|2414.0|0|121.0|0|0.0|0
0|2020-04-08|2626.0|0|141.0|0|0.0|0
0|2020-04-09|2783.0|0|165.0|0|0.0|0
0|2020-04-10|2973.0|0|197.0|0|0.0|0
0|2020-04-11|3164.0|0|209.0|0|0.0|0
0|2020-04-12|3254.0|0|217.0|0|0.0|0
0|2020-04-13|3418.0|0|240.0|0|0.0|0
0|2020-04-14|3620.0|0|293.0|0|0.0|0
0|2020-04-15|3792.0|0|330.0|0|0.0|0
0|2020-04-16|3992.0|0|354.0|0|0.0|0
0|2020-04-17|4145.0|0|373.0|0|0.0|0
0|2020-04-18|4251.0|0|384.0|0|0.0|0
0|2020-04-19|4360.0|0|391.0|0|0.0|0
0|2020-04-20|4425.0|0|403.0|0|0.0|0
0|2020-04-21|4544.0|0|445.0|0|0.0|0
0|2020-04-22|4628.0|0|473.0|0|0.0|0
0|2020-04-23|4862.0|0|493.0|0|0.0|0
0|2020-04-24|5022.0|0|504.0|0|0.0|0
0|2020-04-25|5139.0|0|517.0|0|0.0|0
0|2020-04-26|5203.0|0|520.0|0|0.0|0
0|2020-04-27|5245.0|0|527.0|0|0.0|0
0|2020-04-28|5339.0|0|572.0|0|0.0|0
0|2020-04-29|5430.0|0|597.0|0|0.0|0
0|2020-04-30|5513.0|0|603.0|0|0.0|0
0|2020-05-01|5623.0|0|614.0|0|0.0|0
0|2020-05-02|5666.0|0|625.0|0|0.0|0
0|2020-05-03|5756.0|0|628.0|0|0.0|0
0|2020-05-04|5736.0|0|643.0|0|0.0|0
0|2020-05-05|5789.0|0|647.0|0|0.0|0
0|2020-05-06|5832.0|0|662.0|0|0.0|0
0|2020-05-07|5876.0|0|678.0|0|0.0|0
0|2020-05-08|5963.0|0|682.0|0|0.0|0
0|2020-05-09|6019.0|0|697.0|0|0.0|0
0|2020-05-10|6042.0|0|698.0|0|0.0|0
0|2020-05-11|6042.0|0|698.0|0|0.0|0
0|2020-05-12|6097.0|0|710.0|0|0.0|0
0|2020-05-13|6137.0|0|717.0|0|0.0|0
