|dates|Wichita_Texas_UnitedStates.JHU_ConfirmedCases.data|Wichita_Texas_UnitedStates.JHU_ConfirmedCases.missing|Wichita_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Wichita_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Wichita_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Wichita_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|8.0|0|0.0|0|0.0|0
0|2020-03-26|10.0|0|0.0|0|0.0|0
0|2020-03-27|15.0|0|0.0|0|0.0|0
0|2020-03-28|23.0|0|0.0|0|0.0|0
0|2020-03-29|23.0|0|0.0|0|0.0|0
0|2020-03-30|28.0|0|0.0|0|0.0|0
0|2020-03-31|30.0|0|0.0|0|0.0|0
0|2020-04-01|38.0|0|0.0|0|0.0|0
0|2020-04-02|43.0|0|0.0|0|0.0|0
0|2020-04-03|44.0|0|0.0|0|0.0|0
0|2020-04-04|46.0|0|0.0|0|0.0|0
0|2020-04-05|46.0|0|0.0|0|0.0|0
0|2020-04-06|47.0|0|0.0|0|0.0|0
0|2020-04-07|48.0|0|0.0|0|0.0|0
0|2020-04-08|48.0|0|0.0|0|0.0|0
0|2020-04-09|50.0|0|0.0|0|0.0|0
0|2020-04-10|53.0|0|0.0|0|0.0|0
0|2020-04-11|54.0|0|0.0|0|0.0|0
0|2020-04-12|56.0|0|0.0|0|0.0|0
0|2020-04-13|56.0|0|0.0|0|0.0|0
0|2020-04-14|56.0|0|0.0|0|0.0|0
0|2020-04-15|56.0|0|0.0|0|0.0|0
0|2020-04-16|57.0|0|0.0|0|0.0|0
0|2020-04-17|57.0|0|1.0|0|0.0|0
0|2020-04-18|58.0|0|1.0|0|0.0|0
0|2020-04-19|59.0|0|2.0|0|0.0|0
0|2020-04-20|60.0|0|2.0|0|0.0|0
0|2020-04-21|60.0|0|2.0|0|0.0|0
0|2020-04-22|62.0|0|2.0|0|0.0|0
0|2020-04-23|62.0|0|2.0|0|0.0|0
0|2020-04-24|62.0|0|2.0|0|0.0|0
0|2020-04-25|62.0|0|2.0|0|0.0|0
0|2020-04-26|62.0|0|2.0|0|0.0|0
0|2020-04-27|62.0|0|2.0|0|0.0|0
0|2020-04-28|63.0|0|2.0|0|0.0|0
0|2020-04-29|64.0|0|2.0|0|0.0|0
0|2020-04-30|65.0|0|2.0|0|0.0|0
0|2020-05-01|65.0|0|2.0|0|0.0|0
0|2020-05-02|65.0|0|2.0|0|0.0|0
0|2020-05-03|65.0|0|2.0|0|0.0|0
0|2020-05-04|65.0|0|2.0|0|0.0|0
0|2020-05-05|68.0|0|2.0|0|0.0|0
0|2020-05-06|70.0|0|2.0|0|0.0|0
0|2020-05-07|70.0|0|2.0|0|0.0|0
0|2020-05-08|71.0|0|2.0|0|0.0|0
0|2020-05-09|74.0|0|2.0|0|0.0|0
0|2020-05-10|75.0|0|2.0|0|0.0|0
0|2020-05-11|75.0|0|2.0|0|0.0|0
0|2020-05-12|75.0|0|2.0|0|0.0|0
0|2020-05-13|76.0|0|2.0|0|0.0|0
