|dates|Yazoo_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Yazoo_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Yazoo_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Yazoo_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Yazoo_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Yazoo_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|5.0|0|0.0|0|0.0|0
0|2020-03-30|5.0|0|0.0|0|0.0|0
0|2020-03-31|9.0|0|0.0|0|0.0|0
0|2020-04-01|9.0|0|0.0|0|0.0|0
0|2020-04-02|11.0|0|0.0|0|0.0|0
0|2020-04-03|13.0|0|1.0|0|0.0|0
0|2020-04-04|19.0|0|1.0|0|0.0|0
0|2020-04-05|31.0|0|1.0|0|0.0|0
0|2020-04-06|32.0|0|1.0|0|0.0|0
0|2020-04-07|32.0|0|1.0|0|0.0|0
0|2020-04-08|38.0|0|1.0|0|0.0|0
0|2020-04-09|47.0|0|1.0|0|0.0|0
0|2020-04-10|55.0|0|1.0|0|0.0|0
0|2020-04-11|58.0|0|1.0|0|0.0|0
0|2020-04-12|63.0|0|1.0|0|0.0|0
0|2020-04-13|64.0|0|1.0|0|0.0|0
0|2020-04-14|64.0|0|1.0|0|0.0|0
0|2020-04-15|65.0|0|1.0|0|0.0|0
0|2020-04-16|72.0|0|1.0|0|0.0|0
0|2020-04-17|81.0|0|1.0|0|0.0|0
0|2020-04-18|85.0|0|1.0|0|0.0|0
0|2020-04-19|91.0|0|1.0|0|0.0|0
0|2020-04-20|95.0|0|1.0|0|0.0|0
0|2020-04-21|103.0|0|1.0|0|0.0|0
0|2020-04-22|103.0|0|1.0|0|0.0|0
0|2020-04-23|110.0|0|1.0|0|0.0|0
0|2020-04-24|117.0|0|1.0|0|0.0|0
0|2020-04-25|120.0|0|1.0|0|0.0|0
0|2020-04-26|122.0|0|1.0|0|0.0|0
0|2020-04-27|126.0|0|1.0|0|0.0|0
0|2020-04-28|129.0|0|1.0|0|0.0|0
0|2020-04-29|134.0|0|1.0|0|0.0|0
0|2020-04-30|135.0|0|1.0|0|0.0|0
0|2020-05-01|139.0|0|1.0|0|0.0|0
0|2020-05-02|144.0|0|1.0|0|0.0|0
0|2020-05-03|147.0|0|2.0|0|0.0|0
0|2020-05-04|151.0|0|2.0|0|0.0|0
0|2020-05-05|154.0|0|2.0|0|0.0|0
0|2020-05-06|155.0|0|2.0|0|0.0|0
0|2020-05-07|154.0|0|2.0|0|0.0|0
0|2020-05-08|162.0|0|2.0|0|0.0|0
0|2020-05-09|162.0|0|2.0|0|0.0|0
0|2020-05-10|164.0|0|2.0|0|0.0|0
0|2020-05-11|164.0|0|2.0|0|0.0|0
0|2020-05-12|169.0|0|2.0|0|0.0|0
0|2020-05-13|171.0|0|2.0|0|0.0|0
