|dates|Outagamie_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Outagamie_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Outagamie_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Outagamie_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Outagamie_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Outagamie_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|4.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|6.0|0|0.0|0|0.0|0
0|2020-03-30|9.0|0|0.0|0|0.0|0
0|2020-03-31|12.0|0|0.0|0|0.0|0
0|2020-04-01|12.0|0|0.0|0|0.0|0
0|2020-04-02|14.0|0|0.0|0|0.0|0
0|2020-04-03|19.0|0|0.0|0|0.0|0
0|2020-04-04|19.0|0|0.0|0|0.0|0
0|2020-04-05|21.0|0|1.0|0|0.0|0
0|2020-04-06|22.0|0|1.0|0|0.0|0
0|2020-04-07|25.0|0|1.0|0|0.0|0
0|2020-04-08|25.0|0|1.0|0|0.0|0
0|2020-04-09|26.0|0|2.0|0|0.0|0
0|2020-04-10|29.0|0|2.0|0|0.0|0
0|2020-04-11|29.0|0|2.0|0|0.0|0
0|2020-04-12|29.0|0|2.0|0|0.0|0
0|2020-04-13|29.0|0|2.0|0|0.0|0
0|2020-04-14|29.0|0|2.0|0|0.0|0
0|2020-04-15|31.0|0|2.0|0|0.0|0
0|2020-04-16|31.0|0|2.0|0|0.0|0
0|2020-04-17|31.0|0|2.0|0|0.0|0
0|2020-04-18|33.0|0|2.0|0|0.0|0
0|2020-04-19|35.0|0|2.0|0|0.0|0
0|2020-04-20|35.0|0|2.0|0|0.0|0
0|2020-04-21|35.0|0|2.0|0|0.0|0
0|2020-04-22|37.0|0|2.0|0|0.0|0
0|2020-04-23|38.0|0|2.0|0|0.0|0
0|2020-04-24|43.0|0|2.0|0|0.0|0
0|2020-04-25|43.0|0|2.0|0|0.0|0
0|2020-04-26|46.0|0|2.0|0|0.0|0
0|2020-04-27|47.0|0|2.0|0|0.0|0
0|2020-04-28|50.0|0|2.0|0|0.0|0
0|2020-04-29|54.0|0|2.0|0|0.0|0
0|2020-04-30|54.0|0|2.0|0|0.0|0
0|2020-05-01|62.0|0|2.0|0|0.0|0
0|2020-05-02|63.0|0|2.0|0|0.0|0
0|2020-05-03|68.0|0|2.0|0|0.0|0
0|2020-05-04|73.0|0|2.0|0|0.0|0
0|2020-05-05|77.0|0|2.0|0|0.0|0
0|2020-05-06|83.0|0|2.0|0|0.0|0
0|2020-05-07|93.0|0|2.0|0|0.0|0
0|2020-05-08|105.0|0|2.0|0|0.0|0
0|2020-05-09|111.0|0|2.0|0|0.0|0
0|2020-05-10|112.0|0|2.0|0|0.0|0
0|2020-05-11|112.0|0|2.0|0|0.0|0
0|2020-05-12|117.0|0|2.0|0|0.0|0
0|2020-05-13|122.0|0|2.0|0|0.0|0
