|dates|Hartford_Connecticut_UnitedStates.JHU_ConfirmedCases.data|Hartford_Connecticut_UnitedStates.JHU_ConfirmedCases.missing|Hartford_Connecticut_UnitedStates.JHU_ConfirmedDeaths.data|Hartford_Connecticut_UnitedStates.JHU_ConfirmedDeaths.missing|Hartford_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.data|Hartford_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|4.0|0|0.0|0|0.0|0
0|2020-03-17|7.0|0|0.0|0|0.0|0
0|2020-03-18|11.0|0|0.0|0|0.0|0
0|2020-03-19|18.0|0|0.0|0|0.0|0
0|2020-03-20|29.0|0|0.0|0|0.0|0
0|2020-03-21|29.0|0|0.0|0|0.0|0
0|2020-03-22|54.0|0|1.0|0|0.0|0
0|2020-03-23|61.0|0|2.0|0|0.0|0
0|2020-03-24|88.0|0|2.0|0|0.0|0
0|2020-03-25|116.0|0|2.0|0|0.0|0
0|2020-03-26|138.0|0|2.0|0|0.0|0
0|2020-03-27|189.0|0|2.0|0|0.0|0
0|2020-03-28|228.0|0|2.0|0|0.0|0
0|2020-03-29|276.0|0|2.0|0|0.0|0
0|2020-03-30|330.0|0|3.0|0|0.0|0
0|2020-03-31|393.0|0|7.0|0|0.0|0
0|2020-04-01|469.0|0|11.0|0|0.0|0
0|2020-04-02|539.0|0|13.0|0|0.0|0
0|2020-04-03|679.0|0|18.0|0|0.0|0
0|2020-04-04|726.0|0|26.0|0|0.0|0
0|2020-04-05|751.0|0|29.0|0|0.0|0
0|2020-04-06|882.0|0|31.0|0|0.0|0
0|2020-04-07|1045.0|0|48.0|0|0.0|0
0|2020-04-08|1045.0|0|48.0|0|0.0|0
0|2020-04-09|1471.0|0|75.0|0|0.0|0
0|2020-04-10|1615.0|0|88.0|0|0.0|0
0|2020-04-11|1832.0|0|101.0|0|0.0|0
0|2020-04-12|1914.0|0|116.0|0|0.0|0
0|2020-04-13|2243.0|0|133.0|0|0.0|0
0|2020-04-14|2370.0|0|153.0|0|0.0|0
0|2020-04-15|2570.0|0|213.0|0|0.0|0
0|2020-04-16|2859.0|0|243.0|0|0.0|0
0|2020-04-17|3015.0|0|266.0|0|0.0|0
0|2020-04-18|3196.0|0|289.0|0|0.0|0
0|2020-04-19|3351.0|0|295.0|0|0.0|0
0|2020-04-20|3823.0|0|369.0|0|0.0|0
0|2020-04-21|3951.0|0|402.0|0|0.0|0
0|2020-04-22|4128.0|0|442.0|0|0.0|0
0|2020-04-23|4303.0|0|469.0|0|0.0|0
0|2020-04-24|4570.0|0|511.0|0|0.0|0
0|2020-04-25|4761.0|0|553.0|0|0.0|0
0|2020-04-26|4989.0|0|579.0|0|0.0|0
0|2020-04-27|5157.0|0|612.0|0|0.0|0
0|2020-04-28|5224.0|0|643.0|0|0.0|0
0|2020-04-29|5388.0|0|670.0|0|0.0|0
0|2020-04-30|5601.0|0|698.0|0|0.0|0
0|2020-05-01|5931.0|0|715.0|0|0.0|0
0|2020-05-02|6112.0|0|741.0|0|0.0|0
0|2020-05-03|6112.0|0|741.0|0|0.0|0
0|2020-05-04|6173.0|0|773.0|0|0.0|0
0|2020-05-05|6351.0|0|804.0|0|0.0|0
0|2020-05-06|6530.0|0|842.0|0|0.0|0
0|2020-05-07|6750.0|0|867.0|0|0.0|0
0|2020-05-08|6904.0|0|884.0|0|0.0|0
0|2020-05-09|7105.0|0|901.0|0|0.0|0
0|2020-05-10|7263.0|0|909.0|0|0.0|0
0|2020-05-11|7263.0|0|909.0|0|0.0|0
0|2020-05-12|7528.0|0|931.0|0|0.0|0
0|2020-05-13|7732.0|0|963.0|0|0.0|0
