|dates|Kennebec_Maine_UnitedStates.JHU_ConfirmedCases.data|Kennebec_Maine_UnitedStates.JHU_ConfirmedCases.missing|Kennebec_Maine_UnitedStates.JHU_ConfirmedDeaths.data|Kennebec_Maine_UnitedStates.JHU_ConfirmedDeaths.missing|Kennebec_Maine_UnitedStates.JHU_ConfirmedRecoveries.data|Kennebec_Maine_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|5.0|0|0.0|0|0.0|0
0|2020-03-26|6.0|0|0.0|0|0.0|0
0|2020-03-27|6.0|0|0.0|0|0.0|0
0|2020-03-28|9.0|0|0.0|0|0.0|0
0|2020-03-29|10.0|0|0.0|0|0.0|0
0|2020-03-30|10.0|0|0.0|0|0.0|0
0|2020-03-31|12.0|0|1.0|0|0.0|0
0|2020-04-01|12.0|0|1.0|0|0.0|0
0|2020-04-02|19.0|0|1.0|0|0.0|0
0|2020-04-03|19.0|0|1.0|0|0.0|0
0|2020-04-04|21.0|0|1.0|0|0.0|0
0|2020-04-05|22.0|0|1.0|0|0.0|0
0|2020-04-06|23.0|0|1.0|0|0.0|0
0|2020-04-07|26.0|0|1.0|0|0.0|0
0|2020-04-08|26.0|0|1.0|0|0.0|0
0|2020-04-09|26.0|0|1.0|0|0.0|0
0|2020-04-10|29.0|0|1.0|0|0.0|0
0|2020-04-11|31.0|0|1.0|0|0.0|0
0|2020-04-12|32.0|0|1.0|0|0.0|0
0|2020-04-13|78.0|0|1.0|0|0.0|0
0|2020-04-14|81.0|0|1.0|0|0.0|0
0|2020-04-15|93.0|0|3.0|0|0.0|0
0|2020-04-16|94.0|0|3.0|0|0.0|0
0|2020-04-17|95.0|0|3.0|0|0.0|0
0|2020-04-18|96.0|0|4.0|0|0.0|0
0|2020-04-19|97.0|0|4.0|0|0.0|0
0|2020-04-20|97.0|0|4.0|0|0.0|0
0|2020-04-21|97.0|0|4.0|0|0.0|0
0|2020-04-22|99.0|0|4.0|0|0.0|0
0|2020-04-23|100.0|0|4.0|0|0.0|0
0|2020-04-24|100.0|0|5.0|0|0.0|0
0|2020-04-25|100.0|0|5.0|0|0.0|0
0|2020-04-26|101.0|0|5.0|0|0.0|0
0|2020-04-27|102.0|0|6.0|0|0.0|0
0|2020-04-28|103.0|0|6.0|0|0.0|0
0|2020-04-29|104.0|0|6.0|0|0.0|0
0|2020-04-30|104.0|0|6.0|0|0.0|0
0|2020-05-01|104.0|0|6.0|0|0.0|0
0|2020-05-02|104.0|0|6.0|0|0.0|0
0|2020-05-03|105.0|0|6.0|0|0.0|0
0|2020-05-04|105.0|0|6.0|0|0.0|0
0|2020-05-05|105.0|0|8.0|0|0.0|0
0|2020-05-06|106.0|0|8.0|0|0.0|0
0|2020-05-07|107.0|0|8.0|0|0.0|0
0|2020-05-08|108.0|0|8.0|0|0.0|0
0|2020-05-09|109.0|0|8.0|0|0.0|0
0|2020-05-10|109.0|0|8.0|0|0.0|0
0|2020-05-11|109.0|0|8.0|0|0.0|0
0|2020-05-12|111.0|0|8.0|0|0.0|0
0|2020-05-13|112.0|0|8.0|0|0.0|0
