|dates|Dutchess_NewYork_UnitedStates.JHU_ConfirmedCases.data|Dutchess_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Dutchess_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Dutchess_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Dutchess_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Dutchess_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|4.0|0|0.0|0|0.0|0
0|2020-03-15|4.0|0|0.0|0|0.0|0
0|2020-03-16|10.0|0|0.0|0|0.0|0
0|2020-03-17|16.0|0|0.0|0|0.0|0
0|2020-03-18|20.0|0|0.0|0|0.0|0
0|2020-03-19|31.0|0|0.0|0|0.0|0
0|2020-03-20|36.0|0|0.0|0|0.0|0
0|2020-03-21|49.0|0|0.0|0|0.0|0
0|2020-03-22|82.0|0|0.0|0|0.0|0
0|2020-03-23|100.0|0|1.0|0|0.0|0
0|2020-03-24|124.0|0|1.0|0|0.0|0
0|2020-03-25|153.0|0|1.0|0|0.0|0
0|2020-03-26|190.0|0|1.0|0|0.0|0
0|2020-03-27|225.0|0|1.0|0|0.0|0
0|2020-03-28|262.0|0|2.0|0|0.0|0
0|2020-03-29|320.0|0|2.0|0|0.0|0
0|2020-03-30|392.0|0|2.0|0|0.0|0
0|2020-03-31|484.0|0|3.0|0|0.0|0
0|2020-04-01|547.0|0|4.0|0|0.0|0
0|2020-04-02|667.0|0|5.0|0|0.0|0
0|2020-04-03|809.0|0|5.0|0|0.0|0
0|2020-04-04|938.0|0|5.0|0|0.0|0
0|2020-04-05|1077.0|0|8.0|0|0.0|0
0|2020-04-06|1189.0|0|9.0|0|0.0|0
0|2020-04-07|1249.0|0|9.0|0|0.0|0
0|2020-04-08|1395.0|0|10.0|0|0.0|0
0|2020-04-09|1493.0|0|10.0|0|0.0|0
0|2020-04-10|1598.0|0|10.0|0|0.0|0
0|2020-04-11|1744.0|0|11.0|0|0.0|0
0|2020-04-12|1838.0|0|12.0|0|0.0|0
0|2020-04-13|1881.0|0|13.0|0|0.0|0
0|2020-04-14|1934.0|0|17.0|0|0.0|0
0|2020-04-15|2048.0|0|18.0|0|0.0|0
0|2020-04-16|2085.0|0|19.0|0|0.0|0
0|2020-04-17|2142.0|0|19.0|0|0.0|0
0|2020-04-18|2201.0|0|26.0|0|0.0|0
0|2020-04-19|2240.0|0|28.0|0|0.0|0
0|2020-04-20|2284.0|0|28.0|0|0.0|0
0|2020-04-21|2331.0|0|28.0|0|0.0|0
0|2020-04-22|2391.0|0|28.0|0|0.0|0
0|2020-04-23|2460.0|0|35.0|0|0.0|0
0|2020-04-24|2517.0|0|35.0|0|0.0|0
0|2020-04-25|2660.0|0|35.0|0|0.0|0
0|2020-04-26|2729.0|0|35.0|0|0.0|0
0|2020-04-27|2793.0|0|36.0|0|0.0|0
0|2020-04-28|2817.0|0|36.0|0|0.0|0
0|2020-04-29|2881.0|0|36.0|0|0.0|0
0|2020-04-30|2954.0|0|37.0|0|0.0|0
0|2020-05-01|3002.0|0|37.0|0|0.0|0
0|2020-05-02|3049.0|0|37.0|0|0.0|0
0|2020-05-03|3086.0|0|37.0|0|0.0|0
0|2020-05-04|3131.0|0|40.0|0|0.0|0
0|2020-05-05|3151.0|0|40.0|0|0.0|0
0|2020-05-06|3192.0|0|40.0|0|0.0|0
0|2020-05-07|3233.0|0|40.0|0|0.0|0
0|2020-05-08|3277.0|0|96.0|0|0.0|0
0|2020-05-09|3319.0|0|98.0|0|0.0|0
0|2020-05-10|3359.0|0|98.0|0|0.0|0
0|2020-05-11|3378.0|0|98.0|0|0.0|0
0|2020-05-12|3399.0|0|103.0|0|0.0|0
0|2020-05-13|3429.0|0|108.0|0|0.0|0
