|dates|Seminole_Florida_UnitedStates.JHU_ConfirmedCases.data|Seminole_Florida_UnitedStates.JHU_ConfirmedCases.missing|Seminole_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Seminole_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Seminole_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Seminole_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|4.0|0|0.0|0|0.0|0
0|2020-03-18|7.0|0|0.0|0|0.0|0
0|2020-03-19|8.0|0|0.0|0|0.0|0
0|2020-03-20|10.0|0|0.0|0|0.0|0
0|2020-03-21|12.0|0|0.0|0|0.0|0
0|2020-03-22|19.0|0|0.0|0|0.0|0
0|2020-03-23|22.0|0|0.0|0|0.0|0
0|2020-03-24|23.0|0|0.0|0|0.0|0
0|2020-03-25|29.0|0|0.0|0|0.0|0
0|2020-03-26|37.0|0|0.0|0|0.0|0
0|2020-03-27|49.0|0|0.0|0|0.0|0
0|2020-03-28|61.0|0|0.0|0|0.0|0
0|2020-03-29|76.0|0|0.0|0|0.0|0
0|2020-03-30|87.0|0|0.0|0|0.0|0
0|2020-03-31|103.0|0|0.0|0|0.0|0
0|2020-04-01|109.0|0|0.0|0|0.0|0
0|2020-04-02|145.0|0|0.0|0|0.0|0
0|2020-04-03|163.0|0|0.0|0|0.0|0
0|2020-04-04|178.0|0|1.0|0|0.0|0
0|2020-04-05|191.0|0|1.0|0|0.0|0
0|2020-04-06|194.0|0|1.0|0|0.0|0
0|2020-04-07|202.0|0|1.0|0|0.0|0
0|2020-04-08|216.0|0|1.0|0|0.0|0
0|2020-04-09|228.0|0|1.0|0|0.0|0
0|2020-04-10|235.0|0|2.0|0|0.0|0
0|2020-04-11|242.0|0|2.0|0|0.0|0
0|2020-04-12|255.0|0|2.0|0|0.0|0
0|2020-04-13|268.0|0|2.0|0|0.0|0
0|2020-04-14|275.0|0|2.0|0|0.0|0
0|2020-04-15|283.0|0|2.0|0|0.0|0
0|2020-04-16|306.0|0|3.0|0|0.0|0
0|2020-04-17|313.0|0|4.0|0|0.0|0
0|2020-04-18|315.0|0|4.0|0|0.0|0
0|2020-04-19|320.0|0|5.0|0|0.0|0
0|2020-04-20|325.0|0|5.0|0|0.0|0
0|2020-04-21|328.0|0|6.0|0|0.0|0
0|2020-04-22|332.0|0|6.0|0|0.0|0
0|2020-04-23|340.0|0|7.0|0|0.0|0
0|2020-04-24|348.0|0|8.0|0|0.0|0
0|2020-04-25|351.0|0|8.0|0|0.0|0
0|2020-04-26|357.0|0|8.0|0|0.0|0
0|2020-04-27|367.0|0|8.0|0|0.0|0
0|2020-04-28|374.0|0|8.0|0|0.0|0
0|2020-04-29|373.0|0|8.0|0|0.0|0
0|2020-04-30|379.0|0|8.0|0|0.0|0
0|2020-05-01|385.0|0|8.0|0|0.0|0
0|2020-05-02|395.0|0|8.0|0|0.0|0
0|2020-05-03|394.0|0|8.0|0|0.0|0
0|2020-05-04|396.0|0|8.0|0|0.0|0
0|2020-05-05|403.0|0|8.0|0|0.0|0
0|2020-05-06|408.0|0|8.0|0|0.0|0
0|2020-05-07|410.0|0|8.0|0|0.0|0
0|2020-05-08|410.0|0|10.0|0|0.0|0
0|2020-05-09|411.0|0|11.0|0|0.0|0
0|2020-05-10|415.0|0|11.0|0|0.0|0
0|2020-05-11|415.0|0|11.0|0|0.0|0
0|2020-05-12|418.0|0|11.0|0|0.0|0
0|2020-05-13|422.0|0|11.0|0|0.0|0
