|dates|Orleans_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Orleans_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Orleans_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Orleans_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Orleans_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Orleans_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|5.0|0|0.0|0|0.0|0
0|2020-03-12|14.0|0|0.0|0|0.0|0
0|2020-03-13|26.0|0|0.0|0|0.0|0
0|2020-03-14|53.0|0|1.0|0|0.0|0
0|2020-03-15|66.0|0|2.0|0|0.0|0
0|2020-03-16|79.0|0|3.0|0|0.0|0
0|2020-03-17|136.0|0|4.0|0|0.0|0
0|2020-03-18|187.0|0|6.0|0|0.0|0
0|2020-03-19|231.0|0|8.0|0|0.0|0
0|2020-03-20|326.0|0|10.0|0|0.0|0
0|2020-03-21|418.0|0|15.0|0|0.0|0
0|2020-03-22|451.0|0|15.0|0|0.0|0
0|2020-03-23|567.0|0|20.0|0|0.0|0
0|2020-03-24|675.0|0|26.0|0|0.0|0
0|2020-03-25|827.0|0|37.0|0|0.0|0
0|2020-03-26|997.0|0|46.0|0|0.0|0
0|2020-03-27|1170.0|0|57.0|0|0.0|0
0|2020-03-28|1298.0|0|70.0|0|0.0|0
0|2020-03-29|1350.0|0|73.0|0|0.0|0
0|2020-03-30|1480.0|0|86.0|0|0.0|0
0|2020-03-31|1834.0|0|101.0|0|0.0|0
0|2020-04-01|2270.0|0|115.0|0|0.0|0
0|2020-04-02|3148.0|0|125.0|0|0.0|0
0|2020-04-03|3476.0|0|148.0|0|0.0|0
0|2020-04-04|3966.0|0|153.0|0|0.0|0
0|2020-04-05|4066.0|0|161.0|0|0.0|0
0|2020-04-06|4565.0|0|171.0|0|0.0|0
0|2020-04-07|4942.0|0|185.0|0|0.0|0
0|2020-04-08|5070.0|0|208.0|0|0.0|0
0|2020-04-09|5242.0|0|224.0|0|0.0|0
0|2020-04-10|5416.0|0|225.0|0|0.0|0
0|2020-04-11|5535.0|0|232.0|0|0.0|0
0|2020-04-12|5600.0|0|235.0|0|0.0|0
0|2020-04-13|5651.0|0|244.0|0|0.0|0
0|2020-04-14|5718.0|0|276.0|0|0.0|0
0|2020-04-15|5769.0|0|287.0|0|0.0|0
0|2020-04-16|5847.0|0|302.0|0|0.0|0
0|2020-04-17|5906.0|0|317.0|0|0.0|0
0|2020-04-18|5953.0|0|324.0|0|0.0|0
0|2020-04-19|6000.0|0|329.0|0|0.0|0
0|2020-04-20|6148.0|0|339.0|0|0.0|0
0|2020-04-21|6169.0|0|344.0|0|0.0|0
0|2020-04-22|6209.0|0|367.0|0|0.0|0
0|2020-04-23|6263.0|0|387.0|0|0.0|0
0|2020-04-24|6286.0|0|392.0|0|0.0|0
0|2020-04-25|6297.0|0|399.0|0|0.0|0
0|2020-04-26|6342.0|0|406.0|0|0.0|0
0|2020-04-27|6365.0|0|406.0|0|0.0|0
0|2020-04-28|6380.0|0|410.0|0|0.0|0
0|2020-04-29|6420.0|0|416.0|0|0.0|0
0|2020-04-30|6452.0|0|434.0|0|0.0|0
0|2020-05-01|6495.0|0|437.0|0|0.0|0
0|2020-05-02|6524.0|0|439.0|0|0.0|0
0|2020-05-03|6538.0|0|441.0|0|0.0|0
0|2020-05-04|6557.0|0|447.0|0|0.0|0
0|2020-05-05|6575.0|0|453.0|0|0.0|0
0|2020-05-06|6608.0|0|464.0|0|0.0|0
0|2020-05-07|6626.0|0|463.0|0|0.0|0
0|2020-05-08|6645.0|0|463.0|0|0.0|0
0|2020-05-09|6674.0|0|468.0|0|0.0|0
0|2020-05-10|6682.0|0|468.0|0|0.0|0
0|2020-05-11|6682.0|0|468.0|0|0.0|0
0|2020-05-12|6718.0|0|477.0|0|0.0|0
0|2020-05-13|6753.0|0|481.0|0|0.0|0
