|dates|Cass_Indiana_UnitedStates.JHU_ConfirmedCases.data|Cass_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Cass_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Cass_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Cass_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Cass_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|0.0|0|0.0|0
0|2020-03-28|0.0|0|0.0|0|0.0|0
0|2020-03-29|0.0|0|0.0|0|0.0|0
0|2020-03-30|1.0|0|0.0|0|0.0|0
0|2020-03-31|1.0|0|0.0|0|0.0|0
0|2020-04-01|1.0|0|0.0|0|0.0|0
0|2020-04-02|2.0|0|0.0|0|0.0|0
0|2020-04-03|2.0|0|0.0|0|0.0|0
0|2020-04-04|4.0|0|0.0|0|0.0|0
0|2020-04-05|4.0|0|0.0|0|0.0|0
0|2020-04-06|4.0|0|0.0|0|0.0|0
0|2020-04-07|12.0|0|0.0|0|0.0|0
0|2020-04-08|15.0|0|0.0|0|0.0|0
0|2020-04-09|16.0|0|1.0|0|0.0|0
0|2020-04-10|18.0|0|1.0|0|0.0|0
0|2020-04-11|23.0|0|1.0|0|0.0|0
0|2020-04-12|22.0|0|1.0|0|0.0|0
0|2020-04-13|28.0|0|1.0|0|0.0|0
0|2020-04-14|28.0|0|1.0|0|0.0|0
0|2020-04-15|33.0|0|1.0|0|0.0|0
0|2020-04-16|37.0|0|1.0|0|0.0|0
0|2020-04-17|50.0|0|1.0|0|0.0|0
0|2020-04-18|52.0|0|1.0|0|0.0|0
0|2020-04-19|71.0|0|1.0|0|0.0|0
0|2020-04-20|87.0|0|1.0|0|0.0|0
0|2020-04-21|107.0|0|1.0|0|0.0|0
0|2020-04-22|138.0|0|1.0|0|0.0|0
0|2020-04-23|199.0|0|1.0|0|0.0|0
0|2020-04-24|255.0|0|1.0|0|0.0|0
0|2020-04-25|315.0|0|1.0|0|0.0|0
0|2020-04-26|586.0|0|1.0|0|0.0|0
0|2020-04-27|1025.0|0|1.0|0|0.0|0
0|2020-04-28|1101.0|0|1.0|0|0.0|0
0|2020-04-29|1125.0|0|3.0|0|0.0|0
0|2020-04-30|1164.0|0|2.0|0|0.0|0
0|2020-05-01|1214.0|0|2.0|0|0.0|0
0|2020-05-02|1224.0|0|2.0|0|0.0|0
0|2020-05-03|1293.0|0|2.0|0|0.0|0
0|2020-05-04|1371.0|0|2.0|0|0.0|0
0|2020-05-05|1406.0|0|2.0|0|0.0|0
0|2020-05-06|1442.0|0|2.0|0|0.0|0
0|2020-05-07|1469.0|0|2.0|0|0.0|0
0|2020-05-08|1497.0|0|2.0|0|0.0|0
0|2020-05-09|1507.0|0|2.0|0|0.0|0
0|2020-05-10|1520.0|0|3.0|0|0.0|0
0|2020-05-11|1520.0|0|3.0|0|0.0|0
0|2020-05-12|1542.0|0|4.0|0|0.0|0
0|2020-05-13|1544.0|0|4.0|0|0.0|0
