|dates|Middlesex_Connecticut_UnitedStates.JHU_ConfirmedCases.data|Middlesex_Connecticut_UnitedStates.JHU_ConfirmedCases.missing|Middlesex_Connecticut_UnitedStates.JHU_ConfirmedDeaths.data|Middlesex_Connecticut_UnitedStates.JHU_ConfirmedDeaths.missing|Middlesex_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.data|Middlesex_Connecticut_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|5.0|0|0.0|0|0.0|0
0|2020-03-21|5.0|0|0.0|0|0.0|0
0|2020-03-22|6.0|0|0.0|0|0.0|0
0|2020-03-23|8.0|0|0.0|0|0.0|0
0|2020-03-24|8.0|0|0.0|0|0.0|0
0|2020-03-25|15.0|0|0.0|0|0.0|0
0|2020-03-26|18.0|0|1.0|0|0.0|0
0|2020-03-27|25.0|0|1.0|0|0.0|0
0|2020-03-28|28.0|0|1.0|0|0.0|0
0|2020-03-29|38.0|0|1.0|0|0.0|0
0|2020-03-30|50.0|0|1.0|0|0.0|0
0|2020-03-31|56.0|0|1.0|0|0.0|0
0|2020-04-01|66.0|0|2.0|0|0.0|0
0|2020-04-02|74.0|0|3.0|0|0.0|0
0|2020-04-03|91.0|0|2.0|0|0.0|0
0|2020-04-04|100.0|0|4.0|0|0.0|0
0|2020-04-05|110.0|0|5.0|0|0.0|0
0|2020-04-06|135.0|0|7.0|0|0.0|0
0|2020-04-07|150.0|0|7.0|0|0.0|0
0|2020-04-08|150.0|0|7.0|0|0.0|0
0|2020-04-09|205.0|0|14.0|0|0.0|0
0|2020-04-10|240.0|0|17.0|0|0.0|0
0|2020-04-11|290.0|0|18.0|0|0.0|0
0|2020-04-12|299.0|0|18.0|0|0.0|0
0|2020-04-13|339.0|0|19.0|0|0.0|0
0|2020-04-14|355.0|0|21.0|0|0.0|0
0|2020-04-15|379.0|0|28.0|0|0.0|0
0|2020-04-16|394.0|0|30.0|0|0.0|0
0|2020-04-17|422.0|0|32.0|0|0.0|0
0|2020-04-18|448.0|0|37.0|0|0.0|0
0|2020-04-19|462.0|0|40.0|0|0.0|0
0|2020-04-20|484.0|0|45.0|0|0.0|0
0|2020-04-21|512.0|0|47.0|0|0.0|0
0|2020-04-22|525.0|0|53.0|0|0.0|0
0|2020-04-23|545.0|0|57.0|0|0.0|0
0|2020-04-24|561.0|0|63.0|0|0.0|0
0|2020-04-25|576.0|0|62.0|0|0.0|0
0|2020-04-26|588.0|0|66.0|0|0.0|0
0|2020-04-27|609.0|0|69.0|0|0.0|0
0|2020-04-28|618.0|0|70.0|0|0.0|0
0|2020-04-29|631.0|0|76.0|0|0.0|0
0|2020-04-30|657.0|0|79.0|0|0.0|0
0|2020-05-01|687.0|0|82.0|0|0.0|0
0|2020-05-02|707.0|0|91.0|0|0.0|0
0|2020-05-03|707.0|0|91.0|0|0.0|0
0|2020-05-04|713.0|0|93.0|0|0.0|0
0|2020-05-05|734.0|0|95.0|0|0.0|0
0|2020-05-06|742.0|0|98.0|0|0.0|0
0|2020-05-07|764.0|0|104.0|0|0.0|0
0|2020-05-08|775.0|0|108.0|0|0.0|0
0|2020-05-09|789.0|0|114.0|0|0.0|0
0|2020-05-10|798.0|0|115.0|0|0.0|0
0|2020-05-11|798.0|0|115.0|0|0.0|0
0|2020-05-12|823.0|0|116.0|0|0.0|0
0|2020-05-13|837.0|0|116.0|0|0.0|0
