|dates|Kusilvak_Alaska_UnitedStates.JHU_ConfirmedCases.data|Kusilvak_Alaska_UnitedStates.JHU_ConfirmedCases.missing|Kusilvak_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|Kusilvak_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|Kusilvak_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|Kusilvak_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|5.0|0|0.0|0|0.0|0
0|2020-03-19|8.0|0|0.0|0|0.0|0
0|2020-03-20|11.0|0|0.0|0|0.0|0
0|2020-03-21|13.0|0|0.0|0|0.0|0
0|2020-03-22|20.0|0|0.0|0|0.0|0
0|2020-03-23|32.0|0|0.0|0|0.0|0
0|2020-03-24|36.0|0|0.0|0|0.0|0
0|2020-03-25|43.0|0|1.0|0|0.0|0
0|2020-03-26|58.0|0|1.0|0|0.0|0
0|2020-03-27|60.0|0|1.0|0|0.0|0
0|2020-03-28|87.0|0|2.0|0|0.0|0
0|2020-03-29|104.0|0|2.0|0|0.0|0
0|2020-03-30|116.0|0|3.0|0|0.0|0
0|2020-03-31|121.0|0|3.0|0|0.0|0
0|2020-04-01|134.0|0|3.0|0|0.0|0
0|2020-04-02|145.0|0|3.0|0|0.0|0
0|2020-04-03|159.0|0|3.0|0|0.0|0
0|2020-04-04|173.0|0|5.0|0|0.0|0
0|2020-04-05|187.0|0|6.0|0|0.0|0
0|2020-04-06|192.0|0|6.0|0|0.0|0
0|2020-04-07|215.0|0|6.0|0|0.0|0
0|2020-04-08|228.0|0|7.0|0|0.0|0
0|2020-04-09|237.0|0|7.0|0|0.0|0
0|2020-04-10|248.0|0|7.0|0|0.0|0
0|2020-04-11|259.0|0|8.0|0|0.0|0
0|2020-04-12|274.0|0|8.0|0|0.0|0
0|2020-04-13|279.0|0|8.0|0|0.0|0
0|2020-04-14|287.0|0|9.0|0|0.0|0
0|2020-04-15|295.0|0|9.0|0|0.0|0
0|2020-04-16|302.0|0|9.0|0|0.0|0
0|2020-04-17|311.0|0|9.0|0|0.0|0
0|2020-04-18|316.0|0|9.0|0|0.0|0
0|2020-04-19|321.0|0|9.0|0|0.0|0
0|2020-04-20|323.0|0|9.0|0|0.0|0
0|2020-04-21|331.0|0|9.0|0|0.0|0
0|2020-04-22|337.0|0|9.0|0|0.0|0
0|2020-04-23|339.0|0|9.0|0|0.0|0
0|2020-04-24|341.0|0|9.0|0|0.0|0
0|2020-04-25|341.0|0|9.0|0|0.0|0
0|2020-04-26|342.0|0|9.0|0|0.0|0
0|2020-04-27|347.0|0|9.0|0|0.0|0
0|2020-04-28|353.0|0|9.0|0|0.0|0
0|2020-04-29|357.0|0|9.0|0|0.0|0
0|2020-04-30|357.0|0|9.0|0|0.0|0
0|2020-05-01|366.0|0|9.0|0|0.0|0
0|2020-05-02|367.0|0|9.0|0|0.0|0
0|2020-05-03|370.0|0|9.0|0|0.0|0
0|2020-05-04|372.0|0|9.0|0|0.0|0
0|2020-05-05|373.0|0|9.0|0|0.0|0
0|2020-05-06|373.0|0|9.0|0|0.0|0
0|2020-05-07|373.0|0|9.0|0|0.0|0
0|2020-05-08|373.0|0|9.0|0|0.0|0
0|2020-05-09|373.0|0|9.0|0|0.0|0
0|2020-05-10|373.0|0|9.0|0|0.0|0
0|2020-05-11|373.0|0|9.0|0|0.0|0
0|2020-05-12|373.0|0|9.0|0|0.0|0
0|2020-05-13|373.0|0|9.0|0|0.0|0
