|dates|Bristol_RhodeIsland_UnitedStates.JHU_ConfirmedCases.data|Bristol_RhodeIsland_UnitedStates.JHU_ConfirmedCases.missing|Bristol_RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.data|Bristol_RhodeIsland_UnitedStates.JHU_ConfirmedDeaths.missing|Bristol_RhodeIsland_UnitedStates.JHU_ConfirmedRecoveries.data|Bristol_RhodeIsland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|14.0|0|0.0|0|0.0|0
0|2020-03-23|24.0|0|0.0|0|0.0|0
0|2020-03-24|24.0|0|0.0|0|0.0|0
0|2020-03-25|24.0|0|0.0|0|0.0|0
0|2020-03-26|6.0|0|0.0|0|0.0|0
0|2020-03-27|6.0|0|0.0|0|0.0|0
0|2020-03-28|6.0|0|0.0|0|0.0|0
0|2020-03-29|12.0|0|0.0|0|0.0|0
0|2020-03-30|12.0|0|0.0|0|0.0|0
0|2020-03-31|14.0|0|0.0|0|0.0|0
0|2020-04-01|18.0|0|0.0|0|0.0|0
0|2020-04-02|21.0|0|0.0|0|0.0|0
0|2020-04-03|21.0|0|0.0|0|0.0|0
0|2020-04-04|21.0|0|0.0|0|0.0|0
0|2020-04-05|24.0|0|0.0|0|0.0|0
0|2020-04-06|25.0|0|0.0|0|0.0|0
0|2020-04-07|27.0|0|0.0|0|0.0|0
0|2020-04-08|31.0|0|0.0|0|0.0|0
0|2020-04-09|31.0|0|0.0|0|0.0|0
0|2020-04-10|37.0|0|0.0|0|0.0|0
0|2020-04-11|39.0|0|0.0|0|0.0|0
0|2020-04-12|39.0|0|0.0|0|0.0|0
0|2020-04-13|39.0|0|0.0|0|0.0|0
0|2020-04-14|39.0|0|0.0|0|0.0|0
0|2020-04-15|49.0|0|0.0|0|0.0|0
0|2020-04-16|50.0|0|0.0|0|0.0|0
0|2020-04-17|57.0|0|0.0|0|0.0|0
0|2020-04-18|57.0|0|0.0|0|0.0|0
0|2020-04-19|59.0|0|0.0|0|0.0|0
0|2020-04-20|67.0|0|0.0|0|0.0|0
0|2020-04-21|68.0|0|0.0|0|0.0|0
0|2020-04-22|88.0|0|0.0|0|0.0|0
0|2020-04-23|95.0|0|0.0|0|0.0|0
0|2020-04-24|102.0|0|0.0|0|0.0|0
0|2020-04-25|107.0|0|0.0|0|0.0|0
0|2020-04-26|111.0|0|0.0|0|0.0|0
0|2020-04-27|115.0|0|0.0|0|0.0|0
0|2020-04-28|115.0|0|0.0|0|0.0|0
0|2020-04-29|145.0|0|0.0|0|0.0|0
0|2020-04-30|143.0|0|0.0|0|0.0|0
0|2020-05-01|142.0|0|0.0|0|0.0|0
0|2020-05-02|144.0|0|0.0|0|0.0|0
0|2020-05-03|152.0|0|0.0|0|0.0|0
0|2020-05-04|154.0|0|0.0|0|0.0|0
0|2020-05-05|154.0|0|0.0|0|0.0|0
0|2020-05-06|154.0|0|0.0|0|0.0|0
0|2020-05-07|154.0|0|0.0|0|0.0|0
0|2020-05-08|154.0|0|0.0|0|0.0|0
0|2020-05-09|154.0|0|0.0|0|0.0|0
0|2020-05-10|154.0|0|0.0|0|0.0|0
0|2020-05-11|154.0|0|0.0|0|0.0|0
0|2020-05-12|172.0|0|0.0|0|0.0|0
0|2020-05-13|172.0|0|0.0|0|0.0|0
