|dates|Fayette_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Fayette_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Fayette_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Fayette_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Fayette_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Fayette_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|1.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|2.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|3.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|5.0|0|0.0|0|0.0|0
0|2020-03-16|5.0|0|0.0|0|0.0|0
0|2020-03-17|7.0|0|0.0|0|0.0|0
0|2020-03-18|8.0|0|0.0|0|0.0|0
0|2020-03-19|8.0|0|0.0|0|0.0|0
0|2020-03-20|10.0|0|0.0|0|0.0|0
0|2020-03-21|10.0|0|0.0|0|0.0|0
0|2020-03-22|10.0|0|0.0|0|0.0|0
0|2020-03-23|15.0|0|1.0|0|0.0|0
0|2020-03-24|15.0|0|1.0|0|0.0|0
0|2020-03-25|28.0|0|1.0|0|0.0|0
0|2020-03-26|28.0|0|1.0|0|0.0|0
0|2020-03-27|28.0|0|2.0|0|0.0|0
0|2020-03-28|28.0|0|2.0|0|0.0|0
0|2020-03-29|67.0|0|2.0|0|0.0|0
0|2020-03-30|82.0|0|2.0|0|0.0|0
0|2020-03-31|110.0|0|2.0|0|0.0|0
0|2020-04-01|110.0|0|3.0|0|0.0|0
0|2020-04-02|116.0|0|3.0|0|0.0|0
0|2020-04-03|116.0|0|6.0|0|0.0|0
0|2020-04-04|120.0|0|7.0|0|0.0|0
0|2020-04-05|122.0|0|7.0|0|0.0|0
0|2020-04-06|122.0|0|7.0|0|0.0|0
0|2020-04-07|123.0|0|8.0|0|0.0|0
0|2020-04-08|123.0|0|8.0|0|0.0|0
0|2020-04-09|148.0|0|8.0|0|0.0|0
0|2020-04-10|148.0|0|8.0|0|0.0|0
0|2020-04-11|148.0|0|8.0|0|0.0|0
0|2020-04-12|179.0|0|8.0|0|0.0|0
0|2020-04-13|179.0|0|8.0|0|0.0|0
0|2020-04-14|197.0|0|7.0|0|0.0|0
0|2020-04-15|206.0|0|7.0|0|0.0|0
0|2020-04-16|209.0|0|7.0|0|0.0|0
0|2020-04-17|210.0|0|7.0|0|0.0|0
0|2020-04-18|218.0|0|7.0|0|0.0|0
0|2020-04-19|219.0|0|7.0|0|0.0|0
0|2020-04-20|219.0|0|7.0|0|0.0|0
0|2020-04-21|219.0|0|7.0|0|0.0|0
0|2020-04-22|223.0|0|8.0|0|0.0|0
0|2020-04-23|223.0|0|8.0|0|0.0|0
0|2020-04-24|226.0|0|8.0|0|0.0|0
0|2020-04-25|235.0|0|8.0|0|0.0|0
0|2020-04-26|238.0|0|8.0|0|0.0|0
0|2020-04-27|239.0|0|9.0|0|0.0|0
0|2020-04-28|242.0|0|9.0|0|0.0|0
0|2020-04-29|246.0|0|9.0|0|0.0|0
0|2020-04-30|248.0|0|9.0|0|0.0|0
0|2020-05-01|254.0|0|9.0|0|0.0|0
0|2020-05-02|254.0|0|9.0|0|0.0|0
0|2020-05-03|287.0|0|9.0|0|0.0|0
0|2020-05-04|295.0|0|9.0|0|0.0|0
0|2020-05-05|298.0|0|9.0|0|0.0|0
0|2020-05-06|306.0|0|9.0|0|0.0|0
0|2020-05-07|328.0|0|9.0|0|0.0|0
0|2020-05-08|342.0|0|9.0|0|0.0|0
0|2020-05-09|368.0|0|9.0|0|0.0|0
0|2020-05-10|368.0|0|9.0|0|0.0|0
0|2020-05-11|368.0|0|9.0|0|0.0|0
0|2020-05-12|409.0|0|10.0|0|0.0|0
0|2020-05-13|409.0|0|10.0|0|0.0|0
